gene_set,interaction_type,ffa_type,interaction_score,epistatic_fold,p_value,significant_p05,standard_error
OPI1:RPD3:YAP6,trigenic,Total Capacity,-0.25887075670783244,0.7719227824386499,0.17038260303591593,False,0.18842012923648913
OPI1:RPD3:TFC7,trigenic,Total Capacity,-0.025758761782500583,0.9745701648224364,0.8913420632137884,False,0.18842012923648924
OPI1:SPT3:YAP6,trigenic,Total Capacity,-0.017182494042439767,0.9829642831399514,0.9295680766920651,False,0.19425302354512008
OPI1:SPT3:TFC7,trigenic,Total Capacity,-0.02466511184709519,0.975636586459927,0.8959284428365917,False,0.18842012923648932
OPI1:YAP6:TFC7,trigenic,Total Capacity,-0.06021855815801813,0.9415587257538112,0.7494710938127902,False,0.188420129236489
RFX1:RGR1:RPD3,trigenic,Total Capacity,-0.2737271499238213,0.7605395602303957,0.147221171378702,False,0.18842012923648913
RFX1:RGR1:SPT3,trigenic,Total Capacity,-0.018457685319835937,0.9817116145258927,0.9220219125522163,False,0.18842012923648924
RFX1:RGR1:YAP6,trigenic,Total Capacity,0.20040525678949006,1.2218978402315257,0.2882653493478851,False,0.1884201292364893
RFX1:RGR1:TFC7,trigenic,Total Capacity,-0.048578310030639726,0.9525827396013954,0.7967034156993525,False,0.18842012923648913
RFX1:RPD3:SPT3,trigenic,Total Capacity,-0.40334893889238144,0.6680789399214148,0.03301419869157485,True,0.1884201292364891
RFX1:RPD3:YAP6,trigenic,Total Capacity,-0.06821110357037496,0.9340632686716434,0.7175662893156272,False,0.18842012923648915
RFX1:RPD3:TFC7,trigenic,Total Capacity,-0.1780620424375835,0.8368904991514706,0.34532032604567164,False,0.18842012923648918
RFX1:SPT3:YAP6,trigenic,Total Capacity,0.02591292924469213,1.02625158808225,0.8906958295022297,False,0.1884201292364891
RFX1:SPT3:TFC7,trigenic,Total Capacity,-0.010856170488377281,0.9892025450630305,0.9540878900980325,False,0.18842012923648924
RFX1:YAP6:TFC7,trigenic,Total Capacity,-0.8440155325230356,0.42998045168610044,1.0253323687677539e-05,True,0.188420129236489
RGR1:RPD3:SPT3,trigenic,Total Capacity,-0.6631686425880112,0.5152162092733551,0.0004913426636062747,True,0.1884201292364891
RGR1:RPD3:YAP6,trigenic,Total Capacity,-0.775992744842189,0.4602466466430329,7.951350219948639e-05,True,0.1942530235451198
RGR1:RPD3:TFC7,trigenic,Total Capacity,-0.8070133664584711,0.44618868028394754,2.4056333245437733e-05,True,0.18842012923648915
RGR1:SPT3:YAP6,trigenic,Total Capacity,-0.7517499008407728,0.471540680920862,8.11304464732803e-05,True,0.18842012923648924
RGR1:SPT3:TFC7,trigenic,Total Capacity,-0.9617143434808921,0.3822370383868059,5.55820015147352e-07,True,0.18842012923648946
RGR1:YAP6:TFC7,trigenic,Total Capacity,-0.9772413533461867,0.37634787895586524,3.699660247079603e-07,True,0.1884201292364893
RPD3:SPT3:YAP6,trigenic,Total Capacity,-1.4951636260597543,0.22421191481673275,3.117812891310509e-14,True,0.18842012923648918
RPD3:SPT3:TFC7,trigenic,Total Capacity,-1.4087953881882957,0.24443755824411206,6.602556444440395e-13,True,0.18842012923648932
RPD3:YAP6:TFC7,trigenic,Total Capacity,-1.4770611197849113,0.22830767230143062,5.971719712034756e-14,True,0.18842012923648963
SPT3:YAP6:TFC7,trigenic,Total Capacity,-1.2504044018826557,0.2863889572054159,1.2809497813553575e-10,True,0.1884201292364893
