gene_set,interaction_type,ffa_type,E_capacity,E_composition,E_combined,phi_capacity,phi_composition,phi_combined,p_value_capacity,p_value_composition,effect_type
RPD3:YAP6,digenic,C140,0.6294446088415178,-0.8090635627515204,-0.1796189539100026,1.8765680604792028,0.44527484299863096,0.8355885485061224,3.390184588670394e-06,4.5251475503160744e-14,both
GCN5:RGR1,digenic,C140,-0.0253651175704937,-0.7469024994892575,-0.7722676170597511,0.974953874244555,0.4738319767835793,0.4619643215061067,0.8577044500897502,3.363958122776547e-11,composition-only
FKH1:MED4:RFX1,trigenic,C140,-0.4209288305943799,2.0736652054412006,1.6527363748468207,0.6564368179649185,7.953922517724843,5.221247587874808,0.02613728181588086,1.5573019692676578e-36,both
FKH1:YAP6:TFC7,trigenic,C140,-1.3287608975069016,2.601366913053446,1.2726060155465442,0.2648051788534411,13.482154378172345,3.570144301441632,9.995979967557138e-12,6.142593886217277e-51,both
FKH1:OPI1:YAP6,trigenic,C140,-1.24467087576112,2.3152179382861537,1.0705470625250337,0.2880356920599899,10.127129767561346,2.9169748311808568,1.5369895018978878e-10,4.485379704498767e-43,both
MED4:YAP6:TFC7,trigenic,C140,-1.5892209365740924,2.511514377491216,0.9222934409171237,0.2040845446212826,12.323578486439343,2.515051903509608,9.811365829674504e-16,1.8377863969619228e-48,both
OPI1:RFX1:RGR1,trigenic,C140,0.27238446369131464,0.24770227316225935,0.520086736853574,1.3130917403755087,1.2810784639701995,1.6821735498122126,0.14920952388039557,0.088929973906106,both
MED4:RGR1:RPD3,trigenic,C140,-1.4438051507387502,3.4142288575397357,1.9704237068009856,0.2360279259315058,30.393502667907754,7.173715396499955,1.9437931985471845e-13,4.007597117775469e-73,both
FKH1:TFC7,digenic,C140,0.5696239938749602,-1.7259313947529253,-1.156307400877965,1.7676022971753584,0.17800717958559803,0.3146458995492097,2.485444496247528e-05,1.6168201641053946e-46,both
OPI1:YAP6:TFC7,trigenic,C140,-0.06021855815801813,-0.3662139087726972,-0.42643246693071535,0.9415587257538112,0.6933544707418466,0.6528339519674012,0.7494710938127902,0.012121138181486824,composition-only
MED4:RGR1:YAP6,trigenic,C140,-1.2851493610549283,3.090518872491264,1.8053695114363357,0.27660926589466284,21.98848423590481,6.082218482629995,4.1910240597457936e-11,2.2240208001884866e-64,both
MED4:RFX1:YAP6,trigenic,C140,-1.3700328063541543,2.9699911485157235,1.5999583421615693,0.25409862336663286,19.491747064374877,4.9528260960682635,2.49608368576998e-12,4.384342409253083e-61,both
FKH1:GCN5,digenic,C140,0.4506035041119997,-0.510953012139278,-0.06034950802727834,1.569258954003621,0.5999235718441602,0.941435436834283,0.0015686033689859763,3.961891018557954e-06,both
OPI1:RFX1,digenic,C140,0.3439019733472846,-0.7121939578585994,-0.3682919845113148,1.4104403679827098,0.4905667331980977,0.6919151236920007,0.010266485245001861,2.0505666692948736e-11,both
RGR1:RPD3:YAP6,trigenic,C140,-0.775992744842189,1.8383555258427102,1.0623627810005212,0.4602466466430329,6.286192275760263,2.893198915071997,7.951350219948639e-05,6.456613729440024e-29,both
FKH1:RGR1:SPT3,trigenic,C140,-1.180746133229164,2.778439153519707,1.5976930202905428,0.30704955323568633,16.093881255619113,4.941619049366035,1.1241191905072044e-09,8.066627117258598e-56,both
GCN5:RPD3,digenic,C140,0.27429834837771494,-0.5886102192051907,-0.3143118708274758,1.3156072529819294,0.5550982137359431,0.73029123610832,0.053162536891856293,1.2366574615285752e-07,both
GCN5:RGR1:SPT3,trigenic,C140,-0.2902884705751364,0.5944573671969551,0.3041688966218187,0.7480477466873572,1.8120474017720178,1.3554979757862382,0.13600843574554167,8.739944031397556e-05,both
