gene_set,interaction_type,ffa_type,interaction_score,epistatic_fold,p_value,significant_p05,standard_error
FKH1:GCN5:SPT3,trigenic,C161,1.0678008974947146,2.9089753259132634,2.1377486080261261e-10,True,0.16301132103903987
FKH1:GCN5:YAP6,trigenic,C161,0.96857610639208,2.6341909800122245,7.01472000097629e-09,True,0.16301132103904006
FKH1:GCN5:TFC7,trigenic,C161,1.1474826636050373,3.1502526740510652,1.0832584906576712e-11,True,0.16301132103903995
FKH1:MED4:OPI1,trigenic,C161,0.4779981091018206,1.6128424336599183,0.0026934327349269157,True,0.15811653078363824
FKH1:MED4:RFX1,trigenic,C161,0.11528437195735944,1.12219251228309,0.46643918011604824,False,0.15811653078363808
FKH1:MED4:RGR1,trigenic,C161,0.3348088895036453,1.39767324966859,0.03494882735479809,True,0.15811653078363824
FKH1:MED4:RPD3,trigenic,C161,0.37739561928896415,1.458481198544195,0.017544288863058276,True,0.15811653078363805
FKH1:MED4:SPT3,trigenic,C161,0.23486990828204588,1.2647442252812142,0.13836390789837258,False,0.15811653078363813
FKH1:MED4:YAP6,trigenic,C161,0.2631598952262173,1.3010347315638893,0.09697093286906835,False,0.1581165307836381
FKH1:MED4:TFC7,trigenic,C161,0.29755657493466114,1.346564554999542,0.060711155260735936,False,0.15811653078363816
FKH1:OPI1:RFX1,trigenic,C161,0.34930533096019256,1.4180821086188027,0.02783347610628661,True,0.15811653078363813
FKH1:OPI1:RGR1,trigenic,C161,0.24943827585387185,1.2833043511458686,0.11560220048081768,False,0.15811653078363813
FKH1:OPI1:RPD3,trigenic,C161,0.508886692053102,1.6634382446681757,0.0019525904639712142,True,0.16301094783755118
FKH1:OPI1:SPT3,trigenic,C161,0.5072781968657624,1.6607647629748241,0.0014632398230815273,True,0.1581165307836381
FKH1:OPI1:YAP6,trigenic,C161,0.44082694536780553,1.5539917536002117,0.005603737015019576,True,0.15811653078363808
FKH1:OPI1:TFC7,trigenic,C161,0.518770405239481,1.6799607083243286,0.0011425170078444963,True,0.15811653078363813
FKH1:RFX1:RGR1,trigenic,C161,0.4013570392406476,1.4938505365566972,0.011585527543220763,True,0.15811653078363822
FKH1:RFX1:RPD3,trigenic,C161,0.5422869681627172,1.7199358062182004,0.0006791255376763513,True,0.15811653078363813
FKH1:RFX1:SPT3,trigenic,C161,0.34380290226033533,1.4103006410439407,0.030371048288815553,True,0.15811653078363808
FKH1:RFX1:YAP6,trigenic,C161,0.2580467382128229,1.2943993151211457,0.11435554848257733,False,0.16301069903608378
FKH1:RFX1:TFC7,trigenic,C161,0.3382289826126703,1.4024616059631694,0.033142692975179786,True,0.158116530783638
FKH1:RGR1:RPD3,trigenic,C161,0.5778000853277321,1.7821136173112522,0.000298890558257577,True,0.158116530783638
FKH1:RGR1:SPT3,trigenic,C161,0.3671669492099735,1.4436389133737924,0.020819679669814215,True,0.1581165307836381
FKH1:RGR1:YAP6,trigenic,C161,0.3589202625157317,1.431782630274896,0.023838480102005472,True,0.15811653078363816
FKH1:RGR1:TFC7,trigenic,C161,0.6269060937232773,1.8718104053319125,8.966702018086407e-05,True,0.15811653078363813
FKH1:RPD3:SPT3,trigenic,C161,0.5189199474538053,1.6802119521539405,0.0011388110479235384,True,0.15811653078363802
FKH1:RPD3:YAP6,trigenic,C161,0.6217427048246924,1.8621704291550272,0.00010215010835725126,True,0.15811653078363805
FKH1:RPD3:TFC7,trigenic,C161,0.6951848206790425,2.004079435036965,1.4743683042405813e-05,True,0.158116530783638
FKH1:SPT3:YAP6,trigenic,C161,0.4563323390669414,1.5782747799842525,0.004151856452547087,True,0.15811653078363805
FKH1:SPT3:TFC7,trigenic,C161,0.516484231145053,1.6761244125641894,0.001200585195565634,True,0.1581165307836382
FKH1:YAP6:TFC7,trigenic,C161,0.5836732206160877,1.792611007807737,0.0002598975767683693,True,0.15811653078363805
GCN5:MED4:OPI1,trigenic,C161,0.740041313285142,2.096022106264597,1.3880549291120875e-05,True,0.16779095582762973
GCN5:MED4:RFX1,trigenic,C161,0.44709987248902794,1.5637704691367735,0.008077065788673147,True,0.16779095582762948
GCN5:MED4:RGR1,trigenic,C161,0.5591838124379438,1.7492442061333804,0.0009555943345178414,True,0.16779095582762965
GCN5:MED4:RPD3,trigenic,C161,0.7101700581902165,2.0343371849320775,2.981581013955712e-05,True,0.1677909558276293
GCN5:MED4:SPT3,trigenic,C161,0.5209277146444093,1.6835888154279994,0.0020661777010604902,True,0.16779095582762954
GCN5:MED4:YAP6,trigenic,C161,0.33807910917476347,1.402251429971044,0.044708389436063985,True,0.16779095582762937
GCN5:MED4:TFC7,trigenic,C161,0.8233165300252854,2.2780425192674816,1.4421393090004008e-06,True,0.16779095582762954
GCN5:OPI1:RFX1,trigenic,C161,0.3564927332829922,1.4283111513480187,0.029433344726038386,True,0.16301132103904015
GCN5:OPI1:RGR1,trigenic,C161,0.25533976941260506,1.2909001547557843,0.11819238233963376,False,0.16301132103904
GCN5:OPI1:RPD3,trigenic,C161,0.5399403857177603,1.7159045667166166,0.0010254537802474783,True,0.16301132103904004
GCN5:OPI1:SPT3,trigenic,C161,0.3531286613578122,1.4235142829323681,0.03098809165797462,True,0.16301132103903998
GCN5:OPI1:YAP6,trigenic,C161,0.4900119699735319,1.6323357588542673,0.0028451429827419604,True,0.16301132103904004
GCN5:OPI1:TFC7,trigenic,C161,0.8044360166518295,2.235435394893976,1.2387385005128881e-05,True,0.1813221818382427
GCN5:RFX1:RGR1,trigenic,C161,0.09571792904781148,1.1004486156229603,0.557470962332961,False,0.16301132103904006
GCN5:RFX1:RPD3,trigenic,C161,0.3966041314241629,1.486767249105346,0.015493027446986067,True,0.16301132103903998
GCN5:RFX1:SPT3,trigenic,C161,0.1300101778646422,1.1388399742247433,0.4256898317096328,False,0.16301132103903979
GCN5:RFX1:YAP6,trigenic,C161,-0.01097020364147519,0.9890897496090973,0.9463849051967734,False,0.16301132103903987
GCN5:RFX1:TFC7,trigenic,C161,0.3476034717081629,1.4156707849108912,0.03369532006096724,True,0.16301132103903987
GCN5:RGR1:RPD3,trigenic,C161,0.30952339519249955,1.3627754539959853,0.05844419476786532,False,0.1630113210390396
GCN5:RGR1:SPT3,trigenic,C161,0.031257783411305695,1.0317514380136574,0.8480514383921334,False,0.16301132103903998
GCN5:RGR1:YAP6,trigenic,C161,-0.20402617585948216,0.8154410260382166,0.21157845552684662,False,0.16301132103903995
GCN5:RGR1:TFC7,trigenic,C161,0.45695416991649224,1.5792565051333727,0.00680690339816158,True,0.16781879085200962
GCN5:RPD3:SPT3,trigenic,C161,0.2423789720863102,1.2742770167415929,0.13797759291809952,False,0.16301132103903992
GCN5:RPD3:YAP6,trigenic,C161,0.29089172841130956,1.3376197498940854,0.07524125673661264,False,0.16301132103903992
GCN5:RPD3:TFC7,trigenic,C161,0.30743362521799356,1.3599305404130677,0.06015691735609481,False,0.16301132103903987
GCN5:SPT3:YAP6,trigenic,C161,0.31449328712009883,1.3695651587981024,0.05453388134743659,False,0.16301132103903995
GCN5:SPT3:TFC7,trigenic,C161,0.6310223433439497,1.879531123503116,0.00013007905132599154,True,0.1630113210390398
GCN5:YAP6:TFC7,trigenic,C161,0.6438610638448556,1.903817467463766,9.522583194000297e-05,True,0.16301132103903998
MED4:OPI1:RFX1,trigenic,C161,0.8713060559161575,2.3900303292272826,7.105309604195656e-08,True,0.15811653078363813
MED4:OPI1:RGR1,trigenic,C161,0.7920631786144544,2.2079471194739706,8.818014609171329e-07,True,0.15811653078363808
MED4:OPI1:RPD3,trigenic,C161,1.092107610099934,2.9805492931746533,2.465470353630892e-11,True,0.158116530783638
MED4:OPI1:SPT3,trigenic,C161,1.088526595285051,2.969894989993673,2.8350188763963182e-11,True,0.15811653078363805
MED4:OPI1:YAP6,trigenic,C161,0.938433837994999,2.5559752107023503,1.9245030214858385e-08,True,0.16301132103904012
MED4:OPI1:TFC7,trigenic,C161,0.8973321918375733,2.4530501068664288,7.323611718946282e-08,True,0.16301132103904026
MED4:RFX1:RGR1,trigenic,C161,1.2118736136645225,3.3597736769790965,1.9214420555319059e-13,True,0.15811653078363816
MED4:RFX1:RPD3,trigenic,C161,1.333401959877726,3.793928249934902,5.824616694542531e-15,True,0.1630109478375511
MED4:RFX1:SPT3,trigenic,C161,1.0625019319653592,2.8936015345042887,7.745667019222804e-11,True,0.158116530783638
MED4:RFX1:YAP6,trigenic,C161,1.2468088420426862,3.4792224748048506,4.372060185269321e-14,True,0.1581165307836381
MED4:RFX1:TFC7,trigenic,C161,1.154335930744062,3.1719163458565838,2.067572385988678e-12,True,0.15811653078363797
MED4:RGR1:RPD3,trigenic,C161,1.573467208379953,4.823342769734423,1.2474624626080627e-20,True,0.15811653078363805
MED4:RGR1:SPT3,trigenic,C161,1.6265053852897602,5.08606977170066,8.99315667589905e-22,True,0.15811653078363805
MED4:RGR1:YAP6,trigenic,C161,1.4632434863721704,4.319948523688468,2.5338712899703158e-18,True,0.15811653078363808
MED4:RGR1:TFC7,trigenic,C161,1.5354601434596569,4.643461696974658,7.98263808128744e-20,True,0.15811653078363816
MED4:RPD3:SPT3,trigenic,C161,1.6466382927350043,5.189504874560863,3.275989281490764e-22,True,0.158116530783638
MED4:RPD3:YAP6,trigenic,C161,1.0187059397005376,2.769608403701267,4.03859557043889e-10,True,0.158116530783638
MED4:RPD3:TFC7,trigenic,C161,1.6953976314205588,5.448812153428934,2.7684490654900624e-23,True,0.15811653078363797
MED4:SPT3:YAP6,trigenic,C161,1.5004261687435207,4.483599433177574,4.321870068759942e-19,True,0.15811653078363813
MED4:SPT3:TFC7,trigenic,C161,1.4312330343843145,4.183854849606983,1.138046386368281e-17,True,0.15811653078363808
MED4:YAP6:TFC7,trigenic,C161,1.5809020836627503,4.859337363524367,8.651929191080222e-21,True,0.15811653078363808
OPI1:RFX1:RGR1,trigenic,C161,0.3270365654064339,1.3868521870670665,0.039369555666228344,True,0.15811653078363824
OPI1:RFX1:RPD3,trigenic,C161,0.4924015704815674,1.636241053401496,0.00200230443123772,True,0.15811653078363802
OPI1:RFX1:SPT3,trigenic,C161,0.5426382172760376,1.720540038256874,0.0006737744005251906,True,0.15811653078363808
OPI1:RFX1:YAP6,trigenic,C161,0.43044152934212,1.5379364177161412,0.006818936498628851,True,0.15811653078363816
OPI1:RFX1:TFC7,trigenic,C161,0.3418962527667717,1.4076142538541307,0.0312957507617897,True,0.158116530783638
OPI1:RGR1:RPD3,trigenic,C161,0.3671275770801903,1.4435820753540591,0.020833257809856533,True,0.158116530783638
OPI1:RGR1:SPT3,trigenic,C161,0.19643645962736095,1.2170579861033195,0.21496780495869863,False,0.15811653078363813
OPI1:RGR1:YAP6,trigenic,C161,0.2416940951496449,1.2734045925875963,0.12730335313430868,False,0.15811653078363805
OPI1:RGR1:TFC7,trigenic,C161,0.20678322337042987,1.2297159692020603,0.19183331545550453,False,0.15811653078363827
OPI1:RPD3:SPT3,trigenic,C161,0.47042859553371275,1.6006800905583083,0.003138738569606056,True,0.15811653078363808
OPI1:RPD3:YAP6,trigenic,C161,0.5987261992969165,1.8197992618100414,0.00018068764734364086,True,0.15811653078363808
OPI1:RPD3:TFC7,trigenic,C161,0.47762440411830664,1.6122398190118985,0.002713979479498853,True,0.15811653078363816
OPI1:SPT3:YAP6,trigenic,C161,0.4681195085395509,1.5969882450160233,0.004340347495339447,True,0.1630113210390401
OPI1:SPT3:TFC7,trigenic,C161,0.25432967204764156,1.2895968782399325,0.10866039172392744,False,0.15811653078363824
OPI1:YAP6:TFC7,trigenic,C161,0.4093637975606099,1.505859448842509,0.0100414321509305,True,0.15811653078363797
RFX1:RGR1:RPD3,trigenic,C161,0.5366559080884772,1.7102779618403936,0.0007705155146185736,True,0.15811653078363808
RFX1:RGR1:SPT3,trigenic,C161,0.3637871475660551,1.438767936306085,0.02201386190293813,True,0.1581165307836382
RFX1:RGR1:YAP6,trigenic,C161,0.2786645479646239,1.3213640152675612,0.0789055589231245,False,0.15811653078363824
