gene_set,interaction_type,ffa_type,interaction_score,epistatic_fold,standard_error,p_value,fdr_corrected_p,effect_size,significant_p05,significant_fdr05,ci_lower,ci_upper
GCN5:RPD3,digenic,C180,1.0225058620342173,2.7801527216368394,0.20689841989162466,1.2188301021131297e-06,4.16083379686896e-06,1.0225058620342173,True,True,0.6155351575419251,1.4294765665265095
GCN5:SPT3,digenic,C180,0.5319188349128243,1.7021954089210372,0.2068984198916249,0.010570311903223857,0.018787448445586392,0.5319188349128243,True,True,0.1249481304205316,0.9388895394051171
GCN5:YAP6,digenic,C180,0.33836589793617156,1.4026536375933845,0.206898419891625,0.10289181419399956,0.1421583010857188,0.33836589793617156,False,False,-0.06860480655612133,0.7453366024284644
GCN5:TFC7,digenic,C180,1.2644960757772483,3.54130773564606,0.20689841989162477,2.7164618380130517e-09,1.4458587202327534e-08,1.2644960757772483,True,True,0.8575253712849559,1.6714667802695407
MED4:OPI1,digenic,C180,1.3217334591903527,3.7499160729693046,0.19500122541605716,5.435199639104208e-11,3.9858130686764194e-10,1.3217334591903527,True,True,0.9381646232079297,1.7053022951727757
MED4:RFX1,digenic,C180,0.845473929767622,2.329081374039109,0.19500122541605702,1.9195065382053302e-05,5.3230013244349496e-05,0.845473929767622,True,True,0.4619050937851993,1.229042765750045
MED4:RGR1,digenic,C180,1.0240926668229002,2.784567783282875,0.19500122541605688,2.670967783857148e-07,9.940819947438256e-07,1.0240926668229002,True,True,0.6405238308404777,1.4076615028053228
MED4:RPD3,digenic,C180,1.281597264858698,3.6023891022286354,0.19500122541605697,1.8779427622792235e-10,1.2561914423354266e-09,1.281597264858698,True,True,0.8980284288762753,1.6651661008411205
MED4:SPT3,digenic,C180,0.9038304407810274,2.469042542268514,0.19500122541605708,5.1050448066489004e-06,1.5361684980493652e-05,0.9038304407810274,True,True,0.5202616047986046,1.2873992767634501
MED4:YAP6,digenic,C180,0.9871139317277896,2.6834785833216435,0.19500122541605702,6.826157641650328e-07,2.4049452189444214e-06,0.9871139317277896,True,True,0.6035450957453669,1.3706827677102122
MED4:TFC7,digenic,C180,1.075911758020278,2.932665563285821,0.19500122541605722,6.853091325536038e-08,2.803537360446561e-07,1.075911758020278,True,True,0.6923429220378549,1.459480594002701
OPI1:RFX1,digenic,C180,0.5903979730574376,1.8047064970622149,0.19500122541605688,0.0026539540704403775,0.005286548349569363,0.5903979730574376,True,True,0.2068291370750151,0.9739668090398601
OPI1:RGR1,digenic,C180,0.2500087328106433,1.2840366298875279,0.19500122541605697,0.20069044365654048,0.2521364710913389,0.2500087328106433,False,False,-0.13356010317177935,0.6335775687930659
OPI1:RPD3,digenic,C180,1.0532769041506087,2.8670307265186126,0.1950012254160569,1.2495381541407167e-07,4.85114812784043e-07,1.0532769041506087,True,True,0.6697080681681862,1.4368457401330312
OPI1:SPT3,digenic,C180,0.5814597079252859,1.7886474289267025,0.19500122541605705,0.0030733443036682845,0.006073075570122957,0.5814597079252859,True,True,0.1978908719428631,0.9650285439077086
OPI1:YAP6,digenic,C180,0.5896242523803086,1.8033106983780725,0.1950012254160571,0.002688064301851659,0.005343742286813539,0.5896242523803086,True,True,0.20605541639788572,0.9731930883627314
OPI1:TFC7,digenic,C180,0.45677139974840963,1.578967890532357,0.19500122541605722,0.019739835378974762,0.033348868643660434,0.45677139974840963,True,True,0.07320256376598655,0.8403402357308327
RFX1:RGR1,digenic,C180,0.3565077771099545,1.4283326387754542,0.19500122541605702,0.06839575946839375,0.10046261405594928,0.3565077771099545,False,False,-0.027061058872468235,0.7400766130923773
