dataset,raw_label,condition,n_replicates,replicate_rho,hit_jaccard,n_pairs
hillenmeyer2008_het,l-dopa,levodopa,2,0.3176308823336371,0.13385826771653545,1
hillenmeyer2008_het,lapachol,npc216413,2,0.37190183078977657,0.08506616257088846,1
hillenmeyer2008_het,latrunculin,latrunculin,7,0.24769596599567065,0.14463118306110326,21
hillenmeyer2008_het,leucovorin,leucovorin,3,0.5162819720265546,0.21836120491633015,3
hillenmeyer2008_het,licl,lithium chloride,3,0.7546515524740397,0.29293164169415825,3
hillenmeyer2008_het,lovastatin,lovastatin,5,0.23045570812697275,0.12425268457539593,10
hillenmeyer2008_het,mebendazole,mebendazole,2,0.16760041670022166,0.16666666666666666,1
hillenmeyer2008_het,mechlorethamine,mechlorethamine,7,0.11685084692177423,0.15394318431302945,21
hillenmeyer2008_het,melphalan,melphalan,2,0.4497273827254578,0.21263157894736842,1
hillenmeyer2008_het,methotrexate,methotrexate,46,0.17691120983552525,0.10087257276382651,1035
hillenmeyer2008_het,miconazole,miconazole,20,0.18171187542049072,0.07848870786249196,190
hillenmeyer2008_het,mitoxanthrone hydrochloride,mitoxantrone hydrochloride,2,-0.02879759826975495,0.08712121212121213,1
hillenmeyer2008_het,mpp+,1-methyl-4-phenylpyridinium,2,0.477949968318871,0.20754716981132076,1
hillenmeyer2008_het,mycophenolic acid,mycophenolic acid,2,0.3495303288219532,0.1411530815109344,1
hillenmeyer2008_het,nacl,sodium chloride,5,0.5597944733882628,0.1910441936414094,10
hillenmeyer2008_het,nitromide,"3,5-dinitrobenzamide",2,-0.24551755127776217,0.03237410071942446,1
hillenmeyer2008_het,no drug minimal media,no drug minimal media,11,0.6035063388488161,0.5510873511269339,55
hillenmeyer2008_het,nocodazole,nocodazole,5,-0.04559573846741134,0.036024520182936656,10
hillenmeyer2008_het,norcantharidin,norcantharidin,4,0.4033347304005706,0.32485898387018897,6
hillenmeyer2008_het,novobiocin,novobiocin,2,0.06912895541612513,0.09578544061302682,1
hillenmeyer2008_het,paclitaxel,paclitaxel,2,0.40325784716882684,0.2687224669603524,1
hillenmeyer2008_het,papuamide b,papuamide b,5,0.23238490016758345,0.2049386448586658,10
hillenmeyer2008_het,paraquat,paraquat,5,0.504112934600259,0.33348628366172606,10
hillenmeyer2008_het,parkinsons peptide,parkinsons peptide,2,0.714881930112145,0.1950207468879668,1
hillenmeyer2008_het,parthenolide,parthenolide,3,0.3443449465859225,0.30219478366438096,3
