gene,released_label,call,fcl_rf_e_class,cgt_predicted_z
YPR127W,1,only_cgt,1.0026612903225807,0.030673116445541382
YBL080C,2,only_cgt,0.8473387096774194,0.3449587821960449
YCR024C,2,only_cgt,1.058064516129032,1.0152000188827515
YDR231C,2,only_cgt,0.919274193548387,1.5963702201843262
YDR268W,2,only_cgt,0.8889516129032259,1.105853796005249
YGR171C,2,only_cgt,0.9848387096774194,0.6001076102256775
YHR011W,2,only_cgt,0.9158870967741936,1.108893632888794
YHR091C,2,only_cgt,0.9420161290322581,0.6626099348068237
YHR116W,2,only_cgt,0.8990322580645161,0.32188862562179565
YJL003W,2,only_cgt,0.9162096774193549,1.1033459901809692
YKL132C,2,only_cgt,0.919032258064516,0.027547214180231094
YLL018C-A,2,only_cgt,0.9116129032258065,0.37648916244506836
YLR382C,2,only_cgt,0.9956451612903225,1.099811315536499
YLR395C,2,only_cgt,0.9173387096774194,1.103596568107605
YMR084W,2,only_cgt,0.9125806451612903,0.14449657499790192
YMR210W,2,only_cgt,0.8620161290322581,0.0306498184800148
YMR256C,2,only_cgt,0.9142741935483871,1.094685673713684
YOR283W,2,only_cgt,0.9273387096774194,0.028799403458833694
YPL069C,2,only_cgt,1.0094354838709678,0.5305802822113037
YPL132W,2,only_cgt,0.9233870967741935,1.0270506143569946
YPR047W,2,only_cgt,0.9021774193548387,0.027815081179142
YBR034C,0,only_rf,1.0895967741935484,-0.13823923468589783
YIL020C,0,only_rf,1.1860483870967742,-0.045158836990594864
YIL116W,0,only_rf,1.1453225806451615,-0.10035229474306107
YIR034C,0,only_rf,1.075725806451613,-0.23301935195922852
YJR073C,0,only_rf,1.0725806451612903,-0.17467884719371796
YKL211C,0,only_rf,1.0948387096774193,-0.29580819606781006
YLR295C,0,only_rf,1.9812903225806453,-0.2907365560531616
YLR410W,0,only_rf,1.1116129032258064,-0.06809844076633453
YOL122C,0,only_rf,1.133709677419355,0.0186251662671566
YOR142W,0,only_rf,1.165725806451613,-0.28296560049057007
YPL271W,0,only_rf,1.9788709677419354,-0.23770439624786377
YBR092C,1,only_rf,1.0983870967741935,0.01886928081512451
YBR166C,1,only_rf,1.1340322580645161,-0.22451643645763397
YBR248C,1,only_rf,1.1324193548387096,-0.12711486220359802
YBR291C,1,only_rf,1.179758064516129,-0.05422871559858322
YCL030C,1,only_rf,1.2368548387096774,-0.28623610734939575
YCR010C,1,only_rf,1.1495967741935484,0.010731052607297897
YDR007W,1,only_rf,1.1719354838709677,0.012188360095024109
YDR009W,1,only_rf,1.1106451612903225,0.008420504629611969
YDR019C,1,only_rf,1.0795161290322581,-0.2406984120607376
YDR402C,1,only_rf,1.1349193548387095,-0.18220631778240204
YDR453C,1,only_rf,1.1021774193548386,-0.3835301995277405
YER019W,1,only_rf,1.1806451612903226,-0.03476671129465103
YER055C,1,only_rf,1.180241935483871,-0.2051369696855545
YER061C,1,only_rf,1.2022580645161292,-0.15442144870758057
YER069W,1,only_rf,1.1628225806451613,-0.29772627353668213
YER090W,1,only_rf,1.0799999999999998,-0.21390466392040253
YER091C,1,only_rf,1.2080645161290322,-0.3147118091583252
