rank,index,gene1,gene2,gene3,ensemble_mean,checkpoint_sd,M01,M02,M03,n_metabolic,n_regulator,n_supported,all_three_positive,outside_label_range,spread_over_mean
397,21598116,YKL069W,YDR423C,YPL177C,0.38232422,0.2168054,0.66259766,0.34985352,0.13452148,1,2,1,True,False,0.5670721
398,13093275,YKL008C,YDR483W,YGR262C,0.38158163,0.40281108,0.94873047,0.14428711,0.051727295,2,1,1,True,False,1.0556355
399,13093263,YKL008C,YDR483W,YGL096W,0.38142905,0.3013671,0.17077637,0.8076172,0.16589355,2,1,1,True,False,0.79010004
400,20159601,YPL053C,YOR123C,YGL096W,0.38119507,0.2332681,0.5722656,0.052764893,0.5185547,1,2,2,True,False,0.6119389
401,16087379,YNL071W,YDR001C,YGL096W,0.38094077,0.14599316,0.5439453,0.4091797,0.18969727,2,1,1,True,False,0.38324374
402,3593014,YGR121C,YBR205W,YPL181W,0.38086954,0.346921,0.8496094,0.021026611,0.27197266,2,1,2,True,False,0.9108657
403,35528825,YDR483W,YOR304W,YDR169C,0.38045248,0.32761165,0.30932617,0.01953125,0.8125,1,2,1,True,False,0.86111057
404,17751873,YPL053C,YDR483W,YPL139C,0.38020834,0.45345336,1.0214844,0.06149292,0.057647705,2,1,1,True,False,1.1926445
405,20160867,YPL053C,YPL089C,YPL139C,0.37984213,0.44740996,1.0117188,0.03540039,0.09240723,1,2,2,True,False,1.177884
406,5892115,YPL053C,YGR193C,YOR304W,0.37984213,0.19466314,0.6542969,0.26123047,0.22399902,2,1,2,True,False,0.5124843
407,15267346,YLR386W,YDR483W,YPL177C,0.37947592,0.13691571,0.5517578,0.36987305,0.21679688,2,1,1,True,False,0.3608021
408,21598735,YKL069W,YDR507C,YGL096W,0.3791504,0.33067715,0.8461914,0.125,0.16625977,1,2,1,True,False,0.872153
409,1765960,YNL071W,YPL053C,YAL017W,0.37778726,0.41479367,0.96435547,0.07867432,0.09033203,2,1,2,True,False,1.0979557
410,19594228,YKL069W,YML007W,YDR507C,0.37773642,0.3816416,0.9086914,0.02835083,0.19616699,1,2,2,True,False,1.0103383
411,11295882,YGR121C,YOR099W,YPL139C,0.3775463,0.541677,1.1435547,-0.0121154785,0.0011997223,2,1,1,False,False,1.4347299
412,34083337,YBR001C,YPL089C,YDR169C,0.3770803,0.45709634,0.08630371,0.022476196,1.0224609,1,2,1,True,False,1.212199
413,29126694,YHL003C,YOR099W,YPL181W,0.37686157,0.2457652,0.043182373,0.6279297,0.45947266,2,1,1,True,False,0.6521365
414,1362173,YGR121C,YPL053C,YPL177C,0.3763021,0.20600042,0.46875,0.56933594,0.09082031,2,1,2,True,False,0.5474336
415,13193907,YKL069W,YDR321W,YDR507C,0.37628174,0.37074092,0.89990234,0.09124756,0.13769531,2,1,1,True,False,0.9852748
416,34082219,YBR001C,YOR123C,YGL096W,0.37626138,0.15303652,0.45703125,0.1619873,0.5097656,1,2,1,True,False,0.40672928
417,1362043,YGR121C,YPL053C,YER139C,0.3761495,0.4755126,1.0478516,0.012359619,0.068237305,2,1,2,True,False,1.2641585
418,16161416,YNL071W,YOR099W,YPL139C,0.37604582,0.4481545,1.0058594,-0.0002194643,0.12249756,2,1,1,False,False,1.191755
419,15290839,YLR386W,YIL160C,YPL177C,0.37471518,0.21085589,0.14001465,0.33276367,0.6513672,2,1,1,True,False,0.56270975
420,21607026,YKL069W,YLR113W,YPL177C,0.3745931,0.1815899,0.39526367,0.5859375,0.14257812,1,2,1,True,False,0.48476574
421,4431854,YKR053C,YDR001C,YPL181W,0.37443033,0.07161199,0.40454102,0.44311523,0.27563477,2,1,2,True,False,0.19125585
422,21591241,YKL008C,YPL177C,YPR096C,0.37423706,0.34458268,0.050567627,0.22058105,0.8515625,1,2,1,True,False,0.92076045
423,5914095,YPL053C,YPR026W,YPL181W,0.37298074,0.4775156,0.056610107,0.014480591,1.0478516,2,1,2,True,False,1.2802688
424,26957517,YDR483W,YGR193C,YDR099W,0.37234497,0.26053917,0.6816406,0.39111328,0.044281006,2,1,1,True,False,0.6997252
425,15281289,YLR386W,YGR193C,YPL177C,0.37137857,0.13196872,0.21252441,0.3659668,0.53564453,2,1,1,True,False,0.35534823
426,34082913,YBR001C,YOR304W,YPL177C,0.37121582,0.17619464,0.3203125,0.1854248,0.60791016,1,2,1,True,False,0.47464204
427,897852,YDL100C,YLR386W,YPL177C,0.37101236,0.12841524,0.19824219,0.5058594,0.40893555,2,1,2,True,False,0.3461212
428,35886717,YFL060C,YOR123C,YPL177C,0.3708903,0.17628989,0.15979004,0.5913086,0.36157227,1,2,1,True,False,0.47531545
429,19865391,YML008C,YOR123C,YPL177C,0.37065125,0.3149708,0.32226562,0.7783203,0.011367798,1,2,2,True,False,0.8497767
430,19853046,YLR386W,YOR304W,YGL096W,0.37060547,0.094532564,0.27978516,0.3310547,0.50097656,1,2,2,True,False,0.25507602
431,5033155,YLR386W,YML056C,YLR131C,0.37013754,0.32017273,0.78808594,0.010314941,0.31201172,2,1,2,True,False,0.86501014
432,1566625,YKL008C,YPL053C,YGR262C,0.36979166,0.4766989,1.0439453,0.032073975,0.033355713,2,1,2,True,False,1.2891012
433,19956186,YNL071W,YPL181W,YGL096W,0.36979166,0.22548836,0.1706543,0.6850586,0.2536621,1,2,2,True,False,0.6097714
434,4286597,YKL069W,YDR001C,YPL089C,0.36931357,0.32590973,0.056427002,0.81884766,0.23266602,2,1,2,True,False,0.8824743
435,400607,YKR053C,YPL053C,YDR099W,0.36895752,0.3349113,0.84228516,0.117492676,0.14709473,2,1,3,True,False,0.9077232
436,18647330,YLR386W,YDR099W,YLR131C,0.36889648,0.20683222,0.64746094,0.15234375,0.30688477,1,2,3,True,False,0.5606782
437,5072528,YML008C,YNL052W,YER111C,0.36786905,0.34576762,0.20483398,0.8486328,0.05014038,2,1,2,True,False,0.93992037
438,5022971,YLR386W,YHR216W,YLR131C,0.36776733,0.30219653,0.7182617,-0.019256592,0.40429688,2,1,2,False,False,0.82170576
439,1485982,YJL139C,YKL069W,YDR122W,0.367452,0.29764473,0.7734375,0.06817627,0.2607422,2,1,2,True,False,0.8100234
440,1571700,YKL069W,YLR386W,YPL177C,0.3674113,0.38506022,0.062927246,0.91064453,0.12866211,2,1,2,True,False,1.0480359
441,20160719,YPL053C,YPL089C,YDR169C,0.36709085,0.42432672,0.12322998,0.014175415,0.9638672,1,2,2,True,False,1.1559174
442,15281168,YLR386W,YGR193C,YGL096W,0.36645508,0.059188873,0.3005371,0.35473633,0.4440918,2,1,1,True,False,0.1615174
443,18665042,YNL071W,YDR099W,YPL181W,0.36590576,0.2330042,0.6508789,0.36669922,0.08013916,1,2,3,True,False,0.6367875
444,23990742,YBR205W,YDR483W,YPL181W,0.36564127,0.25163436,0.68408203,0.068847656,0.34399414,2,1,1,True,False,0.6882001
445,4434667,YKR053C,YDR483W,YPL089C,0.36543784,0.19015981,0.37890625,0.12609863,0.5913086,2,1,2,True,False,0.5203616
446,15315548,YLR386W,YLR432W,YGL096W,0.36543784,0.18439925,0.62402344,0.20690918,0.26538086,2,1,1,True,False,0.50459814
447,5059932,YML008C,YIL111W,YER111C,0.3645223,0.3581497,0.13793945,0.8701172,0.085510254,2,1,2,True,False,0.98251796
448,1489952,YJL139C,YLR386W,YPL177C,0.3643392,0.12439459,0.5175781,0.21289062,0.36254883,2,1,2,True,False,0.3414252
449,23922465,YBR199W,YDR483W,YOR304W,0.36402383,0.2680393,0.3762207,0.029815674,0.68603516,2,1,1,True,False,0.7363235
450,21961756,YLR386W,YDR507C,YPL177C,0.3638102,0.10936212,0.48999023,0.2232666,0.37817383,1,2,1,True,False,0.3006021
451,1486011,YJL139C,YKL069W,YGL096W,0.36353555,0.32889545,0.80859375,0.023956299,0.25805664,2,1,2,True,False,0.9047133
452,19584430,YKL008C,YOR304W,YPL177C,0.36315918,0.2325451,0.22265625,0.17590332,0.69091797,1,2,2,True,False,0.6403393
453,34992072,YDR001C,YPL089C,YPL139C,0.36242676,0.38881594,0.9121094,0.07519531,0.099975586,1,2,1,True,False,1.0728124
454,4281789,YKL069W,YBR001C,YDR099W,0.3623047,0.19130793,0.36791992,0.59375,0.12524414,2,1,2,True,False,0.5280305
455,5880461,YPL053C,YBR177C,YPL181W,0.36229452,0.4243499,0.06573486,0.058746338,0.96240234,2,1,2,True,False,1.1712843
456,21972282,YLR386W,YPL177C,YPR009W,0.3618978,0.07537907,0.46533203,0.2878418,0.33251953,1,2,1,True,False,0.2082883
457,19737421,YLR044C,YOR123C,YPL177C,0.3618164,0.15092078,0.15429688,0.50878906,0.42236328,1,2,2,True,False,0.41711977
458,13085241,YKL008C,YDR001C,YGL096W,0.36142984,0.3608458,0.14233398,0.8701172,0.07183838,2,1,1,True,False,0.9983841
