run_id,cell_dataset.is_pert,cell_dataset.size,cell_dataset.aggregation,cell_dataset.node_embeddings,random_forest.max_depth,random_forest.n_estimators,random_forest.min_samples_split,num_params,val_r2,test_r2,val_pearson,test_pearson,val_spearman,test_spearman,val_mae,test_mae,val_mse,test_mse,val_rmse,test_rmse,fold_1_val_r2,fold_1_train_r2,fold_2_val_r2,fold_2_train_r2,fold_3_val_r2,fold_3_train_r2,fold_4_val_r2,fold_4_train_r2,fold_5_val_r2,fold_5_train_r2,fold_1_val_pearson,fold_1_train_pearson,fold_2_val_pearson,fold_2_train_pearson,fold_3_val_pearson,fold_3_train_pearson,fold_4_val_pearson,fold_4_train_pearson,fold_5_val_pearson,fold_5_train_pearson,fold_1_val_spearman,fold_1_train_spearman,fold_2_val_spearman,fold_2_train_spearman,fold_3_val_spearman,fold_3_train_spearman,fold_4_val_spearman,fold_4_train_spearman,fold_5_val_spearman,fold_5_train_spearman,fold_1_val_mse,fold_1_train_mse,fold_2_val_mse,fold_2_train_mse,fold_3_val_mse,fold_3_train_mse,fold_4_val_mse,fold_4_train_mse,fold_5_val_mse,fold_5_train_mse,fold_1_val_mae,fold_1_train_mae,fold_2_val_mae,fold_2_train_mae,fold_3_val_mae,fold_3_train_mae,fold_4_val_mae,fold_4_train_mae,fold_5_val_mae,fold_5_train_mae,fold_1_val_rmse,fold_1_train_rmse,fold_2_val_rmse,fold_2_train_rmse,fold_3_val_rmse,fold_3_train_rmse,fold_4_val_rmse,fold_4_train_rmse,fold_5_val_rmse,fold_5_train_rmse,fold_val_r2_mean,fold_val_r2_std,fold_train_r2_mean,fold_train_r2_std,fold_val_pearson_mean,fold_val_pearson_std,fold_train_pearson_mean,fold_train_pearson_std,fold_val_spearman_mean,fold_val_spearman_std,fold_train_spearman_mean,fold_train_spearman_std,fold_val_mse_mean,fold_val_mse_std,fold_train_mse_mean,fold_train_mse_std,fold_val_mae_mean,fold_val_mae_std,fold_train_mae_mean,fold_train_mae_std,fold_val_rmse_mean,fold_val_rmse_std,fold_train_rmse_mean,fold_train_rmse_std
9xa2sdyi,False,100000,mean,['esm2_t33_650M_UR50D_all'],10,200,2,105850.0,0.05955981919826325,0.05614204346184115,0.25191797719880876,0.2474179842401973,0.2592936509472969,0.27137899274917415,0.03702261058811829,0.037369945521951435,0.003510389082424142,0.003667917852479517,0.0592485365424678,0.06056333752757948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xpgqbp78,False,100000,mean,['esm2_t33_650M_UR50D_all'],10,500,2,259984.0,0.060546273228025305,0.05606006118079887,0.25485493309488,0.24794670707329292,0.2770568666075573,0.2837001073269074,0.03701152543224044,0.03734099209570678,0.0035067069370553236,0.0036682364430790223,0.05921745466545589,0.06056596769704107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7p5aw17r,False,100000,mean,['esm2_t33_650M_UR50D_all'],10,100,5,32010.0,0.05697764214363166,0.054430151439150976,0.24436707630572116,0.2413335231837838,0.2554212825122529,0.2681055398796167,0.03703600759340649,0.037380145737037414,0.0035200275967353207,0.0036745704205572095,0.059329820467748935,0.060618235049836364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6bz0u10o,False,100000,mean,['esm2_t33_650M_UR50D_all'],10,200,5,63942.0,0.059059570570871744,0.056440162620458034,0.2505288764580163,0.248231306111928,0.2635988266001478,0.2755900072045049,0.037024275501078285,0.037354201542402696,0.003512256364741446,0.0036667593343185137,0.05926429249338463,0.06055377225506693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8uoww0wu,False,100000,mean,['esm2_t33_650M_UR50D_all'],10,100,10,24328.0,0.06135263988528072,0.05628707459963811,0.25565461628339164,0.24697252889599705,0.25733366441507316,0.26904046992441877,0.037001811308630145,0.037353201265639895,0.0035036970053575443,0.0036673542482890706,0.05919203498239898,0.06055868433419827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98mq2p5g,False,100000,mean,['esm2_t33_650M_UR50D_all'],10,500,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x4wfn6rk,False,100000,mean,['esm2_t33_650M_UR50D_all'],10,200,10,47760.0,0.060172326669957754,0.05396971512469961,0.253713565903378,0.2407693111798149,0.2576743767878645,0.2716297218546101,0.03701904532468126,0.03737174543744136,0.0035081027705614284,0.003676359717946724,0.05922923915230913,0.06063299199236934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stxdrhxd,False,100000,mean,['esm2_t33_650M_UR50D_all'],10,500,10,120406.0,0.06054593356396398,0.05527827960792575,0.2545619424088511,0.24502272332528563,0.27020223395061577,0.2822866140851687,0.03701232947173073,0.03736611408290285,0.0035067082049222618,0.003671274517365537,0.05921746537063421,0.060591043210738146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tiy12aix,False,100000,mean,['esm2_t33_650M_UR50D_all'],500,200,2,19896024.0,0.13781209140196904,0.12764013803957042,0.37264632760261374,0.35823846350615507,0.4389341048373027,0.4471412933052658,0.03566377789025418,0.03594867729045962,0.003218296158677956,0.0033900697549948187,0.05673002872093364,0.058224305534671845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yrj3d6yr,False,100000,mean,['esm2_t33_650M_UR50D_all'],500,100,2,9910226.0,0.1310122926286983,0.12439473586097416,0.36432274397200715,0.35447821075141145,0.4297150142162374,0.4387347935991037,0.035835131508886155,0.03613685761888493,0.0032436778255438077,0.0034026816829940375,0.05695329512454751,0.058332509657943205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8rud14yq,False,100000,mean,['esm2_t33_650M_UR50D_all'],500,100,5,3714440.0,0.13170767509664685,0.122174064730459,0.3648089464754268,0.35159485418381586,0.4291812054977039,0.4408694278359612,0.03580243205466398,0.03611186423448159,0.003241082165475866,0.003411311412952534,0.056930502944167516,0.05840643297576504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
