idx,num_genes,genes,num_uncharacterized,uncharacterized_genes,gene_interaction,p_value,abs_score
318548,3,"YCR048W,YMR206W,YNR019W",1,YMR206W,0.1116430014371872,0.024809999391436577,0.1116430014371872
96124,3,"YAL056W,YDR248C,YOR371C",1,YDR248C,-0.1386439949274063,0.025930000469088554,0.1386439949274063
110394,3,"YER092W,YGR035C,YLR346C",1,YGR035C,-0.11813800036907196,0.016680000349879265,0.11813800036907196
178534,3,"YGR035C,YLR346C,YOR140W",1,YGR035C,0.17717300355434418,2.418000076431781e-05,0.17717300355434418
374677,3,"YGR035C,YLR089C,YLR346C",1,YGR035C,0.11456099897623062,0.003370000049471855,0.11456099897623062
42077,3,"YAL056W,YGL149W,YOR371C",1,YGL149W,-0.10436099767684937,0.0414000004529953,0.10436099767684937
118942,3,"YGR174W-A,YIL161W,YPR057W",1,YGR174W-A,-0.14228099584579468,0.03296000137925148,0.14228099584579468
240098,3,"YGR174W-A,YIL161W,YLR287C-A",1,YGR174W-A,-0.23524099588394165,0.026159999892115593,0.23524099588394165
224715,3,"YDR351W,YHR103W,YLR111W",1,YLR111W,-0.2105640023946762,0.029670000076293945,0.2105640023946762
332408,3,"YCR048W,YNR019W,YPR064W",1,YPR064W,-0.15718500316143036,0.04893999919295311,0.15718500316143036
106681,3,"YLR031W,YMR124W,YOR080W",1,YLR031W,0.10595399886369705,0.017160000279545784,0.10595399886369705
174999,3,"YLR031W,YMR124W,YPL076W",1,YLR031W,-0.11314299702644348,1.4720000081069884e-06,0.11314299702644348
86893,3,"YDL008W,YJR130C,YML082W",1,YML082W,0.19433100521564484,0.036410000175237656,0.19433100521564484
111816,3,"YJR130C,YLR381W,YML082W",1,YML082W,0.15634800493717194,0.025129999965429306,0.15634800493717194
197805,3,"YAL056W,YDR525W,YOR371C",1,YDR525W,0.11300700157880783,0.017149999737739563,0.11300700157880783
156035,3,"YGL096W,YHL029C,YPL177C",1,YHL029C,-0.3753359913825989,0.01680999994277954,0.3753359913825989
247439,3,"YBL105C,YER075C,YHL029C",1,YHL029C,-0.13940100371837616,4.0169998101191595e-06,0.13940100371837616
250358,3,"YBL041W,YHL029C,YLL050C",1,YHL029C,-0.7537509799003601,0.04424000158905983,0.7537509799003601
283467,3,"YHL029C,YMR291W,YPL099C",1,YHL029C,-0.41658198833465576,0.034630000591278076,0.41658198833465576
