gene,p5,q1,median,q3,p95,iqr,n_genes,frac_gt_0.25,frac_gt_0.5,frac_gt_0.75,frac_gt_1.0
YOL117W,-0.1297686454713911,-0.039300170549963175,0.008046995788694195,0.05890116866386923,0.1482925872324913,0.0982013392138324,6169,0.019938401685848598,0.0037283190144269734,0.0016210082671421625,0.0011347057869995137
YDR147W,-0.14101260881670333,-0.04495640045571527,0.0038735474460127872,0.053580247532827294,0.1408542796698594,0.09853664798854256,6169,0.022207813259847626,0.004700923974712271,0.0024315124007132437,0.00129680661371373
YKR098C,-0.11199957555874962,-0.028464429223910348,0.01993197792392143,0.07029760597864679,0.1642974825499757,0.09876203520255714,6169,0.02382882152698979,0.0037283190144269734,0.0016210082671421625,0.0009726049602852974
YER098W,-0.12122141976997398,-0.035010800233223886,0.014391919188116574,0.06384470309979648,0.14923038186756507,0.09885550333302037,6169,0.01685848597827849,0.0037283190144269734,0.0016210082671421625,0.0011347057869995137
YML082W,-0.09662409075290326,-0.02077621129455831,0.02592288291882497,0.07810429178578053,0.18002842552918125,0.09888050308033884,6169,0.020911006646133896,0.0038904198411411897,0.00259361322742746,0.00129680661371373
YBL078C,-0.1220165377626176,-0.039331768012346224,0.008272503196159738,0.0598428568840713,0.14653430490631056,0.09917462489641753,6169,0.014913276057707894,0.0037283190144269734,0.0019452099205705948,0.0011347057869995137
YHR191C,-0.07625563130634835,-0.0029637485725186735,0.04563750698562704,0.09665771480479379,0.18778442796740066,0.09962146337731247,6169,0.018803695898849084,0.004214621494569622,0.0022694115739990274,0.00129680661371373
YLL022C,-0.13949658841328386,-0.041609968973321934,0.008781787488807959,0.05810976133742367,0.1476765925820805,0.0997197303107456,6169,0.02155940995299076,0.0029178148808558925,0.0016210082671421625,0.0011347057869995137
YLR247C,-0.1645629556705161,-0.051781907948269125,-0.0009522086361360392,0.0480422813555161,0.14757848605038756,0.09982418930378523,6169,0.03274436699627168,0.0061598314151402175,0.0016210082671421625,0.0011347057869995137
YPL192C,-0.11045942121343967,-0.015074911074748287,0.035602741187917286,0.08490894549137334,0.17711220691148433,0.09998385656612163,6169,0.02934024963527314,0.004538823147998055,0.0024315124007132437,0.0011347057869995137
YBR165W,-0.14634855354157003,-0.04849327959377646,0.0017457329905243742,0.052712377062251924,0.14956563326186662,0.10120565665602838,6169,0.025774031447560384,0.004214621494569622,0.0016210082671421625,0.0009726049602852974
YNR007C,-0.14200382893551355,-0.044737378432604696,0.007525961751978401,0.05673327028241696,0.14536251879284648,0.10147064871502165,6169,0.021073107472848112,0.0037283190144269734,0.0016210082671421625,0.0011347057869995137
YBL067C,-0.14084487003133758,-0.04604974134975063,0.004225741176339188,0.055558723785089865,0.16384245858677274,0.1016084651348405,6169,0.030312854595558436,0.009726049602852975,0.0043767223212838385,0.0024315124007132437
YIL146C,-0.16370594709915567,-0.039496454185522105,0.011550824554925686,0.0626119579067709,0.18009880497736344,0.10210841209229302,6169,0.044739828173123684,0.011347057869995137,0.005349327281569136,0.0030799157075701088
YNL004W,-0.13121710984373053,-0.031618536211815554,0.020320566076829347,0.07057139009373017,0.156702363058272,0.10218992630554573,6169,0.027395039714702547,0.0037283190144269734,0.0019452099205705948,0.0011347057869995137
YLR423C,-0.1476125026406706,-0.03854117319866077,0.009079257102064524,0.06391924694085302,0.16466978050093517,0.10246042013951379,6169,0.030799157075701085,0.007456638028853947,0.0030799157075701088,0.0016210082671421625
YOL013C,-0.14058191199649334,-0.0391868380910574,0.01110549600444273,0.06341213492663378,0.15320692414608175,0.10259897301769118,6169,0.02334251904684714,0.0038904198411411897,0.0014589074404279462,0.0008105041335710813
YDR358W,-0.06703400265599982,0.010386911447936908,0.059797650749885134,0.11306945438705734,0.19943579138418807,0.10268254293912044,6169,0.02026260333927703,0.00259361322742746,0.00129680661371373,0.0009726049602852974
YPL236C,-0.13520522266269283,-0.045543034302505114,0.005941753490302607,0.057141942024841554,0.16127537268624773,0.10268497632734666,6169,0.024315124007132437,0.0043767223212838385,0.002755714054141676,0.0017831090938563786
