gene,in_ohya_morphology,in_kemmeren_responsive,in_sameith_doubles,in_expanded_metabolic,in_betaxanthin,is_tier1,overlap_score,is_essential,is_low_fitness,min_fitness,is_selected,selection_reason,num_sources
YFL034W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFL036W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFL040W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFL041W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFL044C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFL045C,False,False,False,True,False,False,1,True,True,0.4133,False,excluded_essential,1
YFL046W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFL047W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFL048C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFL049W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFL050C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFL051C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFL052W,True,False,True,False,False,True,1,False,False,,True,tier1,2
YFL053W,True,False,False,True,False,False,2,False,False,,True,score>=2,2
YFL054C,True,False,False,True,False,False,2,False,False,,True,score>=2,2
YFL055W,True,False,False,True,False,False,2,False,False,,True,score>=2,2
YFL058W,False,False,False,True,False,False,1,False,False,,False,excluded_low_overlap,1
YFL059W,False,False,False,True,False,False,1,False,False,,False,excluded_low_overlap,1
YFL060C,False,False,False,True,False,False,1,False,False,,False,excluded_low_overlap,1
YFL061W,False,False,False,True,False,False,1,False,False,,False,excluded_low_overlap,1
YFL063W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFR001W,True,True,False,False,False,False,2,False,True,0.324,False,excluded_low_fitness,2
YFR006W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFR007W,True,False,False,True,False,False,2,False,False,,True,score>=2,2
YFR008W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFR009W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFR010W,True,True,False,False,False,False,2,False,True,0.7552,False,excluded_low_fitness,2
YFR011C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFR012W,True,False,False,False,False,False,1,False,True,0.89711,False,excluded_low_fitness,1
YFR013W,True,True,False,False,False,False,2,False,False,,True,score>=2,2
YFR014C,True,True,False,True,False,False,3,False,False,,True,score>=2,3
YFR015C,True,True,False,True,False,False,3,False,False,,True,score>=2,3
YFR016C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFR017C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFR018C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFR019W,True,True,False,True,False,False,3,False,False,,True,score>=2,3
YFR020W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFR021W,True,False,False,True,False,False,2,True,False,,False,excluded_essential,2
YFR022W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFR023W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFR025C,True,False,False,True,False,False,2,False,False,,True,score>=2,2
YFR026C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFR030W,True,False,False,True,False,False,2,False,False,,True,score>=2,2
YFR031C-A,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFR032C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
