gene,in_ohya_morphology,in_kemmeren_responsive,in_sameith_doubles,in_expanded_metabolic,is_essential,is_low_fitness,min_fitness,num_sources
YDL066W,False,False,False,True,False,False,,1
YDL067C,False,False,False,True,False,True,0.6815,1
YDL069C,True,False,False,False,False,True,0.7565,1
YDL071C,True,False,False,False,False,False,,1
YDL073W,True,False,False,False,False,False,,1
YDL074C,True,True,False,False,False,True,0.605,2
YDL075W,True,False,False,False,False,False,,1
YDL076C,False,True,False,False,False,False,,1
YDL077C,True,True,False,False,False,True,0.6658,2
YDL078C,False,False,False,True,False,False,,1
YDL079C,False,False,False,True,False,False,,1
YDL080C,False,False,False,True,False,True,0.8882,1
YDL081C,True,False,False,False,False,True,0.592,1
YDL085W,False,False,False,True,False,False,,1
YDL090C,False,True,False,True,False,True,0.56,2
YDL091C,False,True,False,False,False,False,,1
YDL093W,False,False,False,True,False,False,,1
YDL095W,False,False,False,True,False,False,,1
YDL100C,False,False,False,True,False,False,,1
YDL101C,False,True,False,True,False,False,,2
YDL103C,False,False,False,True,True,True,0.2858,1
YDL106C,True,False,True,False,False,False,,2
YDL108W,False,False,False,True,True,True,0.6474,1
YDL110C,True,False,False,False,False,False,,1
YDL113C,True,False,False,False,False,False,,1
YDL115C,True,False,False,False,False,True,0.7575,1
YDL116W,True,False,False,False,False,True,0.669,1
YDL117W,True,False,False,False,False,True,0.8033,1
YDL118W,True,False,False,False,False,False,,1
YDL120W,False,False,False,True,True,False,,1
YDL122W,True,True,False,False,False,False,,2
YDL131W,False,False,False,True,False,False,,1
YDL133W,True,False,False,False,False,False,,1
YDL135C,True,False,False,False,False,False,,1
YDL138W,False,True,False,False,False,False,,1
YDL141W,False,False,False,True,True,False,,1
YDL142C,False,False,False,True,False,True,0.826,1
YDL151C,True,False,False,False,False,False,,1
YDL159W,False,True,False,True,False,False,,2
YDL160C,True,True,False,False,False,False,,2
YDL166C,False,False,False,True,True,False,,1
YDL167C,False,True,False,False,False,False,,1
YDL168W,False,False,False,True,False,False,,1
YDL170W,False,False,True,False,False,False,,1
YDL171C,False,False,False,True,False,False,,1
YDL174C,False,False,False,True,False,False,,1
YDL178W,False,False,False,True,False,False,,1
YDL182W,True,False,False,True,False,False,,2
YDL185W,True,False,False,True,False,False,,2
YDL190C,False,True,False,False,False,True,0.8588,1
YDL191W,True,False,False,False,False,True,0.8865,1
YDL192W,True,False,False,False,False,True,0.5095,1
YDL198C,True,False,False,True,False,False,,2
YDL205C,False,False,False,True,True,False,,1
YDL210W,False,False,False,True,False,False,,1
YDL213C,False,True,False,False,False,False,,1
YDL214C,False,False,False,True,False,False,,1
YDL215C,False,False,False,True,False,False,,1
YDL219W,False,False,False,True,False,False,,1
YDL225W,True,False,False,False,False,False,,1
YDL232W,True,False,False,False,False,True,0.6545,1
YDL236W,True,True,False,True,False,False,,3
YDL238C,False,False,False,True,False,False,,1
YDL243C,False,False,False,True,False,False,,1
YDL245C,False,False,False,True,False,False,,1
YDL246C,False,False,False,True,False,False,,1
YDL247W,False,False,False,True,False,False,,1
YDR001C,False,False,False,True,False,False,,1
YDR004W,True,True,False,False,False,True,0.865,2
YDR007W,True,False,False,True,False,False,,2
YDR009W,False,False,False,True,False,False,,1
YDR014W,True,False,False,False,False,False,,1
YDR017C,False,False,False,True,False,False,,1
YDR019C,False,False,False,True,False,False,,1
YDR020C,False,False,False,True,False,False,,1
YDR023W,False,False,False,True,True,False,,1
YDR024W,True,False,False,False,False,True,0.766,1
YDR025W,True,False,False,False,False,True,0.6085,1
YDR026C,False,False,True,False,False,False,,1
YDR027C,True,False,False,False,False,False,,1
YDR028C,True,True,False,False,False,False,,2
YDR030C,False,True,False,False,False,False,,1
YDR032C,True,False,False,False,False,False,,1
YDR034C,False,False,True,True,False,False,,2
YDR035W,False,False,False,True,False,False,,1
YDR036C,False,False,False,True,False,False,,1
YDR037W,False,False,False,True,True,True,0.7894,1
YDR038C,False,False,False,True,False,False,,1
YDR039C,False,False,False,True,False,False,,1
YDR040C,False,False,False,True,False,False,,1
YDR042C,True,False,False,False,False,False,,1
YDR043C,False,True,True,False,False,False,,2
YDR044W,False,False,False,True,True,True,0.821,1
YDR046C,False,False,False,True,False,False,,1
YDR047W,False,False,False,True,True,True,0.897,1
YDR049W,True,False,False,False,False,True,0.8408,1
YDR050C,False,False,False,True,True,False,,1
YDR051C,False,False,False,True,False,False,,1
YDR055W,True,False,False,False,False,False,,1
YDR058C,False,False,False,True,False,False,,1
YDR062W,False,False,False,True,True,True,0.3903,1
YDR067C,False,True,False,False,False,False,,1
YDR069C,False,True,False,False,False,True,0.3655,1
YDR071C,False,False,False,True,False,False,,1
YDR072C,True,False,False,True,False,False,,2
YDR073W,False,True,False,False,False,False,,1
YDR074W,True,True,False,True,False,True,0.6558,3
YDR075W,False,True,False,False,False,False,,1
YDR076W,True,True,False,False,False,True,0.8475,2
YDR078C,True,False,False,False,False,False,,1
YDR079C-A,False,True,False,False,False,False,,1
YDR079W,True,False,False,False,False,True,0.7905,1
YDR080W,True,True,False,False,False,True,0.5993,2
YDR083W,False,True,False,False,False,True,0.684,1
YDR093W,False,False,False,True,False,False,,1
YDR096W,False,True,True,False,False,False,,2
YDR097C,True,False,False,False,False,False,,1
YDR098C,False,False,False,True,False,False,,1
YDR100W,True,False,False,False,False,False,,1
YDR101C,False,True,False,False,False,True,0.7752,1
YDR103W,False,True,False,False,False,False,,1
YDR105C,False,False,False,True,False,False,,1
YDR109C,False,False,False,True,False,False,,1
YDR111C,False,False,False,True,False,False,,1
YDR116C,True,False,False,False,False,True,0.7967,1
YDR117C,True,False,False,False,False,False,,1
YDR119W,True,False,False,False,False,False,,1
YDR120C,False,True,False,False,False,False,,1
YDR121W,False,True,False,False,False,False,,1
YDR122W,True,False,False,True,False,False,,2
YDR123C,True,True,False,False,False,True,0.6675,2
YDR124W,True,False,False,False,False,False,,1
YDR127W,False,False,False,True,False,True,0.8578,1
YDR128W,True,False,False,False,False,True,0.779,1
YDR129C,True,False,False,False,False,True,0.5335,1
YDR130C,True,True,False,False,False,False,,2
YDR135C,False,False,False,True,False,False,,1
YDR137W,False,True,False,False,False,True,0.703,1
YDR138W,True,False,False,False,False,False,,1
YDR140W,True,False,False,False,False,False,,1
YDR143C,False,True,False,False,False,False,,1
YDR146C,True,True,False,False,False,True,0.89415,2
YDR147W,False,False,False,True,False,False,,1
YDR148C,False,False,False,True,False,False,,1
YDR149C,True,False,False,False,False,True,0.8575,1
YDR150W,True,False,False,False,False,True,0.8518,1
YDR156W,False,True,False,False,False,True,0.8562,1
YDR158W,False,True,False,True,False,True,0.8618,2
YDR159W,True,True,False,False,False,True,0.5585,2
YDR162C,True,True,False,False,False,True,0.7477,2
YDR169C,True,False,False,False,False,False,,1
YDR173C,True,True,False,True,False,False,,3
YDR174W,True,True,True,False,False,True,0.497,3
YDR176W,True,True,False,False,False,True,0.345,2
YDR178W,False,False,False,True,False,False,,1
YDR181C,False,True,False,False,False,False,,1
YDR191W,False,False,False,True,False,False,,1
YDR195W,True,False,False,False,False,True,0.508,1
YDR196C,False,False,False,True,True,True,0.2587,1
YDR197W,True,False,False,False,False,True,0.7725,1
YDR198C,True,False,False,False,False,False,,1
YDR200C,True,False,False,False,False,False,,1
YDR204W,True,False,False,True,False,True,0.799,2
YDR206W,True,True,False,False,False,False,,2
YDR208W,False,False,False,True,True,True,0.8133,1
YDR213W,False,False,True,False,False,False,,1
YDR219C,False,True,False,False,False,False,,1
YDR223W,True,False,False,False,False,False,,1
YDR226W,True,False,False,True,False,True,0.3255,2
YDR227W,True,True,False,False,False,False,,2
YDR231C,False,False,False,True,False,True,0.7845,1
YDR232W,False,False,False,True,True,True,0.6412,1
YDR234W,False,False,False,True,False,False,,1
YDR236C,False,False,False,True,True,True,0.4888,1
YDR241W,True,False,False,False,False,False,,1
YDR242W,False,False,False,True,False,False,,1
YDR244W,False,True,False,False,False,True,0.8417,1
YDR245W,True,False,False,False,False,True,0.462,1
YDR247W,False,False,False,True,False,False,,1
YDR248C,False,False,False,True,False,False,,1
YDR251W,True,False,False,False,False,False,,1
YDR252W,True,False,False,False,False,False,,1
YDR253C,True,False,True,False,False,False,,2
