component,singular_value,cumulative_variance
768,5.41893,0.9761528
769,5.4131174,0.9762131
770,5.408834,0.97627324
771,5.402242,0.9763333
772,5.393834,0.97639316
773,5.3885293,0.9764529
774,5.387226,0.9765127
775,5.375243,0.9765721
776,5.3695145,0.97663146
777,5.3671713,0.97669077
778,5.364282,0.97674996
779,5.3585715,0.9768091
780,5.3557134,0.9768681
781,5.348614,0.9769269
782,5.345772,0.9769857
783,5.3427305,0.9770444
784,5.3353705,0.977103
785,5.3333087,0.97716147
786,5.327478,0.9772199
787,5.3242216,0.9772782
788,5.32113,0.97733647
789,5.3177342,0.97739464
790,5.312763,0.9774527
791,5.3059354,0.97751063
792,5.30207,0.9775685
793,5.301322,0.9776263
794,5.2953577,0.977684
795,5.290773,0.9777416
796,5.289555,0.9777992
797,5.282772,0.9778566
798,5.277797,0.97791386
799,5.2756076,0.97797114
800,5.2710385,0.9780283
801,5.266787,0.9780854
802,5.2626824,0.9781424
803,5.2608786,0.97819936
804,5.257183,0.9782562
805,5.2502623,0.9783129
806,5.2466416,0.97836953
807,5.241855,0.9784261
808,5.238715,0.97848254
809,5.2345366,0.97853893
810,5.22829,0.9785952
811,5.2220607,0.97865134
812,5.213998,0.97870725
813,5.2098665,0.97876316
814,5.2070355,0.97881895
815,5.2051377,0.9788747
816,5.1984973,0.9789303
817,5.1929536,0.9789858
818,5.190211,0.9790412
819,5.183736,0.97909653
820,5.1788645,0.9791517
821,5.1717463,0.97920674
822,5.1669555,0.97926164
823,5.1650543,0.9793166
824,5.1604657,0.97937137
825,5.15673,0.9794261
826,5.149123,0.97948056
827,5.1441956,0.97953504
828,5.1382627,0.9795894
829,5.135891,0.97964364
830,5.133564,0.9796979
831,5.1291285,0.979752
832,5.124106,0.979806
833,5.1167583,0.9798599
834,5.1130333,0.9799137
835,5.1087756,0.9799674
836,5.105347,0.98002106
837,5.0981755,0.9800745
838,5.097763,0.98012805
839,5.0940247,0.9801814
840,5.0875583,0.9802346
841,5.085285,0.98028785
842,5.078029,0.9803409
843,5.077968,0.98039395
844,5.0722995,0.9804469
845,5.068209,0.98049974
