sce:YCR010C	ko:K07034
sce:YCR011C	ko:K05681
sce:YCR012W	ko:K00927
sce:YCR014C	ko:K10981
sce:YCR017C	ko:K27881
sce:YCR018C	ko:K14858
sce:YCR020C-A	ko:K20824
sce:YCR020W-B	ko:K11769
sce:YCR024C	ko:K01893
sce:YCR027C	ko:K07208
sce:YCR028C	ko:K03448
sce:YCR030C	ko:K20042
sce:YCR031C	ko:K02955
sce:YCR032W	ko:K24781
sce:YCR034W	ko:K10245
sce:YCR035C	ko:K12586
sce:YCR036W	ko:K00852
sce:YCR037C	ko:K14430
sce:YCR039C	ko:K09359
sce:YCR042C	ko:K03128
sce:YCR044C	ko:K23553
sce:YCR045C	ko:K14644
sce:YCR046C	ko:K02884
sce:YCR047C	ko:K19306
sce:YCR048W	ko:K00637
sce:YCR051W	ko:K06867
sce:YCR052W	ko:K11760
sce:YCR053W	ko:K01733
sce:YCR054C	ko:K19323
sce:YCR057C	ko:K14558
sce:YCR063W	ko:K12873
sce:YCR065W	ko:K09413
sce:YCR066W	ko:K10627
sce:YCR067C	ko:K14003
sce:YCR068W	ko:K17900
sce:YCR069W	ko:K01802
sce:YCR071C	ko:K17430
sce:YCR072C	ko:K14855
sce:YCR073C	ko:K11230
sce:YCR073W-A	ko:K01057
sce:YCR075C	ko:K12386
sce:YCR077C	ko:K12617
sce:YCR079W	ko:K19708
sce:YCR081W	ko:K15163
sce:YCR082W	ko:K11371
sce:YCR083W	ko:K03671
sce:YCR084C	ko:K06666
sce:YCR087C-A	ko:K15263
sce:YCR088W	ko:K20520
sce:YCR091W	ko:K08286
sce:YCR092C	ko:K08736
sce:YCR093W	ko:K12604
sce:YCR094W	ko:K26935
sce:YCR096C	ko:K09359
sce:YCR097W	ko:K09358
sce:YCR105W	ko:K00002
sce:YDL002C	ko:K11680
sce:YDL003W	ko:K06670
sce:YDL004W	ko:K02134
sce:YDL005C	ko:K15154
sce:YDL006W	ko:K19704
sce:YDL007W	ko:K03062
sce:YDL008W	ko:K03358
sce:YDL013W	ko:K22645
sce:YDL014W	ko:K14563
sce:YDL015C	ko:K10258
sce:YDL017W	ko:K02214
sce:YDL019C	ko:K20456
sce:YDL020C	ko:K03034
sce:YDL021W	ko:K01834
sce:YDL022W	ko:K00006
sce:YDL024C	ko:K01078
sce:YDL025C	ko:K28035
sce:YDL028C	ko:K08866
sce:YDL029W	ko:K17260
sce:YDL030W	ko:K12827
sce:YDL031W	ko:K14808
sce:YDL033C	ko:K21027
sce:YDL035C	ko:K12762
sce:YDL036C	ko:K15454
sce:YDL040C	ko:K20792
sce:YDL042C	ko:K11121
sce:YDL043C	ko:K12826
sce:YDL045C	ko:K00953
sce:YDL045W-A	ko:K27290
sce:YDL047W	ko:K15427
sce:YDL051W	ko:K11090
sce:YDL052C	ko:K13509
sce:YDL053C	ko:K29000
sce:YDL054C	ko:K28814
sce:YDL055C	ko:K00966
sce:YDL056W	ko:K06647
sce:YDL058W	ko:K20361
sce:YDL059C	ko:K10959
sce:YDL060W	ko:K14799
sce:YDL061C	ko:K02980
sce:YDL064W	ko:K10577
sce:YDL065C	ko:K13337
sce:YDL066W	ko:K00031
sce:YDL067C	ko:K02269
sce:YDL069C	ko:K17664
sce:YDL070W	ko:K11684
sce:YDL072C	ko:K14009
sce:YDL074C	ko:K10696
sce:YDL075W	ko:K02910
sce:YDL077C	ko:K20183
sce:YDL078C	ko:K00026
sce:YDL079C	ko:K12766
sce:YDL080C	ko:K01568
sce:YDL081C	ko:K02942
sce:YDL082W	ko:K02873
sce:YDL083C	ko:K02960
sce:YDL084W	ko:K12812
sce:YDL085W	ko:K03885
sce:YDL086W	ko:K01061
sce:YDL087C	ko:K13212
sce:YDL088C	ko:K18717
sce:YDL090C	ko:K05954
sce:YDL091C	ko:K18726
sce:YDL092W	ko:K03104
sce:YDL093W	ko:K00728
sce:YDL095W	ko:K00728
sce:YDL097C	ko:K03036
sce:YDL098C	ko:K12848
sce:YDL100C	ko:K01551
sce:YDL101C	ko:K06641
sce:YDL102W	ko:K02327
sce:YDL103C	ko:K00972
sce:YDL104C	ko:K01409
sce:YDL105W	ko:K22825
sce:YDL106C	ko:K02646
sce:YDL107W	ko:K17798
sce:YDL108W	ko:K02202
sce:YDL111C	ko:K12589
sce:YDL112W	ko:K15333
sce:YDL113C	ko:K21996
sce:YDL115C	ko:K28237
sce:YDL116W	ko:K14301
sce:YDL119C	ko:K15118
sce:YDL120W	ko:K19054
sce:YDL122W	ko:K11870
sce:YDL126C	ko:K13525
sce:YDL127W	ko:K06657
sce:YDL128W	ko:K07300
sce:YDL130W	ko:K02942
sce:YDL130W-A	ko:K22255
sce:YDL131W	ko:K01655
sce:YDL132W	ko:K03347
sce:YDL133C-A	ko:K02928
sce:YDL134C	ko:K04382
sce:YDL135C	ko:K12462
sce:YDL136W	ko:K02918
sce:YDL137W	ko:K07937
sce:YDL138W	ko:K08139
sce:YDL140C	ko:K03006
sce:YDL141W	ko:K01942
sce:YDL142C	ko:K08744
sce:YDL143W	ko:K09496
sce:YDL145C	ko:K05236
sce:YDL147W	ko:K03035
sce:YDL148C	ko:K14766
sce:YDL149W	ko:K17907
sce:YDL150W	ko:K03026
sce:YDL153C	ko:K14767
sce:YDL154W	ko:K08741
sce:YDL155W	ko:K06659
sce:YDL156W	ko:K24755
sce:YDL159W	ko:K11226
sce:YDL160C	ko:K12614
sce:YDL161W	ko:K12471
sce:YDL164C	ko:K10747
sce:YDL165W	ko:K12605
sce:YDL166C	ko:K18532
sce:YDL167C	ko:K29163
sce:YDL168W	ko:K00121
sce:YDL170W	ko:K09245
sce:YDL171C	ko:K00264
sce:YDL174C	ko:K00102
sce:YDL175C	ko:K12597
sce:YDL178W	ko:K21618
sce:YDL179W	ko:K06657
sce:YDL181W	ko:K22255
sce:YDL182W	ko:K01655
sce:YDL184C	ko:K02928
sce:YDL185W	ko:K02145
sce:YDL188C	ko:K04382
sce:YDL190C	ko:K10597
sce:YDL191W	ko:K02918
sce:YDL192W	ko:K07937
sce:YDL193W	ko:K19177
sce:YDL194W	ko:K08139
sce:YDL195W	ko:K14005
sce:YDL200C	ko:K00567
sce:YDL201W	ko:K03439
sce:YDL202W	ko:K02864
sce:YDL203C	ko:K07126
sce:YDL204W	ko:K28992
sce:YDL205C	ko:K01749
sce:YDL206W	ko:K13754
sce:YDL207W	ko:K18723
sce:YDL208W	ko:K11129
sce:YDL209C	ko:K27398
sce:YDL210W	ko:K28029
sce:YDL213C	ko:K14789
sce:YDL214C	ko:K28035
sce:YDL215C	ko:K15371
sce:YDL216C	ko:K09613
sce:YDL217C	ko:K17790
sce:YDL219W	ko:K07560
sce:YDL220C	ko:K11115
sce:YDL222C	ko:K27385
sce:YDL225W	ko:K16946
sce:YDL226C	ko:K12492
sce:YDL229W	ko:K03283
sce:YDL230W	ko:K01104
sce:YDL232W	ko:K00730
sce:YDL234C	ko:K20168
sce:YDL235C	ko:K11232
sce:YDL236W	ko:K01101
sce:YDL238C	ko:K01487
sce:YDL244W	ko:K18278
sce:YDL245C	ko:K08139
sce:YDL246C	ko:K00008
sce:YDL247W	ko:K08141
sce:YDR001C	ko:K01194
sce:YDR002W	ko:K15306
sce:YDR003W	ko:K28545
sce:YDR004W	ko:K10958
sce:YDR005C	ko:K25817
sce:YDR007W	ko:K01817
sce:YDR009W	ko:K00849
sce:YDR011W	ko:K08712
sce:YDR012W	ko:K02930
sce:YDR013W	ko:K10732
sce:YDR016C	ko:K11553
sce:YDR017C	ko:K07756
sce:YDR019C	ko:K00605
sce:YDR020C	ko:K00876
sce:YDR021W	ko:K13025
sce:YDR022C	ko:K21144
sce:YDR023W	ko:K01875
sce:YDR025W	ko:K02949
sce:YDR026C	ko:K09424
sce:YDR027C	ko:K17600
sce:YDR030C	ko:K10570
sce:YDR032C	ko:K03809
sce:YDR035W	ko:K01626
sce:YDR036C	ko:K05605
sce:YDR037W	ko:K04567
sce:YDR038C	ko:K01536
sce:YDR039C	ko:K01536
sce:YDR040C	ko:K01536
sce:YDR041W	ko:K02946
sce:YDR044W	ko:K00228
sce:YDR045C	ko:K03019
sce:YDR046C	ko:K16261
sce:YDR047W	ko:K01599
sce:YDR049W	ko:K26089
sce:YDR050C	ko:K01803
sce:YDR052C	ko:K02309
sce:YDR054C	ko:K02207
sce:YDR057W	ko:K10088
sce:YDR058C	ko:K01046
sce:YDR059C	ko:K06689
sce:YDR060W	ko:K14832
sce:YDR062W	ko:K00654
sce:YDR064W	ko:K02953
sce:YDR066C	ko:K20827
sce:YDR067C	ko:K18046
sce:YDR069C	ko:K11839
sce:YDR072C	ko:K22725
sce:YDR073W	ko:K11774
sce:YDR074W	ko:K16055
sce:YDR075W	ko:K15423
sce:YDR076W	ko:K10957
sce:YDR078C	ko:K29178
sce:YDR079C-A	ko:K10845
sce:YDR079W	ko:K18187
sce:YDR080W	ko:K20184
sce:YDR082W	ko:K11117
sce:YDR083W	ko:K14850
sce:YDR084C	ko:K26752
sce:YDR086C	ko:K07342
sce:YDR087C	ko:K14849
sce:YDR088C	ko:K12819
sce:YDR091C	ko:K06174
sce:YDR092W	ko:K10580
sce:YDR093W	ko:K01530
sce:YDR096W	ko:K19798
sce:YDR097C	ko:K08737
sce:YDR099W	ko:K06630
sce:YDR100W	ko:K26750
sce:YDR101C	ko:K14813
sce:YDR103W	ko:K11239
sce:YDR104C	ko:K29021
sce:YDR105C	ko:K23544
sce:YDR107C	ko:K17086
sce:YDR108W	ko:K20305
sce:YDR109C	ko:K00875
sce:YDR110W	ko:K12577
sce:YDR111C	ko:K00814
sce:YDR113C	ko:K02627
sce:YDR115W	ko:K02914
sce:YDR116C	ko:K02863
sce:YDR117C	ko:K15027
sce:YDR118W	ko:K03351
sce:YDR119W	ko:K28669
sce:YDR120C	ko:K00555
sce:YDR121W	ko:K02326
sce:YDR122W	ko:K19852
sce:YDR123C	ko:K09102
sce:YDR126W	ko:K20003
sce:YDR127W	ko:K13830
sce:YDR128W	ko:K20409
sce:YDR129C	ko:K17275
sce:YDR135C	ko:K05665
sce:YDR137W	ko:K20477
sce:YDR138W	ko:K18712
sce:YDR139C	ko:K12158
sce:YDR140W	ko:K19589
sce:YDR141C	ko:K26680
sce:YDR142C	ko:K13341
sce:YDR144C	ko:K06009
sce:YDR145W	ko:K03126
sce:YDR146C	ko:K09202
sce:YDR147W	ko:K00894
sce:YDR148C	ko:K00658
sce:YDR150W	ko:K17978
sce:YDR153C	ko:K12471
sce:YDR155C	ko:K01802
sce:YDR156W	ko:K03001
sce:YDR158W	ko:K00133
sce:YDR159W	ko:K23719
sce:YDR160W	ko:K16261
sce:YDR163W	ko:K12863
sce:YDR164C	ko:K15292
sce:YDR165W	ko:K15443
sce:YDR166C	ko:K17637
sce:YDR167W	ko:K03134
sce:YDR168W	ko:K09554
sce:YDR170C	ko:K18442
sce:YDR171W	ko:K13993
sce:YDR172W	ko:K03267
