term,name,namespace,go_level,stratum,direct_genes,contained_genes,n_children,n_parents,width
GO:0007531,mating type determination,biological_process,4,2,2,9,1,1,20
GO:0008023,transcription elongation factor complex,cellular_component,3,2,3,16,3,1,20
GO:0008079,translation termination factor activity,molecular_function,2,2,1,7,1,1,20
GO:0008094,"ATP-dependent activity, acting on DNA",molecular_function,2,2,23,81,6,1,20
GO:0008104,protein localization,biological_process,4,2,23,621,6,1,20
GO:0008143,poly(A) binding,molecular_function,6,2,9,9,0,1,20
GO:0008152,metabolic process,biological_process,2,2,102,2638,20,1,31
GO:0008180,COP9 signalosome,cellular_component,3,2,7,7,0,1,20
GO:0008186,"ATP-dependent activity, acting on RNA",molecular_function,2,2,16,45,2,1,20
GO:0008195,phosphatidate phosphatase activity,molecular_function,7,2,4,4,0,1,20
GO:0008270,zinc ion binding,molecular_function,7,2,542,542,0,1,163
GO:0008289,lipid binding,molecular_function,2,2,41,103,1,1,20
GO:0008361,regulation of cell size,biological_process,5,2,28,28,0,1,20
GO:0008483,transaminase activity,molecular_function,4,2,19,20,1,1,20
GO:0008525,phosphatidylcholine transporter activity,molecular_function,4,2,1,1,0,1,20
GO:0008608,attachment of spindle microtubules to kinetochore,biological_process,3,2,15,27,2,1,20
GO:0008622,epsilon DNA polymerase complex,cellular_component,3,2,4,4,0,1,20
GO:0008623,CHRAC,cellular_component,5,2,5,5,0,1,20
GO:0008641,ubiquitin-like modifier activating enzyme activity,molecular_function,2,2,9,9,0,1,20
GO:0008643,carbohydrate transport,biological_process,4,2,32,38,1,1,20
GO:0008821,crossover junction DNA endonuclease activity,molecular_function,7,2,5,5,0,1,20
GO:0009055,electron transfer activity,molecular_function,1,2,18,42,2,1,20
GO:0009067,aspartate family amino acid biosynthetic process,biological_process,7,2,1,43,3,1,20
GO:0009070,serine family amino acid biosynthetic process,biological_process,6,2,3,18,3,1,20
GO:0009092,homoserine metabolic process,biological_process,7,2,2,11,1,1,20
GO:0009156,ribonucleoside monophosphate biosynthetic process,biological_process,7,2,5,23,1,1,20
GO:0009229,thiamine diphosphate biosynthetic process,biological_process,5,2,8,8,0,1,20
GO:0009268,response to pH,biological_process,3,2,1,11,2,1,20
GO:0009277,fungal-type cell wall,cellular_component,4,2,115,124,1,1,35
GO:0009410,response to xenobiotic stimulus,biological_process,3,2,15,15,0,1,20
GO:0009437,carnitine metabolic process,biological_process,5,2,3,3,0,1,20
GO:0009452,7-methylguanosine RNA capping,biological_process,7,2,1,8,1,1,20
GO:0009636,response to toxic substance,biological_process,3,2,5,5,0,1,20
GO:0009653,anatomical structure morphogenesis,biological_process,2,2,1,14,1,1,20
GO:0009749,response to glucose,biological_process,7,2,2,2,0,1,20
GO:0009757,hexose mediated signaling,biological_process,5,2,1,4,1,1,20
GO:0009966,regulation of signal transduction,biological_process,4,2,3,11,1,1,20
GO:0010038,response to metal ion,biological_process,3,2,4,17,2,1,20
GO:0010181,FMN binding,molecular_function,4,2,20,20,0,1,20
GO:0010314,phosphatidylinositol-5-phosphate binding,molecular_function,6,2,10,10,0,1,20
GO:0010389,regulation of G2/M transition of mitotic cell cycle,biological_process,7,2,2,18,2,1,20
GO:0010468,regulation of gene expression,biological_process,7,2,14,685,7,1,20
GO:0010506,regulation of autophagy,biological_process,6,2,3,43,3,1,20
GO:0010526,transposable element silencing,biological_process,8,2,8,8,0,1,20
GO:0010570,regulation of filamentous growth,biological_process,4,2,2,3,1,1,20
GO:0010603,regulation of cytoplasmic mRNA processing body assembly,biological_process,6,2,3,3,0,1,20
GO:0010969,regulation of pheromone-dependent signal transduction involved in conjugation with cellular fusion,biological_process,6,2,1,1,0,1,20
GO:0010992,ubiquitin recycling,biological_process,3,2,5,5,0,1,20
GO:0010994,free ubiquitin chain polymerization,biological_process,7,2,6,6,0,1,20
GO:0015146,pentose transmembrane transporter activity,molecular_function,6,2,4,4,0,1,20
GO:0015149,hexose transmembrane transporter activity,molecular_function,6,2,2,19,3,1,20
GO:0015215,nucleotide transmembrane transporter activity,molecular_function,4,2,1,5,1,1,20
GO:0015217,ADP transmembrane transporter activity,molecular_function,4,2,1,7,1,1,20
GO:0015247,aminophospholipid flippase activity,molecular_function,4,2,1,1,0,1,20
GO:0015267,channel activity,molecular_function,4,2,4,14,3,1,20
GO:0015288,porin activity,molecular_function,6,2,4,4,0,1,20
GO:0015293,symporter activity,molecular_function,5,2,8,8,0,1,20
GO:0015297,antiporter activity,molecular_function,5,2,25,28,1,1,20
GO:0015343,siderophore-iron transmembrane transporter activity,molecular_function,4,2,6,6,0,1,20
GO:0015386,potassium:proton antiporter activity,molecular_function,7,2,4,4,0,1,20
GO:0015850,organic hydroxy compound transport,biological_process,4,2,1,32,3,1,20
GO:0015866,ADP transport,biological_process,5,2,3,7,1,1,20
GO:0015867,ATP transport,biological_process,5,2,6,27,2,1,20
GO:0015891,siderophore transport,biological_process,10,2,8,11,1,1,20
GO:0015990,electron transport coupled proton transport,biological_process,7,2,5,5,0,1,20
GO:0016018,cyclosporin A binding,molecular_function,3,2,8,8,0,1,20
GO:0016035,zeta DNA polymerase complex,cellular_component,4,2,4,4,0,1,20
GO:0016192,vesicle-mediated transport,biological_process,2,2,153,395,6,1,46
GO:0016209,antioxidant activity,molecular_function,1,2,13,27,3,1,20
GO:0016226,iron-sulfur cluster assembly,biological_process,6,2,22,22,0,1,20
GO:0016281,eukaryotic translation initiation factor 4F complex,cellular_component,4,2,5,5,0,1,20
GO:0016282,eukaryotic 43S preinitiation complex,cellular_component,4,2,10,10,0,1,20
GO:0016471,vacuolar proton-transporting V-type ATPase complex,cellular_component,5,2,5,5,0,1,20
GO:0016531,copper chaperone activity,molecular_function,3,2,4,4,0,1,20
GO:0016559,peroxisome fission,biological_process,6,2,7,7,0,1,20
GO:0016579,protein deubiquitination,biological_process,9,2,13,13,0,1,20
GO:0016592,mediator complex,cellular_component,3,2,27,27,0,1,20
GO:0016597,amino acid binding,molecular_function,2,2,2,2,0,1,20
GO:0016620,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",molecular_function,4,2,15,20,1,1,20
GO:0016624,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor",molecular_function,4,2,2,2,0,1,20
GO:0016783,sulfurtransferase activity,molecular_function,4,2,5,8,1,1,20
GO:0016836,hydro-lyase activity,molecular_function,4,2,2,11,2,1,20
GO:0016843,amine-lyase activity,molecular_function,4,2,3,6,1,1,20
GO:0016884,"carbon-nitrogen ligase activity, with glutamine as amido-N-donor",molecular_function,4,2,4,4,0,1,20
GO:0017025,TBP-class protein binding,molecular_function,5,2,14,14,0,1,20
GO:0017108,5'-flap endonuclease activity,molecular_function,7,2,7,7,0,1,20
GO:0017183,protein histidyl modification to diphthamide,biological_process,8,2,9,9,0,1,20
GO:0018344,protein geranylgeranylation,biological_process,5,2,5,5,0,1,20
GO:0019003,GDP binding,molecular_function,5,2,6,6,0,1,20
GO:0019220,regulation of phosphate metabolic process,biological_process,6,2,1,12,2,1,20
GO:0019222,regulation of metabolic process,biological_process,4,2,1,195,2,1,20
GO:0019236,response to pheromone,biological_process,3,2,29,40,1,1,20
GO:0019237,centromeric DNA binding,molecular_function,6,2,13,13,0,1,20
GO:0019243,methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione,biological_process,7,2,5,5,0,1,20
GO:0019284,L-methionine salvage from S-adenosylmethionine,biological_process,7,2,4,4,0,1,20
GO:0019318,hexose metabolic process,biological_process,5,2,7,53,5,1,20
GO:0019321,pentose metabolic process,biological_process,5,2,2,8,1,1,20
GO:0019348,dolichol metabolic process,biological_process,6,2,1,5,1,1,20
GO:0019509,L-methionine salvage from methylthioadenosine,biological_process,7,2,9,9,0,1,20
GO:0019568,arabinose catabolic process,biological_process,7,2,4,4,0,1,20
GO:0019722,calcium-mediated signaling,biological_process,5,2,6,10,1,1,20
GO:0019740,nitrogen utilization,biological_process,3,2,7,7,0,1,20
GO:0019776,Atg8-family ligase activity,molecular_function,5,2,4,4,0,1,20
GO:0019787,ubiquitin-like protein transferase activity,molecular_function,3,2,2,106,2,1,20
GO:0019888,protein phosphatase regulator activity,molecular_function,4,2,22,32,2,1,20
GO:0019915,lipid storage,biological_process,3,2,5,5,0,1,20
GO:0019953,sexual reproduction,biological_process,2,2,3,16,1,1,20
GO:0020037,heme binding,molecular_function,3,2,30,30,0,1,20
GO:0022613,ribonucleoprotein complex biogenesis,biological_process,4,2,13,233,3,1,20
GO:0022857,transmembrane transporter activity,molecular_function,2,2,128,270,11,1,39
GO:0022890,inorganic cation transmembrane transporter activity,molecular_function,4,2,13,134,3,1,20
GO:0030014,CCR4-NOT complex,cellular_component,3,2,6,6,0,1,20
GO:0030015,CCR4-NOT core complex,cellular_component,3,2,10,10,0,1,20
GO:0030029,actin filament-based process,biological_process,2,2,1,57,2,1,20
GO:0030042,actin filament depolymerization,biological_process,7,2,4,4,0,1,20
GO:0030050,vesicle transport along actin filament,biological_process,4,2,4,4,0,1,20
GO:0030071,regulation of mitotic metaphase/anaphase transition,biological_process,7,2,5,11,1,1,20
GO:0030117,membrane coat,cellular_component,3,2,19,19,0,1,20
GO:0030123,AP-3 adaptor complex,cellular_component,4,2,4,4,0,1,20
GO:0030125,clathrin vesicle coat,cellular_component,5,2,7,7,0,1,20
GO:0030126,COPI vesicle coat,cellular_component,5,2,8,8,0,1,20
GO:0030127,COPII vesicle coat,cellular_component,5,2,8,8,0,1,20
GO:0030131,clathrin adaptor complex,cellular_component,4,2,4,10,2,1,20
GO:0030134,COPII-coated ER to Golgi transport vesicle,cellular_component,8,2,26,26,0,1,20
GO:0030136,clathrin-coated vesicle,cellular_component,8,2,23,24,1,1,20
GO:0030145,manganese ion binding,molecular_function,7,2,8,8,0,1,20
GO:0030154,cell differentiation,biological_process,3,2,4,4,0,1,20
GO:0030170,pyridoxal phosphate binding,molecular_function,5,2,39,39,0,1,20
GO:0030246,carbohydrate binding,molecular_function,2,2,12,29,1,1,20
GO:0030447,filamentous growth,biological_process,2,2,11,11,0,1,20
GO:0030466,silent mating-type cassette heterochromatin formation,biological_process,10,2,31,31,0,1,20
GO:0030663,COPI-coated vesicle membrane,cellular_component,6,2,12,12,0,1,20
GO:0030665,clathrin-coated vesicle membrane,cellular_component,6,2,9,9,0,1,20
GO:0030695,GTPase regulator activity,molecular_function,4,2,5,107,3,1,20
GO:0030833,regulation of actin filament polymerization,biological_process,7,2,8,17,1,1,20
GO:0030864,cortical actin cytoskeleton,cellular_component,7,2,4,4,0,1,20
GO:0030870,Mre11 complex,cellular_component,3,2,4,4,0,1,20
GO:0030880,RNA polymerase complex,cellular_component,3,2,2,37,1,1,20
GO:0030904,retromer complex,cellular_component,3,2,6,6,0,1,20
GO:0030915,Smc5-Smc6 complex,cellular_component,5,2,8,8,0,1,20
GO:0031011,Ino80 complex,cellular_component,5,2,16,16,0,1,20
GO:0031080,nuclear pore outer ring,cellular_component,3,2,7,7,0,1,20
GO:0031083,BLOC-1 complex,cellular_component,4,2,6,6,0,1,20
GO:0031116,positive regulation of microtubule polymerization,biological_process,7,2,12,12,0,1,20
