child,parent
GO:0006308,GO:0006259
GO:0006310,GO:0006259
GO:0006312,GO:0006310
GO:0006314,GO:0006310
GO:0006325,GO:0016043
GO:0006334,GO:0034728
GO:0006334,GO:0065004
GO:0006335,GO:0006325
GO:0006337,GO:0034728
GO:0006338,GO:0006325
GO:0006351,GO:0008150
GO:0006352,GO:0008150
GO:0006353,GO:0008150
GO:0006354,GO:0008150
GO:0006355,GO:0010468
GO:0006356,GO:0006355
GO:0006357,GO:0006355
GO:0006359,GO:0006355
GO:0006360,GO:0006351
GO:0006361,GO:0006352
GO:0006362,GO:0006354
GO:0006363,GO:0006353
GO:0006364,GO:0006396
GO:0006364,GO:0016072
GO:0006366,GO:0006351
GO:0006367,GO:0006352
GO:0006368,GO:0006354
GO:0006369,GO:0006353
GO:0006370,GO:0006397
GO:0006370,GO:0009452
GO:0006376,GO:0022618
GO:0006383,GO:0006351
GO:0006384,GO:0006352
GO:0006388,GO:0008033
GO:0006396,GO:0044238
GO:0006397,GO:0006396
GO:0006397,GO:0016071
GO:0006399,GO:0016070
GO:0006400,GO:0008033
GO:0006400,GO:0009451
GO:0006401,GO:0016070
GO:0006402,GO:0006401
GO:0006402,GO:0010629
GO:0006402,GO:0016071
GO:0006403,GO:0033036
GO:0006404,GO:0008150
GO:0006404,GO:0051170
GO:0006405,GO:0008150
GO:0006405,GO:0051168
GO:0006406,GO:0006405
GO:0006406,GO:0051028
GO:0006409,GO:0006405
GO:0006409,GO:0051031
GO:0006412,GO:0009059
GO:0006412,GO:0019538
GO:0006413,GO:0008152
GO:0006414,GO:0009059
GO:0006415,GO:0032984
GO:0006417,GO:0010608
GO:0006417,GO:0051246
GO:0006418,GO:0043039
GO:0006446,GO:0006417
GO:0006448,GO:0006417
GO:0006449,GO:0006417
GO:0006450,GO:0065008
GO:0006452,GO:0006414
GO:0006457,GO:0008150
GO:0006458,GO:0006457
GO:0006465,GO:0016485
GO:0006468,GO:0016310
GO:0006468,GO:0036211
GO:0006470,GO:0016311
