term,gene
GO:0000122,YOR279C
GO:0000122,YOR304W
GO:0000122,YPL038W
GO:0000122,YPL042C
GO:0000122,YPL177C
GO:0000122,YPR065W
GO:0000122,YPR070W
GO:0000122,YPR179C
GO:0000123,YEL056W
GO:0000123,YER164W
GO:0000123,YGR252W
GO:0000123,YJR082C
GO:0000123,YLL022C
GO:0000123,YOR064C
GO:0000123,YOR244W
GO:0000123,YPL001W
GO:0000123,YPR023C
GO:0000124,YBR081C
GO:0000124,YBR111W-A
GO:0000124,YBR198C
GO:0000124,YCL010C
GO:0000124,YDR145W
GO:0000124,YDR167W
GO:0000124,YDR176W
GO:0000124,YDR392W
GO:0000124,YDR448W
GO:0000124,YER164W
GO:0000124,YGL066W
GO:0000124,YGL112C
GO:0000124,YGR252W
GO:0000124,YHR099W
GO:0000124,YLR055C
GO:0000124,YMR223W
GO:0000124,YMR236W
GO:0000124,YOL148C
GO:0000124,YPL047W
GO:0000124,YPL254W
GO:0000127,YAL001C
GO:0000127,YBR123C
GO:0000127,YDR362C
GO:0000127,YGR047C
GO:0000127,YOR110W
GO:0000127,YPL007C
GO:0000128,YAL063C
GO:0000128,YAR050W
GO:0000128,YHR211W
GO:0000128,YHR213W
GO:0000128,YIR019C
GO:0000128,YKR102W
GO:0000131,YAL041W
GO:0000131,YAR014C
GO:0000131,YBL061C
GO:0000131,YBR023C
GO:0000131,YBR079C
GO:0000131,YBR102C
GO:0000131,YBR109C
GO:0000131,YBR200W
GO:0000131,YCL024W
GO:0000131,YCR038C
GO:0000131,YDL127W
GO:0000131,YDL179W
GO:0000131,YDL240W
GO:0000131,YDR166C
GO:0000131,YDR309C
GO:0000131,YER008C
GO:0000131,YER144C
GO:0000131,YER149C
GO:0000131,YER155C
GO:0000131,YFL005W
GO:0000131,YGL233W
GO:0000131,YGR152C
GO:0000131,YGR189C
GO:0000131,YGR221C
GO:0000131,YGR229C
GO:0000131,YHL007C
GO:0000131,YHR023W
GO:0000131,YHR061C
GO:0000131,YHR102W
GO:0000131,YHR149C
GO:0000131,YIL034C
GO:0000131,YIL129C
GO:0000131,YIL140W
GO:0000131,YJL085W
GO:0000131,YKL007W
GO:0000131,YKL079W
GO:0000131,YKL092C
GO:0000131,YKL189W
GO:0000131,YKR055W
GO:0000131,YKR090W
GO:0000131,YKR100C
GO:0000131,YLL021W
GO:0000131,YLR190W
GO:0000131,YLR229C
GO:0000131,YLR313C
GO:0000131,YLR319C
GO:0000131,YLR337C
GO:0000131,YLR353W
GO:0000131,YLR371W
GO:0000131,YLR425W
GO:0000131,YMR192W
GO:0000131,YMR273C
GO:0000131,YNL161W
GO:0000131,YNL233W
GO:0000131,YNL243W
GO:0000131,YNL271C
GO:0000131,YNL289W
GO:0000131,YNL293W
GO:0000131,YNL304W
GO:0000131,YNR031C
GO:0000131,YOL112W
GO:0000131,YOR326W
GO:0000131,YOR353C
GO:0000131,YPL115C
GO:0000131,YPL249C
GO:0000131,YPR055W
GO:0000131,YPR165W
GO:0000131,YPR188C
GO:0000132,YCL029C
GO:0000132,YDR477W
GO:0000132,YGL216W
GO:0000132,YHR129C
GO:0000132,YKR054C
GO:0000132,YLL049W
GO:0000132,YMR294W
GO:0000132,YNL271C
GO:0000132,YOR269W
GO:0000132,YOR326W
GO:0000132,YPL174C
GO:0000133,YER149C
GO:0000133,YLL021W
GO:0000133,YLR319C
GO:0000133,YNL271C
GO:0000133,YNL293W
GO:0000133,YOL112W
GO:0000136,YDR245W
GO:0000136,YEL036C
GO:0000136,YGL038C
GO:0000136,YJL183W
GO:0000136,YJR075W
GO:0000136,YML115C
GO:0000136,YPL050C
GO:0000137,YEL022W
GO:0000137,YEL036C
GO:0000137,YGL038C
GO:0000137,YJR031C
GO:0000137,YMR052W
GO:0000137,YMR292W
GO:0000138,YAR042W
GO:0000138,YBL102W
GO:0000138,YKL006C-A
GO:0000138,YLR436C
GO:0000138,YNL127W
GO:0000138,YOR322C
GO:0000138,YPR194C
GO:0000139,YAL042W
GO:0000139,YAR042W
GO:0000139,YBL069W
GO:0000139,YBL102W
GO:0000139,YBR015C
GO:0000139,YCL001W
GO:0000139,YCR067C
GO:0000139,YDL058W
GO:0000139,YDL121C
GO:0000139,YDL145C
GO:0000139,YDL149W
GO:0000139,YDL226C
GO:0000139,YDR072C
GO:0000139,YDR084C
GO:0000139,YDR100W
GO:0000139,YDR137W
GO:0000139,YDR141C
GO:0000139,YDR189W
GO:0000139,YDR238C
GO:0000139,YDR245W
GO:0000139,YDR264C
GO:0000139,YDR367W
GO:0000139,YDR372C
GO:0000139,YDR373W
GO:0000139,YDR483W
GO:0000139,YDR503C
GO:0000139,YDR517W
GO:0000139,YEL022W
GO:0000139,YEL036C
GO:0000139,YEL042W
GO:0000139,YER001W
GO:0000139,YER005W
GO:0000139,YER031C
GO:0000139,YER039C
GO:0000139,YER074W-A
GO:0000139,YER083C
GO:0000139,YER113C
GO:0000139,YER122C
GO:0000139,YER157W
GO:0000139,YFL034W
GO:0000139,YFL038C
GO:0000139,YFL048C
GO:0000139,YFR051C
GO:0000139,YGL005C
GO:0000139,YGL020C
GO:0000139,YGL038C
GO:0000139,YGL054C
GO:0000139,YGL095C
GO:0000139,YGL137W
GO:0000139,YGL167C
GO:0000139,YGL198W
GO:0000139,YGL200C
GO:0000139,YGL210W
GO:0000139,YGL223C
GO:0000139,YGL225W
GO:0000139,YGL257C
GO:0000139,YGR120C
GO:0000139,YGR170W
GO:0000139,YGR172C
GO:0000139,YGR209C
GO:0000139,YHL019C
GO:0000139,YHL031C
GO:0000139,YHR098C
GO:0000139,YHR123W
GO:0000139,YHR181W
GO:0000139,YIL004C
GO:0000139,YIL014W
GO:0000139,YIL041W
GO:0000139,YIL048W
GO:0000139,YIL076W
GO:0000139,YIL109C
GO:0000139,YJL004C
GO:0000139,YJL139C
GO:0000139,YJL178C
GO:0000139,YJL183W
GO:0000139,YJR040W
GO:0000139,YJR066W
GO:0000139,YKL006C-A
GO:0000139,YKL034W
GO:0000139,YKL039W
GO:0000139,YKL165C
GO:0000139,YKL174C
GO:0000139,YKL179C
GO:0000139,YKL212W
GO:0000139,YKR030W
GO:0000139,YKR044W
GO:0000139,YKR061W
GO:0000139,YKR088C
GO:0000139,YLR026C
GO:0000139,YLR039C
GO:0000139,YLR043C
GO:0000139,YLR057W
GO:0000139,YLR078C
GO:0000139,YLR080W
GO:0000139,YLR220W
GO:0000139,YLR242C
GO:0000139,YLR260W
GO:0000139,YLR268W
GO:0000139,YLR309C
GO:0000139,YML012W
GO:0000139,YML038C
GO:0000139,YML067C
GO:0000139,YML071C
GO:0000139,YML115C
GO:0000139,YMR010W
GO:0000139,YMR054W
GO:0000139,YMR071C
GO:0000139,YMR079W
GO:0000139,YMR197C
GO:0000139,YMR292W
GO:0000139,YNL006W
GO:0000139,YNL024C-A
GO:0000139,YNL041C
GO:0000139,YNL044W
GO:0000139,YNL049C
GO:0000139,YNL051W
GO:0000139,YNL204C
GO:0000139,YNL263C
GO:0000139,YNL287W
GO:0000139,YNL297C
GO:0000139,YOL107W
GO:0000139,YOR034C
GO:0000139,YOR069W
GO:0000139,YOR079C
GO:0000139,YOR099W
GO:0000139,YOR171C
GO:0000139,YOR216C
GO:0000139,YOR320C
GO:0000139,YOR357C
GO:0000139,YPL010W
GO:0000139,YPL050C
GO:0000139,YPL145C
GO:0000139,YPL218W
GO:0000139,YPL246C
GO:0000139,YPR028W
GO:0000139,YPR029C
GO:0000139,YPR095C
GO:0000139,YPR105C
GO:0000139,YPR109W
GO:0000139,YPR159W
GO:0000139,YPR181C
GO:0000142,YCL014W
GO:0000142,YDL117W
GO:0000142,YFL039C
GO:0000142,YGL106W
GO:0000142,YHR023W
GO:0000142,YIL034C
GO:0000142,YIL138C
GO:0000142,YJR090C
GO:0000142,YJR092W
GO:0000142,YMR032W
GO:0000142,YNL079C
GO:0000142,YNL152W
GO:0000142,YPL242C
GO:0000142,YPR188C
GO:0000144,YBR133C
GO:0000144,YCR002C
GO:0000144,YCR030C
GO:0000144,YDL225W
GO:0000144,YDR477W
GO:0000144,YEL040W
GO:0000144,YHR107C
GO:0000144,YIL140W
GO:0000144,YJR076C
GO:0000144,YKL048C
GO:0000144,YKL101W
GO:0000144,YLR314C
GO:0000144,YMR032W
GO:0000144,YNL166C
GO:0000145,YBR102C
GO:0000145,YDR166C
GO:0000145,YER008C
GO:0000145,YGL233W
GO:0000145,YIL068C
GO:0000145,YJL085W
GO:0000145,YJL204C
GO:0000145,YLR166C
GO:0000145,YPR055W
GO:0000146,YAL029C
GO:0000146,YHR023W
GO:0000146,YKL129C
GO:0000146,YMR109W
GO:0000146,YOR326W
GO:0000147,YBL007C
GO:0000147,YBR059C
GO:0000147,YCR030C
GO:0000147,YCR088W
GO:0000147,YDL146W
GO:0000147,YDL161W
GO:0000147,YDL176W
GO:0000147,YIL095W
GO:0000147,YIR006C
GO:0000147,YLL038C
GO:0000147,YLR206W
GO:0000147,YNL020C
GO:0000147,YNL084C
GO:0000147,YNL243W
GO:0000148,YGR032W
GO:0000148,YLR342W
GO:0000148,YMR306W
GO:0000148,YPR165W
GO:0000149,YAL014C
GO:0000149,YBR080C
GO:0000149,YDR164C
GO:0000149,YDR189W
GO:0000149,YDR468C
GO:0000149,YER143W
GO:0000149,YFL038C
GO:0000149,YGL095C
GO:0000149,YGL212W
GO:0000149,YGR142W
GO:0000149,YGR241C
GO:0000149,YHR098C
GO:0000149,YHR161C
GO:0000149,YIL068C
GO:0000149,YIL109C
GO:0000149,YJL204C
GO:0000149,YKL179C
GO:0000149,YLR026C
GO:0000149,YLR078C
GO:0000149,YLR360W
GO:0000149,YLR423C
GO:0000149,YMR183C
GO:0000149,YMR197C
GO:0000149,YNL049C
GO:0000149,YOL018C
GO:0000149,YOR036W
GO:0000149,YOR106W
GO:0000149,YPL166W
GO:0000149,YPL232W
GO:0000149,YPR032W
GO:0000149,YPR049C
GO:0000150,YDR004W
GO:0000150,YDR296W
GO:0000150,YER095W
GO:0000150,YER179W
GO:0000150,YML032C
GO:0000151,YBR082C
GO:0000151,YDL190C
GO:0000151,YDR059C
GO:0000151,YER125W
GO:0000151,YGR184C
GO:0000151,YHR115C
GO:0000151,YIL001W
GO:0000151,YJR141W
GO:0000151,YKR017C
GO:0000151,YLR024C
GO:0000151,YLR128W
GO:0000151,YML068W
GO:0000151,YML111W
GO:0000151,YMR275C
GO:0000151,YNL116W
GO:0000151,YNR069C
GO:0000151,YOR057W
GO:0000154,YLR165C
GO:0000154,YLR197W
GO:0000154,YNL132W
GO:0000154,YOR201C
GO:0000154,YPL266W
GO:0000159,YAL016W
GO:0000159,YDL047W
GO:0000159,YDL134C
GO:0000159,YGL190C
GO:0000159,YIL153W
GO:0000159,YOR014W
GO:0000159,YPL152W
GO:0000160,YDL235C
GO:0000160,YFL033C
GO:0000160,YHR206W
GO:0000160,YIL147C
GO:0000160,YLR006C
GO:0000162,YDR007W
GO:0000162,YDR354W
GO:0000162,YER090W
GO:0000162,YGL026C
GO:0000162,YIL020C
GO:0000162,YKL211C
GO:0000162,YNR033W
GO:0000164,YBR045C
GO:0000164,YBR050C
GO:0000164,YDR028C
GO:0000164,YDR130C
GO:0000164,YER054C
GO:0000164,YER133W
GO:0000164,YIL045W
GO:0000164,YKL193C
GO:0000164,YLR273C
GO:0000164,YOR178C
GO:0000165,YDL028C
GO:0000165,YDL159W
GO:0000165,YGR040W
GO:0000165,YHL007C
GO:0000165,YJL128C
GO:0000165,YPR054W
