gene_set,interaction_type,ffa_type,interaction_score,standard_deviation,standard_error,p_value,df_effective,fdr_corrected_p,effect_size,significant_p05,significant_fdr05
RFX1_RGR1_SPT3,trigenic,Total Titer,0.1403007616160219,0.24885925482937726,0.14367895776607068,0.3839591565447469,4.012097991402085,0.44795234930220473,0.1403007616160219,False,False
OPI1_RGR1_YAP6,trigenic,C14:0,3.1309613480732077,2.7714399496492383,1.6000916009728707,0.11276348749148091,4.596874309266624,0.16498592227237166,3.1309613480732077,False,False
OPI1_RGR1_YAP6,trigenic,C16:0,0.21492804151813993,0.25896079744615635,0.14951108611509853,0.24009842786332736,3.2229817797908584,0.2988739163313664,0.21492804151813993,False,False
OPI1_RGR1_YAP6,trigenic,C18:0,-0.1558097980186428,0.24879454687425323,0.1436415986107611,0.32940796297234254,4.809018361507994,0.3926498924244617,0.1558097980186428,False,False
OPI1_RGR1_YAP6,trigenic,C16:1,1.3067010957455274,0.8155874254683599,0.47087961964183145,0.08106808875523464,2.610360920199214,0.12665780168760948,1.3067010957455274,False,False
OPI1_RGR1_YAP6,trigenic,C18:1,3.384407947110519,0.763332459583547,0.4407102010217401,0.013891949595114639,2.125103230297133,0.03295299671399286,3.384407947110519,True,True
OPI1_RGR1_YAP6,trigenic,Total Titer,0.4591737135096594,0.18065753898385903,0.10430267876346634,0.007595834714501315,4.829317815307027,0.02143646634843454,0.4591737135096594,True,True
FKH1_MED4_RFX1,trigenic,C14:0,8.68062730800651,1.9474924345425322,1.1243852813278905,0.0008736394509762935,4.560887020550113,0.005357204406433545,8.68062730800651,True,True
FKH1_MED4_RFX1,trigenic,C16:0,0.24351670737164888,0.1294517049341724,0.07473897669080046,0.020993410142640778,5.2429938273512615,0.04569906963977292,0.24351670737164888,True,True
FKH1_MED4_RFX1,trigenic,C18:0,0.13140781335105822,0.12219299360393085,0.0705481577503157,0.13907616385811705,3.8336191956171906,0.19624581224248136,0.13140781335105822,False,False
FKH1_MED4_RFX1,trigenic,C16:1,-0.18743262850076414,0.3485213943541232,0.20121892084869678,0.3833560488394059,6.828048338696885,0.44795234930220473,0.18743262850076414,False,False
FKH1_MED4_RFX1,trigenic,C18:1,-1.6530579076670846,0.7301006738811167,0.4215238206007898,0.011373042740469463,4.952950940015862,0.028795576300337578,1.6530579076670846,True,True
FKH1_MED4_RFX1,trigenic,Total Titer,-0.14634979842305285,0.12194410552201414,0.070404462149223,0.08775530742815985,5.432631185004247,0.13562183875261066,0.14634979842305285,False,False
FKH1_MED4_YAP6,trigenic,C14:0,5.867808587996048,2.7433994252071794,1.58390239663803,0.02441862331600353,3.646408069142432,0.051128730344945805,5.867808587996048,True,False
