triple,order,order_idx,gene_1,gene_2,gene_3,f_base,f_single,f_double,f_triple,se_single,se_double,se_triple,n_single,n_double,n_triple,tau_multiplicative,monotone,monotone_within_se,min_rung,valley_depth
GCN5-RGR1-TFC7,TFC7>GCN5>RGR1,4,TFC7,GCN5,RGR1,1.0,0.7776174288814431,1.8013462941834988,0.9315255272693261,0.030850811617237003,0.2342557703770761,0.011619898418995855,3,3,2,-1.1237633118081962,False,False,0.7776174288814431,0.22238257111855686
GCN5-RGR1-TFC7,TFC7>RGR1>GCN5,5,TFC7,RGR1,GCN5,1.0,0.7776174288814431,1.1143103595541453,0.9315255272693261,0.030850811617237003,0.020465166804597087,0.011619898418995855,3,3,2,-1.1237633118081962,False,False,0.7776174288814431,0.22238257111855686
FKH1-RFX1-RGR1,FKH1>RFX1>RGR1,0,FKH1,RFX1,RGR1,1.0,0.9168421551749057,1.6261426401512902,0.9454732343894472,0.02842854767685232,0.020773488624712934,0.10848485917652366,3,3,3,-1.3110999626024606,False,False,0.9168421551749057,0.08315784482509425
FKH1-RFX1-RGR1,FKH1>RGR1>RFX1,1,FKH1,RGR1,RFX1,1.0,0.9168421551749057,1.4820140436274143,0.9454732343894472,0.02842854767685232,0.013188932186243776,0.10848485917652366,3,3,3,-1.3110999626024606,False,False,0.9168421551749057,0.08315784482509425
FKH1-RFX1-RGR1,RFX1>FKH1>RGR1,2,RFX1,FKH1,RGR1,1.0,0.9136686175493707,1.6261426401512902,0.9454732343894472,0.06729492863706489,0.020773488624712934,0.10848485917652366,3,3,3,-1.3110999626024606,False,False,0.9136686175493707,0.08633138245062932
FKH1-RFX1-RGR1,RFX1>RGR1>FKH1,3,RFX1,RGR1,FKH1,1.0,0.9136686175493707,1.0333438883005173,0.9454732343894472,0.06729492863706489,0.02199430958699861,0.10848485917652366,3,3,3,-1.3110999626024606,False,False,0.9136686175493707,0.08633138245062932
FKH1-RFX1-RGR1,RGR1>FKH1>RFX1,4,RGR1,FKH1,RFX1,1.0,0.9121109966844414,1.4820140436274143,0.9454732343894472,0.02027007226013599,0.013188932186243776,0.10848485917652366,3,3,3,-1.3110999626024606,False,False,0.9121109966844414,0.0878890033155586
FKH1-RFX1-RGR1,RGR1>RFX1>FKH1,5,RGR1,RFX1,FKH1,1.0,0.9121109966844414,1.0333438883005173,0.9454732343894472,0.02027007226013599,0.02199430958699861,0.10848485917652366,3,3,3,-1.3110999626024606,False,False,0.9121109966844414,0.0878890033155586
OPI1-RFX1-RPD3,OPI1>RFX1>RPD3,0,OPI1,RFX1,RPD3,1.0,0.8408572711869856,1.0858222433105056,0.9482887150512859,0.016130995360014333,0.0763233308760374,0.09405532643079328,3,3,3,-0.5527728926422673,False,False,0.8408572711869856,0.1591427288130144
OPI1-RFX1-RPD3,OPI1>RPD3>RFX1,1,OPI1,RPD3,RFX1,1.0,0.8408572711869856,0.9249419395612838,0.9482887150512859,0.016130995360014333,0.04269834163729813,0.09405532643079328,3,3,3,-0.5527728926422673,False,False,0.8408572711869856,0.1591427288130144
OPI1-RFX1-RPD3,RFX1>OPI1>RPD3,2,RFX1,OPI1,RPD3,1.0,0.9136686175493707,1.0858222433105056,0.9482887150512859,0.06729492863706489,0.0763233308760374,0.09405532643079328,3,3,3,-0.5527728926422673,False,False,0.9136686175493707,0.08633138245062932
OPI1-RFX1-RPD3,RFX1>RPD3>OPI1,3,RFX1,RPD3,OPI1,1.0,0.9136686175493707,1.061270707627734,0.9482887150512859,0.06729492863706489,0.019984589761911177,0.09405532643079328,3,3,3,-0.5527728926422673,False,False,0.9136686175493707,0.08633138245062932
OPI1-RFX1-RPD3,RPD3>OPI1>RFX1,4,RPD3,OPI1,RFX1,1.0,0.5245219492978349,0.9249419395612838,0.9482887150512859,0.026794921037720753,0.04269834163729813,0.09405532643079328,3,3,3,-0.5527728926422673,False,False,0.5245219492978349,0.4754780507021651
OPI1-RFX1-RPD3,RPD3>RFX1>OPI1,5,RPD3,RFX1,OPI1,1.0,0.5245219492978349,1.061270707627734,0.9482887150512859,0.026794921037720753,0.019984589761911177,0.09405532643079328,3,3,3,-0.5527728926422673,False,False,0.5245219492978349,0.4754780507021651
FKH1-OPI1-TFC7,FKH1>OPI1>TFC7,0,FKH1,OPI1,TFC7,1.0,0.9168421551749057,1.4873808060032758,0.954979557464327,0.02842854767685232,0.043811196823444455,0.049970720666606676,3,3,3,-0.8722879148599461,False,False,0.9168421551749057,0.08315784482509425
FKH1-OPI1-TFC7,FKH1>TFC7>OPI1,1,FKH1,TFC7,OPI1,1.0,0.9168421551749057,1.263525411002303,0.954979557464327,0.02842854767685232,0.06444373754540357,0.049970720666606676,3,3,3,-0.8722879148599461,False,False,0.9168421551749057,0.08315784482509425
FKH1-OPI1-TFC7,OPI1>FKH1>TFC7,2,OPI1,FKH1,TFC7,1.0,0.8408572711869856,1.4873808060032758,0.954979557464327,0.016130995360014333,0.043811196823444455,0.049970720666606676,3,3,3,-0.8722879148599461,False,False,0.8408572711869856,0.1591427288130144
FKH1-OPI1-TFC7,OPI1>TFC7>FKH1,3,OPI1,TFC7,FKH1,1.0,0.8408572711869856,0.8804047521385177,0.954979557464327,0.016130995360014333,0.027224852458919292,0.049970720666606676,3,3,3,-0.8722879148599461,False,False,0.8408572711869856,0.1591427288130144
FKH1-OPI1-TFC7,TFC7>FKH1>OPI1,4,TFC7,FKH1,OPI1,1.0,0.7776174288814431,1.263525411002303,0.954979557464327,0.030850811617237003,0.06444373754540357,0.049970720666606676,3,3,3,-0.8722879148599461,False,False,0.7776174288814431,0.22238257111855686
FKH1-OPI1-TFC7,TFC7>OPI1>FKH1,5,TFC7,OPI1,FKH1,1.0,0.7776174288814431,0.8804047521385177,0.954979557464327,0.030850811617237003,0.027224852458919292,0.049970720666606676,3,3,3,-0.8722879148599461,False,False,0.7776174288814431,0.22238257111855686
FKH1-GCN5-RGR1,FKH1>GCN5>RGR1,0,FKH1,GCN5,RGR1,1.0,0.9168421551749057,1.52910770905574,0.9565278574813124,0.02842854767685232,0.09580786170045001,0.03153016548499011,3,3,3,-1.1022262285449076,False,False,0.9168421551749057,0.08315784482509425
FKH1-GCN5-RGR1,FKH1>RGR1>GCN5,1,FKH1,RGR1,GCN5,1.0,0.9168421551749057,1.4820140436274143,0.9565278574813124,0.02842854767685232,0.013188932186243776,0.03153016548499011,3,3,3,-1.1022262285449076,False,False,0.9168421551749057,0.08315784482509425
FKH1-GCN5-RGR1,GCN5>FKH1>RGR1,2,GCN5,FKH1,RGR1,1.0,1.0580767907963287,1.52910770905574,0.9565278574813124,0.0495303851523764,0.09580786170045001,0.03153016548499011,2,3,3,-1.1022262285449076,False,False,0.9565278574813124,-0.05807679079632866
FKH1-GCN5-RGR1,GCN5>RGR1>FKH1,3,GCN5,RGR1,FKH1,1.0,1.0580767907963287,0.9441231404177625,0.9565278574813124,0.0495303851523764,0.045264570880747965,0.03153016548499011,2,3,3,-1.1022262285449076,False,False,0.9441231404177625,0.05587685958223754
FKH1-GCN5-RGR1,RGR1>FKH1>GCN5,4,RGR1,FKH1,GCN5,1.0,0.9121109966844414,1.4820140436274143,0.9565278574813124,0.02027007226013599,0.013188932186243776,0.03153016548499011,3,3,3,-1.1022262285449076,False,False,0.9121109966844414,0.0878890033155586
FKH1-GCN5-RGR1,RGR1>GCN5>FKH1,5,RGR1,GCN5,FKH1,1.0,0.9121109966844414,0.9441231404177625,0.9565278574813124,0.02027007226013599,0.045264570880747965,0.03153016548499011,3,3,3,-1.1022262285449076,False,False,0.9121109966844414,0.0878890033155586
FKH1-RGR1-TFC7,FKH1>RGR1>TFC7,0,FKH1,RGR1,TFC7,1.0,0.9168421551749057,1.4820140436274143,0.9593016703803915,0.02842854767685232,0.013188932186243776,0.02081651092687806,3,3,3,-1.0666768931697002,False,False,0.9168421551749057,0.08315784482509425
FKH1-RGR1-TFC7,FKH1>TFC7>RGR1,1,FKH1,TFC7,RGR1,1.0,0.9168421551749057,1.263525411002303,0.9593016703803915,0.02842854767685232,0.06444373754540357,0.02081651092687806,3,3,3,-1.0666768931697002,False,False,0.9168421551749057,0.08315784482509425
FKH1-RGR1-TFC7,RGR1>FKH1>TFC7,2,RGR1,FKH1,TFC7,1.0,0.9121109966844414,1.4820140436274143,0.9593016703803915,0.02027007226013599,0.013188932186243776,0.02081651092687806,3,3,3,-1.0666768931697002,False,False,0.9121109966844414,0.0878890033155586
