gene_set,interaction_type,ffa_type,interaction_score,standard_deviation,standard_error,p_value,df_effective,fdr_corrected_p,effect_size,significant_p05,significant_fdr05
RGR1_YAP6,digenic,Total Titer,0.19813098251464056,0.08180823121284321,0.047232004312662175,0.020203345178822163,3.318998916439057,0.04881407762985952,0.19813098251464056,True,True
OPI1_YAP6,digenic,C14:0,-0.5189940239338913,0.7264068165818606,0.41939117109471635,0.2987935307935152,3.206471816117385,0.3481537769982499,0.5189940239338913,False,False
OPI1_YAP6,digenic,C16:0,0.40563820859338484,0.1356014494483423,0.07828953334150385,0.0031454819698792935,5.1976060563912565,0.012754095429574288,0.40563820859338484,True,True
OPI1_YAP6,digenic,C18:0,0.43232797937511314,0.17895115593992442,0.10331749805371007,0.00849546435607329,5.0330835982898865,0.027635847905298654,0.43232797937511314,True,True
OPI1_YAP6,digenic,C16:1,-0.323863335701845,0.44581300685131414,0.2573902595138427,0.31600756425101895,2.420673990044646,0.36137689854060767,0.323863335701845,False,False
OPI1_YAP6,digenic,C18:1,0.016740743138216163,0.1579063807130566,0.09116729141144278,0.8702300169173633,2.1426800664290866,0.8767242707749556,0.016740743138216163,False,False
OPI1_YAP6,digenic,Total Titer,0.26030002000054153,0.10190914385904573,0.05883727163990435,0.030434167836589143,2.5265683674404307,0.06369942105332611,0.26030002000054153,True,False
RFX1_YAP6,digenic,C14:0,-1.3034473787806184,0.7396320527442938,0.4270267647531935,0.08091287369630007,2.2302964749694105,0.11873084727174467,1.3034473787806184,False,False
RFX1_YAP6,digenic,C16:0,0.2854233670338615,0.24376940247625936,0.14074033013986256,0.09390828968779674,5.426163505849908,0.1334486221879217,0.2854233670338615,False,False
RFX1_YAP6,digenic,C18:0,0.24763884299747407,0.262074306082777,0.1513086711645757,0.1535522008241561,5.912352234792873,0.19648859821100545,0.24763884299747407,False,False
RFX1_YAP6,digenic,C16:1,-0.11898146485095751,0.33407692818330226,0.19287940441667284,0.598045619468579,2.080561299289422,0.6307512392832669,0.11898146485095751,False,False
RFX1_YAP6,digenic,C18:1,0.45854878692774975,0.15338555271312246,0.0885571901487208,0.025724639267732607,2.315598420604331,0.057193101895334116,0.45854878692774975,True,False
RFX1_YAP6,digenic,Total Titer,0.2005708005383008,0.16775825838433064,0.09685527563697607,0.10802848933343934,3.949043266163459,0.15034892845375578,0.2005708005383008,False,False
GCN5_RFX1,digenic,C14:0,-2.18438027394895,0.3482217729617382,0.2014088246052368,0.0006711082923336331,3.6369699579670254,0.005177121112288027,2.18438027394895,True,True
GCN5_RFX1,digenic,C16:0,0.12429306509342575,0.12160426614065996,0.0719991539676877,0.1681079072485272,3.562028102625849,0.21225460720915532,0.12429306509342575,False,False
GCN5_RFX1,digenic,C18:0,0.06261192875427068,0.06202150694937778,0.03595526676941217,0.15339745869812105,4.185711687947678,0.19648859821100545,0.06261192875427068,False,False
GCN5_RFX1,digenic,C16:1,-0.3035487187693793,0.19688364708948816,0.130031145271602,0.15079472445435615,1.907336084505858,0.1964195566093274,0.3035487187693793,False,False
GCN5_RFX1,digenic,C18:1,0.5796851162726567,0.16239118791693324,0.10566815364928916,0.02393937709061067,2.2627359516248444,0.054316233734999,0.5796851162726567,True,False
GCN5_RFX1,digenic,Total Titer,0.06351624918774412,0.14980816960490342,0.0903519869662165,0.5228559563985837,3.788068644173577,0.560202810427054,0.06351624918774412,False,False
RFX1_RGR1,digenic,C14:0,-2.63910943474293,0.9780905225491656,0.5647008264855825,0.03730986022702809,2.1478919429638585,0.07044519063844464,2.63910943474293,True,False
