gene_set,interaction_type,ffa_type,interaction_score,standard_deviation,standard_error,p_value,fdr_corrected_p,effect_size,significant_p05,significant_fdr05
RPD3_YAP6,digenic,Total Titer,0.46183288141835366,0.06324883505590691,0.0365167319454581,5.24278637983322e-05,0.0015655717735322103,0.46183288141835366,True,True
GCN5_OPI1,digenic,C14:0,-0.39824727514406955,0.4352149814826016,0.2513593027856091,0.21703307266546035,0.26764194525256507,0.39824727514406955,False,False
GCN5_OPI1,digenic,C16:0,0.20021646439844543,0.08681006969360658,0.05336895797279628,0.025596245777523396,0.05316143353793321,0.20021646439844543,True,False
GCN5_OPI1,digenic,C18:0,0.3418075516435337,0.09122527834627127,0.0527789692431415,0.021215530673717176,0.047734944015863645,0.3418075516435337,True,True
GCN5_OPI1,digenic,C16:1,-0.8140902913986199,0.20837177326697873,0.1350463649816583,0.017162312673560276,0.04029412540748934,0.8140902913986199,True,True
GCN5_OPI1,digenic,C18:1,-0.5157294139633426,0.250435679380655,0.16820546882230436,0.12243472355506424,0.16528687679933673,0.5157294139633426,False,False
GCN5_OPI1,digenic,Total Titer,-0.03843464640372796,0.08310767519321702,0.0558573920186159,0.5780271388965934,0.6072658657668492,0.03843464640372796,False,False
RPD3_SPT3,digenic,C14:0,-0.35556134453500854,0.20697612021650977,0.11949771872282627,0.04389871462840289,0.07155059965208249,0.35556134453500854,True,False
RPD3_SPT3,digenic,C16:0,0.6215116307639892,0.1446591366759689,0.08351899150060953,0.0008419758280275857,0.0058290634248063635,0.6215116307639892,True,True
RPD3_SPT3,digenic,C18:0,0.5864580420753598,0.13252612047049914,0.07651399132829945,0.0006755986306308248,0.005066989729731186,0.5864580420753598,True,True
RPD3_SPT3,digenic,C16:1,-0.004985507052342353,0.1571645533633642,0.09073899719140563,0.9609425475466147,0.9645148246750407,0.004985507052342353,False,False
RPD3_SPT3,digenic,C18:1,0.4622163022317487,0.36577913134071405,0.21118267994350876,0.1589033411220695,0.21031324560273904,0.4622163022317487,False,False
RPD3_SPT3,digenic,Total Titer,0.4548906359254059,0.09369891835076638,0.05409709573259174,0.0002539120903766179,0.0029175033286005236,0.4548906359254059,True,True
OPI1_TFC7,digenic,C14:0,-0.1710443040616927,0.592359776051467,0.3419990761604209,0.6585773685284373,0.6812869329604524,0.1710443040616927,False,False
OPI1_TFC7,digenic,C16:0,0.42782800130386434,0.11614280158083297,0.06705507775713121,0.0007278441527300838,0.005311295168570882,0.42782800130386434,True,True
OPI1_TFC7,digenic,C18:0,0.37503103644965385,0.13127912352838275,0.07579403730808994,0.0033728556194621007,0.013392220841981871,0.37503103644965385,True,True
OPI1_TFC7,digenic,C16:1,-0.14412449877161393,0.33621262937566676,0.1941124520749931,0.5183186803186404,0.5509686759292634,0.14412449877161393,False,False
OPI1_TFC7,digenic,C18:1,0.14736971192121773,0.1358015653272268,0.07840507029804694,0.13013907643507006,0.17481368476352693,0.14736971192121773,False,False
OPI1_TFC7,digenic,Total Titer,0.2619300520700889,0.07654751818622808,0.04419473023061656,0.0019372640642647543,0.009686320321323771,0.2619300520700889,True,True
OPI1_RPD3,digenic,C14:0,-0.41704364612191247,0.24244928873172344,0.13997816211409383,0.03434282710899006,0.06351070766731039,0.41704364612191247,True,False
OPI1_RPD3,digenic,C16:0,0.7551847441330206,0.14302820140167963,0.08257737058096776,0.0002738985461194776,0.0029581042980903584,0.7551847441330206,True,True
OPI1_RPD3,digenic,C18:0,0.7402758049904374,0.19887879244720105,0.11482272435549924,0.00391895307172363,0.014298882829261892,0.7402758049904374,True,True
OPI1_RPD3,digenic,C16:1,0.028790089903134697,0.11900373711897455,0.06870683966021142,0.703296166617313,0.7220150759949601,0.028790089903134697,False,False
OPI1_RPD3,digenic,C18:1,0.47870189568343346,0.10091000563158742,0.05826041891532365,0.006496211501577198,0.021654038338590663,0.47870189568343346,True,True
OPI1_RPD3,digenic,Total Titer,0.5595627190764633,0.09167319973631205,0.05292754654523409,0.00044294724777094174,0.003986525229938476,0.5595627190764633,True,True
GCN5_MED4,digenic,C14:0,-0.4039090640389147,0.23992379356470467,0.15312766691056323,0.09281345943563757,0.13189281077695864,0.4039090640389147,False,False
GCN5_MED4,digenic,C16:0,0.5872724994389782,0.13181443444597285,0.0906562072879484,0.03609974344447986,0.06370542960790564,0.5872724994389782,True,False
GCN5_MED4,digenic,C18:0,0.6442006576372035,0.024821327432654163,0.015964699601135147,1.5399308093799746e-05,0.0013411865815338153,0.6442006576372035,True,True
GCN5_MED4,digenic,C16:1,-0.8752527061312196,0.3211702336121728,0.21634972981336437,0.03583350981457567,0.06370542960790564,0.8752527061312196,True,False
GCN5_MED4,digenic,C18:1,-0.4362072828711403,0.39877197887651916,0.27812558150739336,0.26126213295402656,0.30938936797187355,0.4362072828711403,False,False
GCN5_MED4,digenic,Total Titer,0.19879528852246353,0.15198928273989168,0.10316888689732834,0.17481109563456942,0.22801447256682966,0.19879528852246353,False,False
GCN5_RGR1,digenic,C14:0,-1.5007205609521082,0.6499866251896211,0.37532875816147027,0.019489261226109944,0.044594072297031224,1.5007205609521082,True,True
GCN5_RGR1,digenic,C16:0,0.16240030598221433,0.09685527540929183,0.05884922316028543,0.04246366424929304,0.07044680642489315,0.16240030598221433,True,False
GCN5_RGR1,digenic,C18:0,0.2527347306259856,0.04808940012883658,0.027972592410560895,0.0009506515355963696,0.0060472818436340964,0.2527347306259856,True,True
GCN5_RGR1,digenic,C16:1,-0.586621302290087,0.24381001558452,0.15355464813237937,0.03274843125865656,0.061972012480334605,0.586621302290087,True,False
GCN5_RGR1,digenic,C18:1,-0.20913834024065325,0.24584022088846083,0.16593033068613527,0.36775235899931147,0.4086137322214572,0.20913834024065325,False,False
GCN5_RGR1,digenic,Total Titer,-0.026064647063007484,0.11084128168707573,0.07009291162301749,0.7351546259386157,0.7518626856190388,0.026064647063007484,False,False
RFX1_TFC7,digenic,C14:0,-1.0553454267340636,0.5959824527574166,0.34409062953178793,0.06948681992814043,0.10365437226849677,1.0553454267340636,False,False
RFX1_TFC7,digenic,C16:0,0.3756349376651329,0.20872095730789988,0.12050510088723239,0.04040673889983304,0.06818637189346825,0.3756349376651329,True,False
RFX1_TFC7,digenic,C18:0,0.31191799666707665,0.20253255192158384,0.11693222337158829,0.07588417809657644,0.11002403257981994,0.31191799666707665,False,False
RFX1_TFC7,digenic,C16:1,-0.05098806423756419,0.31482846022381195,0.18176629625877325,0.8047694112503638,0.8168712069082641,0.05098806423756419,False,False
RFX1_TFC7,digenic,C18:1,0.6011351335308283,0.12182369713835443,0.07033494433650438,0.00025933362920893543,0.0029175033286005236,0.6011351335308283,True,True
RFX1_TFC7,digenic,Total Titer,0.26896690254582545,0.14372749956821235,0.08298111056565921,0.031023139679220213,0.060260774916470916,0.26896690254582545,True,False
RGR1_YAP6,digenic,C14:0,-1.418616689961742,0.6626418044987323,0.38257642420364246,0.022956985759387427,0.04958708924027684,1.418616689961742,True,True
RGR1_YAP6,digenic,C16:0,0.4011258114343652,0.1782566234083952,0.10291650950967073,0.01342994822338106,0.03641724624999037,0.4011258114343652,True,True
