genes,n_triples,worst_triple,mean_triple,median_triple,n_above_zero,gene_names
"(98, 348, 365, 386, 498)",10,0.0037555694580078125,0.026286506652832033,0.026336669921875,10,"YDR423C, YJR082C, YKR028W, YLR174W, YPR008W"
"(14, 136, 246, 408, 488)",10,0.00643157958984375,0.11172714233398437,0.02593994140625,10,"YBR028C, YER059W, YGR121C, YML100W, YPL181W"
"(37, 108, 324, 459, 508)",10,-0.0270538330078125,0.01378173828125,0.025909423828125,7,"YCR026C, YEL016C, YIL111W, YOR002W, YPR160W"
"(14, 67, 136, 193, 492)",10,-0.0244293212890625,0.02816925048828125,0.0258636474609375,7,"YBR028C, YDL095W, YER059W, YGL060W, YPL256C"
"(14, 136, 193, 246, 408)",10,0.0090789794921875,0.1057952880859375,0.025848388671875,10,"YBR028C, YER059W, YGL060W, YGR121C, YML100W"
"(98, 309, 348, 365, 498)",10,0.0070648193359375,0.02321929931640625,0.02571868896484375,10,"YDR423C, YHR162W, YJR082C, YKR028W, YPR008W"
"(98, 311, 348, 365, 386)",10,0.014495849609375,0.02713775634765625,0.0256805419921875,10,"YDR423C, YHR204W, YJR082C, YKR028W, YLR174W"
"(38, 83, 199, 362, 492)",10,-0.03729248046875,0.018900299072265626,0.0256195068359375,8,"YCR033W, YDR122W, YGL096W, YKL185W, YPL256C"
"(12, 136, 360, 365, 488)",10,0.0021152496337890625,0.0893014907836914,0.0255889892578125,10,"YBR001C, YER059W, YKL166C, YKR028W, YPL181W"
"(98, 326, 360, 365, 386)",10,0.005828857421875,0.02317352294921875,0.0255279541015625,10,"YDR423C, YIL124W, YKL166C, YKR028W, YLR174W"
"(39, 156, 199, 399, 415)",10,-0.0291900634765625,0.018292999267578124,0.025421142578125,8,"YCR034W, YER169W, YGL096W, YLR386W, YMR037C"
"(14, 136, 193, 488, 515)",10,-0.006687164306640625,0.10205593109130859,0.025360107421875,9,"YBR028C, YER059W, YGL060W, YPL181W, YPR140W"
"(136, 246, 292, 479, 486)",10,-0.00408172607421875,0.14038505554199218,0.0253448486328125,8,"YER059W, YGR121C, YHR003C, YOR371C, YPL089C"
"(14, 38, 83, 199, 492)",10,-0.0289306640625,0.02110157012939453,0.02532958984375,8,"YBR028C, YCR033W, YDR122W, YGL096W, YPL256C"
"(136, 199, 246, 348, 492)",10,-0.0135650634765625,0.02617950439453125,0.02530670166015625,9,"YER059W, YGL096W, YGR121C, YJR082C, YPL256C"
"(14, 67, 193, 246, 492)",10,-0.00925445556640625,0.0191375732421875,0.025299072265625,8,"YBR028C, YDL095W, YGL060W, YGR121C, YPL256C"
"(14, 136, 199, 275, 492)",10,-0.005580902099609375,0.02685890197753906,0.0252838134765625,9,"YBR028C, YER059W, YGL096W, YGR279C, YPL256C"
"(136, 246, 275, 365, 486)",10,-0.01013946533203125,0.0670257568359375,0.0252685546875,9,"YER059W, YGR121C, YGR279C, YKR028W, YPL089C"
"(14, 136, 246, 357, 492)",10,0.0046844482421875,0.0373443603515625,0.02521514892578125,10,"YBR028C, YER059W, YGR121C, YKL127W, YPL256C"
"(14, 136, 199, 357, 492)",10,0.0094757080078125,0.02853851318359375,0.0251922607421875,10,"YBR028C, YER059W, YGL096W, YKL127W, YPL256C"
"(98, 270, 360, 365, 386)",10,0.00691986083984375,0.022803497314453126,0.0250244140625,10,"YDR423C, YGR248W, YKL166C, YKR028W, YLR174W"
"(98, 348, 360, 365, 386)",10,0.012054443359375,0.025689697265625,0.02501678466796875,10,"YDR423C, YJR082C, YKL166C, YKR028W, YLR174W"
"(136, 193, 326, 365, 502)",10,-0.005779266357421875,0.0321258544921875,0.02490234375,7,"YER059W, YGL060W, YIL124W, YKR028W, YPL177C"
"(136, 326, 365, 399, 502)",10,-0.03216552734375,0.023096084594726562,0.02490234375,6,"YER059W, YIL124W, YKR028W, YLR386W, YPL177C"
"(14, 136, 193, 357, 492)",10,0.00547027587890625,0.03653640747070312,0.02486419677734375,10,"YBR028C, YER059W, YGL060W, YKL127W, YPL256C"
"(14, 38, 199, 399, 486)",10,-0.034912109375,0.026725196838378908,0.02486133575439453,6,"YBR028C, YCR033W, YGL096W, YLR386W, YPL089C"
"(326, 365, 386, 399, 502)",10,-0.03216552734375,0.015851974487304688,0.02484130859375,7,"YIL124W, YKR028W, YLR174W, YLR386W, YPL177C"
"(50, 98, 365, 386, 498)",10,0.0037555694580078125,0.021673011779785156,0.02484130859375,10,"YCR098C, YDR423C, YKR028W, YLR174W, YPR008W"
"(37, 156, 362, 468, 491)",10,0.00640869140625,0.02291107177734375,0.02484130859375,10,"YCR026C, YER169W, YKL185W, YOR171C, YPL230W"
"(98, 360, 365, 386, 498)",10,0.0037555694580078125,0.02409839630126953,0.0248260498046875,10,"YDR423C, YKL166C, YKR028W, YLR174W, YPR008W"
"(14, 136, 246, 360, 488)",10,0.01007080078125,0.11155548095703124,0.024810791015625,10,"YBR028C, YER059W, YGR121C, YKL166C, YPL181W"
"(14, 136, 193, 492, 515)",10,0.00557708740234375,0.03547744750976563,0.024810791015625,10,"YBR028C, YER059W, YGL060W, YPL256C, YPR140W"
"(98, 174, 348, 365, 391)",10,0.0032596588134765625,0.023020362854003905,0.024810791015625,10,"YDR423C, YFR015C, YJR082C, YKR028W, YLR258W"
"(14, 136, 246, 492, 515)",10,0.0008106231689453125,0.03558673858642578,0.024749755859375,10,"YBR028C, YER059W, YGR121C, YPL256C, YPR140W"
"(14, 136, 199, 246, 360)",10,0.010223388671875,0.04152374267578125,0.0247344970703125,10,"YBR028C, YER059W, YGL096W, YGR121C, YKL166C"
"(136, 199, 246, 360, 399)",10,-0.025634765625,0.022732722759246825,0.0247344970703125,9,"YER059W, YGL096W, YGR121C, YKL166C, YLR386W"
"(14, 136, 193, 246, 360)",10,0.0140380859375,0.10576934814453125,0.02471923828125,10,"YBR028C, YER059W, YGL060W, YGR121C, YKL166C"
"(136, 348, 365, 408, 498)",10,0.0019702911376953125,0.022312355041503907,0.02471160888671875,10,"YER059W, YJR082C, YKR028W, YML100W, YPR008W"
"(14, 136, 193, 408, 488)",10,0.00740814208984375,0.10648880004882813,0.02457427978515625,10,"YBR028C, YER059W, YGL060W, YML100W, YPL181W"
"(14, 136, 246, 479, 488)",10,0.00519561767578125,0.10818252563476563,0.0245208740234375,10,"YBR028C, YER059W, YGR121C, YOR371C, YPL181W"
"(136, 174, 365, 408, 498)",10,-0.005443572998046875,0.017312049865722656,0.0244903564453125,8,"YER059W, YFR015C, YKR028W, YML100W, YPR008W"
"(136, 193, 292, 486, 492)",10,-0.00830841064453125,0.13936977386474608,0.02447509765625,8,"YER059W, YGL060W, YHR003C, YPL089C, YPL256C"
"(98, 311, 365, 391, 498)",10,0.0033206939697265625,0.022682380676269532,0.02447509765625,10,"YDR423C, YHR204W, YKR028W, YLR258W, YPR008W"
"(37, 339, 362, 422, 491)",10,0.0105743408203125,0.02356109619140625,0.02445220947265625,10,"YCR026C, YJL128C, YKL185W, YMR182C, YPL230W"
"(136, 193, 246, 313, 492)",10,-0.005859375,0.08104400634765625,0.024444580078125,9,"YER059W, YGL060W, YGR121C, YIL006W, YPL256C"
"(14, 136, 193, 246, 479)",10,0.0055999755859375,0.10406112670898438,0.0244293212890625,10,"YBR028C, YER059W, YGL060W, YGR121C, YOR371C"
"(98, 135, 246, 348, 365)",10,-0.029205322265625,0.014414596557617187,0.0244293212890625,7,"YDR423C, YER056C, YGR121C, YJR082C, YKR028W"
"(14, 136, 246, 488, 515)",10,-0.006687164306640625,0.10486335754394531,0.0243377685546875,8,"YBR028C, YER059W, YGR121C, YPL181W, YPR140W"
"(98, 135, 311, 348, 365)",10,-0.01312255859375,0.01932373046875,0.02429962158203125,8,"YDR423C, YER056C, YHR204W, YJR082C, YKR028W"
"(12, 136, 199, 360, 488)",10,0.01007080078125,0.08383636474609375,0.024261474609375,10,"YBR001C, YER059W, YGL096W, YKL166C, YPL181W"
"(12, 136, 199, 360, 399)",10,-0.0260772705078125,0.01998138427734375,0.024261474609375,9,"YBR001C, YER059W, YGL096W, YKL166C, YLR386W"
