rank,direction,triple,gene1,gene2,gene3,M01_lzs9pcj3,M02_yv4r30bi,M03_c7671wgj,ensemble_mean,ensemble_sd,ensemble_min,ensemble_max,sign_agree,min_train_records,no_trigenic_labels
84,negative,YBL039C + YGL077C + YHL029C,YBL039C,YGL077C,YHL029C,-0.318359375,-0.203369140625,-0.10284423828125,-0.20819091796875,0.0880497234191753,-0.318359375,-0.10284423828125,True,0,True
85,negative,YHL029C + YLR014C + YNL068C,YHL029C,YLR014C,YNL068C,-0.12091064453125,-0.1861572265625,-0.31689453125,-0.20798746744791666,0.0814855427920947,-0.31689453125,-0.12091064453125,True,309,False
86,negative,YDR363W-A + YHL029C + YLR146C,YDR363W-A,YHL029C,YLR146C,-0.2666015625,-0.194091796875,-0.1622314453125,-0.2076416015625,0.043672861487313974,-0.2666015625,-0.1622314453125,True,9,False
87,negative,YBR023C + YDL213C + YHL029C,YBR023C,YDL213C,YHL029C,-0.25634765625,-0.2236328125,-0.1424560546875,-0.20747884114583334,0.04787857780887844,-0.25634765625,-0.1424560546875,True,287,False
88,negative,YER129W + YKL101W + YPL256C,YER129W,YKL101W,YPL256C,-0.15576171875,-0.30322265625,-0.1630859375,-0.20735677083333334,0.06785333219582543,-0.30322265625,-0.15576171875,True,797,False
89,negative,YGR106C + YKL101W + YPL256C,YGR106C,YKL101W,YPL256C,-0.1097412109375,-0.2763671875,-0.2359619140625,-0.20735677083333334,0.07096827779941568,-0.2763671875,-0.1097412109375,True,10,False
90,negative,YDL170W + YGR202C + YHL029C,YDL170W,YGR202C,YHL029C,-0.0775146484375,-0.3642578125,-0.178466796875,-0.20674641927083334,0.11875805464972788,-0.3642578125,-0.0775146484375,True,506,False
91,negative,YHL029C + YKL101W + YPL256C,YHL029C,YKL101W,YPL256C,-0.1763916015625,-0.250244140625,-0.1934814453125,-0.20670572916666666,0.03156697265694217,-0.250244140625,-0.1763916015625,True,797,False
92,negative,YGL077C + YHL029C + YPL227C,YGL077C,YHL029C,YPL227C,-0.30419921875,-0.1649169921875,-0.1507568359375,-0.20662434895833334,0.0692376049913226,-0.30419921875,-0.1507568359375,True,10,False
93,negative,YHL029C + YIL131C + YPL227C,YHL029C,YIL131C,YPL227C,-0.268310546875,-0.15478515625,-0.1966552734375,-0.20658365885416666,0.04687524724824478,-0.268310546875,-0.15478515625,True,10,False
94,negative,YDR253C + YKL101W + YPL256C,YDR253C,YKL101W,YPL256C,-0.2020263671875,-0.23388671875,-0.1822509765625,-0.2060546875,0.021271780856627353,-0.23388671875,-0.1822509765625,True,9,False
95,negative,YDL056W + YLR386W + YPL256C,YDL056W,YLR386W,YPL256C,-0.10992431640625,-0.269775390625,-0.23779296875,-0.20583089192708334,0.06906167411981651,-0.269775390625,-0.10992431640625,True,10,False
96,negative,YKL101W + YLR345W + YPL256C,YKL101W,YLR345W,YPL256C,-0.1717529296875,-0.302734375,-0.142822265625,-0.20576985677083334,0.06957410522761613,-0.302734375,-0.142822265625,True,9,False
97,negative,YER016W + YGL077C + YHL029C,YER016W,YGL077C,YHL029C,-0.1571044921875,-0.2138671875,-0.24609375,-0.2056884765625,0.03678713983585645,-0.24609375,-0.1571044921875,True,0,True
98,negative,YDL170W + YER062C + YHL029C,YDL170W,YER062C,YHL029C,-0.17724609375,-0.3984375,-0.039215087890625,-0.20496622721354166,0.1479560513347276,-0.3984375,-0.039215087890625,True,0,True
99,negative,YHL002W + YLR386W + YOL090W,YHL002W,YLR386W,YOL090W,-0.1358642578125,-0.274658203125,-0.203125,-0.20454915364583334,0.05667133887047029,-0.274658203125,-0.1358642578125,True,301,False
100,negative,YEL027W + YGL077C + YHL029C,YEL027W,YGL077C,YHL029C,-0.2186279296875,-0.2454833984375,-0.1492919921875,-0.2044677734375,0.04052636325370146,-0.2454833984375,-0.1492919921875,True,0,True
101,negative,YGL077C + YHL029C + YNL206C,YGL077C,YHL029C,YNL206C,-0.2362060546875,-0.181640625,-0.194580078125,-0.20414225260416666,0.023279789730191527,-0.2362060546875,-0.181640625,True,0,True
102,negative,YHL029C + YLR021W + YMR238W,YHL029C,YLR021W,YMR238W,-0.0814208984375,-0.1513671875,-0.379638671875,-0.20414225260416666,0.12733778104204266,-0.379638671875,-0.0814208984375,True,292,False
103,negative,YKL101W + YLR021W + YPL256C,YKL101W,YLR021W,YPL256C,-0.1431884765625,-0.26953125,-0.19970703125,-0.20414225260416666,0.05167447784812928,-0.26953125,-0.1431884765625,True,797,False
104,negative,YKL101W + YLR451W + YPL256C,YKL101W,YLR451W,YPL256C,-0.1507568359375,-0.2998046875,-0.1602783203125,-0.20361328125,0.06812857767212545,-0.2998046875,-0.1507568359375,True,9,False
105,negative,YHL029C + YOR113W + YPR140W,YHL029C,YOR113W,YPR140W,-0.4169921875,-0.09698486328125,-0.09564208984375,-0.20320638020833334,0.15117038799455917,-0.4169921875,-0.09564208984375,True,312,False
106,negative,YHL002W + YLR386W + YPL256C,YHL002W,YLR386W,YPL256C,-0.21826171875,-0.2135009765625,-0.1776123046875,-0.203125,0.018144593007749447,-0.21826171875,-0.1776123046875,True,301,False
107,negative,YHL029C + YLR299W + YNL206C,YHL029C,YLR299W,YNL206C,-0.162353515625,-0.1142578125,-0.33251953125,-0.20304361979166666,0.09363513550210613,-0.33251953125,-0.1142578125,True,0,True
108,negative,YGL077C + YHL029C + YOR058C,YGL077C,YHL029C,YOR058C,-0.299560546875,-0.131591796875,-0.1756591796875,-0.2022705078125,0.07110788672888982,-0.299560546875,-0.131591796875,True,304,False
