gene1,gene2,gene3,triple,systematic,corrected_M01_lzs9pcj3,asrun_M01_lzs9pcj3,corrected_M02_yv4r30bi,asrun_M02_yv4r30bi,corrected_M03_c7671wgj,asrun_M03_c7671wgj,corrected_mean,corrected_sd,asrun_mean,stored_prediction,corrected_rank,asrun_rank,panel
YDR155C,YJL017W,YKL033W-A,YDR155C+YJL017W+YKL033W-A,YDR155C+YJL016W+YKL033W-A,0.0017780344083516905,,4.021312596441673e-06,,-0.0009979032349920263,,0.0002613841619853686,0.0014057503964492978,,,308,,panel_24
YDR155C,YGL087C,YLR351C,YDR155C+YGL087C+YLR351C,YDR155C+YGL087C+YLR351C,0.005089927362160325,0.46022814843348936,-0.0321374052729443,0.3686688981510534,0.027687125746816157,0.13735661491161752,0.00021321594534406038,0.03020894509273288,0.3220845538320534,,309,301.0,panel_24
YBR158W,YER079W,YJL017W,YBR158W+YER079W+YJL017W,YBR158W+YER079W+YJL016W,-0.0031816525498093206,,0.0021183624293816105,,0.001692824667197959,,0.00020984484892341634,0.0029448194428469223,,,310,,panel_24
YER079W,YOR126C,YPL046C,YER079W+YOR126C+YPL046C,YER079W+YOR126C+YPL046C,-0.03888111586178529,0.03466787079488534,0.03502330276078427,0.04743902448241288,0.004478112955227466,0.08677157100959779,0.00020676661807548144,0.03713689637858726,0.056292822095632,,311,903.0,panel_24
YDR155C,YLR104W,YOR126C,YDR155C+YLR104W+YOR126C,YDR155C+YLR104W+YOR126C,-0.0029073192088755213,0.5463042915337382,0.00022901371766430312,0.6479826531954194,0.003205787069828943,0.45631879274274445,0.0001758271928725749,0.003056900178039602,0.550201912490634,,312,110.0,panel_24
YBR158W,YJL017W,YLL005C,YBR158W+YJL017W+YLL005C,YBR158W+YJL016W+YLL005C,0.002247502006441967,,-0.0010025441487724624,,-0.0008211092129763948,,0.00014128288156436993,0.001826293763467954,,,313,,panel_24
YER079W,YLL005C,YLR104W,YER079W+YLL005C+YLR104W,YER079W+YLL005C+YLR104W,-0.0035741316964227254,0.6401022213371811,0.00022933423578035995,0.15471869663668156,0.0036946177329304237,0.596008340487957,0.00011660675742935275,0.0036356856547234617,0.4636097528206065,,314,177.0,panel_24
YER079W,YKL033W-A,YLR351C,YER079W+YKL033W-A+YLR351C,YER079W+YKL033W-A+YLR351C,-0.006669997089734594,0.6269236627285357,0.00389524510497591,0.711473174271204,0.003063578837936537,0.6448224803199473,9.627561772595095e-05,0.0058745001454359414,0.661073105773229,,315,41.0,panel_24
YLR104W,YLR351C,YMR244W,YLR104W+YLR351C+YMR244W,YLR104W+YLR351C+YMR244W,-0.007548121043645907,0.286147323582684,-0.002057898123607277,0.21487881578015566,0.00984200059604615,0.1331116277329433,7.866047626432203e-05,0.008889755038741813,0.2113792556985943,,316,473.0,panel_24
YDR155C,YLL005C,YMR244W,YDR155C+YLL005C+YMR244W,YDR155C+YLL005C+YMR244W,0.004215423848909945,0.32339798428043554,-0.00592021730947063,0.10966808806503439,0.0018205794174568808,0.08707618388549555,3.8595318965398716e-05,0.005297584913743427,0.17338075207698847,,317,561.0,panel_24
YDR155C,YJL017W,YPL081W,YDR155C+YJL017W+YPL081W,YDR155C+YJL016W+YPL081W,0.0016121559135884797,,-0.003730035478874176,,0.0021690957336517134,,1.707205612200569e-05,0.003257016525888668,,,318,,panel_24
YDR155C,YER079W,YLR104W,YDR155C+YER079W+YLR104W,YDR155C+YER079W+YLR104W,-0.004789406064188371,0.5965795113123732,-0.0001377961700044783,0.69920618426783,0.004840228666546525,0.5992549099643126,-2.899118921544155e-05,0.004815739315487012,0.6316802018481719,,319,63.0,panel_24
YKL200C,YLR104W,YLR351C,YKL200C+YLR104W+YLR351C,YKL201C+YLR104W+YLR351C,-0.006142042948416832,,-0.009804970878057286,,0.01583714301023689,,-3.6623605412409534e-05,0.013868547515169413,,,320,,panel_24
YDR155C,YER079W,YKR054C,YDR155C+YER079W+YKR054C,YDR155C+YER079W+YKR054C,-0.004129513939846973,0.6039167667755319,-0.0015768833890358793,0.44276529581273705,0.005489488073737905,0.5846645029916487,-7.230308504831574e-05,0.004982882835537874,0.5437821885266393,,321,115.0,panel_24
YLL005C,YLR104W,YMR244W,YLL005C+YLR104W+YMR244W,YLL005C+YLR104W+YMR244W,-0.0005218018545997136,0.13404625855936528,-0.0041576370477801146,0.02108323647260329,0.004427157173676805,0.07069512892685306,-8.409390956767443e-05,0.0043091024749996555,0.07527487465294054,,322,853.0,panel_24
YBR246W,YKL033W-A,YLL012W,YBR246W+YKL033W-A+YLL012W,YBR246W+YKL033W-A+YLL012W,0.009983202023974003,0.051020607035273856,0.005091124591593834,-0.0011726874198799125,-0.015347273042778373,0.16520384724606657,-9.098214240351188e-05,0.013436849125771503,0.0716839222871535,,323,863.0,panel_24
YLR351C,YMR244W,YPR053C,YLR351C+YMR244W+YPR053C,YLR351C+YMR244W+YPR053C,-0.007472516476270128,0.02825183718849343,0.01011488783465633,-0.005520472535651404,-0.0030162953683348735,0.17412940949393774,-0.00012464133664955718,0.009143327888587398,0.06562025804892659,,324,873.0,panel_24
YBR158W,YKR054C,YOR126C,YBR158W+YKR054C+YOR126C,YBR158W+YKR054C+YOR126C,0.0017834982995301191,0.6293871121773301,-0.001135508732467822,0.3969150058539319,-0.0012108215340879552,0.46657018383388715,-0.00018761065567521936,0.00170744572080344,0.49762410062171636,,325,148.0,panel_24
