gene,is_metabolic,distinct_screens,n_triples,mean_predicted_tau,max_predicted_tau,frac_above_0.08,frac_above_0.16
YEL061C,False,0,18023,-0.010304385789540571,0.06209627787272135,0.0,0.0
YER111C,False,287,1216,-0.030323417367119538,0.061757405598958336,0.0,0.0
YGR243W,True,11,32126,0.000521225262475886,0.061208089192708336,0.0,0.0
YDR423C,False,10,25841,0.003685303877091449,0.061167399088541664,0.0,0.0
YJR127C,False,11,20837,0.0016121906196853103,0.060394287109375,0.0,0.0
YNL215W,False,0,18705,-0.008488302956096504,0.060394287109375,0.0,0.0
YPL038W,False,10,35586,-0.0035443271565837966,0.059351603190104164,0.0,0.0
YJL128C,True,283,3021,-0.007128190404990251,0.05926513671875,0.0,0.0
YMR105C,True,10,31602,-0.004631371460939096,0.05898475646972656,0.0,0.0
YIL124W,True,304,52575,-0.0016810610419427708,0.058563232421875,0.0,0.0
YGR052W,True,10,28356,-0.002556539328202445,0.058527628580729164,0.0,0.0
YNL020C,True,10,56609,-0.009089104789935552,0.058156331380208336,0.0,0.0
YGL248W,True,11,43558,-0.0006098882113522308,0.058138529459635414,0.0,0.0
YHR154W,False,281,981,-0.007002980175206258,0.05810546875,0.0,0.0
YNL241C,True,0,18363,-0.004370467421618529,0.057863871256510414,0.0,0.0
YDL066W,True,10,19351,-0.003669633464193253,0.05749066670735677,0.0,0.0
YBL054W,False,12,33394,0.005242583995185175,0.057403564453125,0.0,0.0
YIL119C,False,10,5581,-0.0013848456446147483,0.057271321614583336,0.0,0.0
YGR205W,True,10,36139,0.0015745538205335268,0.057240804036458336,0.0,0.0
YNR033W,True,10,51954,-0.008319733502510534,0.05713780721028646,0.0,0.0
YOR172W,False,10,44604,0.00024727677399526387,0.05706787109375,0.0,0.0
YML100W,True,12,26362,-0.0007834356489490945,0.057047526041666664,0.0,0.0
YBR132C,True,10,45568,-0.0019686183855565412,0.056966145833333336,0.0,0.0
YOR061W,True,272,8899,-0.011661462017216073,0.056943257649739586,0.0,0.0
YBR085W,True,10,18719,0.00028757700279957656,0.056915283203125,0.0,0.0
YIL042C,True,10,20316,-0.0006072394681382133,0.056610107421875,0.0,0.0
YMR037C,False,11,29493,0.003389305112849071,0.056589762369791664,0.0,0.0
YKL185W,False,279,58414,0.001539394285472583,0.056528727213541664,0.0,0.0
YEL029C,True,0,19309,-0.00247466726136985,0.0561682383219401,0.0,0.0
YKL101W,True,307,37305,-0.021999335782178442,0.056131998697916664,0.0,0.0
YHL036W,True,10,16720,0.0010916092226569923,0.056009928385416664,0.0,0.0
