triple,array_gene,array_allele,array_perturbation_type,f_triple,se_triple,tau,tau_p_value,n_paths,n_monotone,n_monotone_within_se,n_monotone_after_first,max_valley_depth,min_valley_depth,best_min_rung,endpoint_gain,positive_call
YER059W+YIL050W+YMR055C,YMR055C,bub2_delta,KanMX_deletion,0.9809,0.0327,-0.014306,0.4547,6,0,0,1,0.10441999999999996,-0.01750000000000007,0.9809,-0.019100000000000006,False
YER059W+YIL050W+YJL030W,YJL030W,mad2_delta,KanMX_deletion,0.9808,0.0311,-0.029348,0.1009,6,0,1,1,0.10441999999999996,0.009700000000000042,0.9808,-0.019199999999999995,False
YER059W+YIL050W+YDR205W,YDR205W,msc2_delta,KanMX_deletion,0.9802,0.02955,0.125156,0.09618,6,0,1,2,0.10441999999999996,-0.0042999999999999705,0.9802,-0.01980000000000004,False
YER059W+YIL050W+YGR129W,YGR129W,syf2_delta,KanMX_deletion,0.9794,0.0187,-0.020319,0.2168,6,0,0,1,0.10441999999999996,-0.020199999999999996,0.9794,-0.02059999999999995,False
YER059W+YIL050W+YLR335W,YLR335W,nup2_delta,KanMX_deletion,0.9789,0.02855,-0.059027,0.2919,6,0,0,1,0.10441999999999996,-0.009500000000000064,0.9789,-0.021100000000000008,False
YER059W+YIL050W+YPL018W,YPL018W,ctf19_delta,KanMX_deletion,0.9787,0.0099,-0.076835,0.01048,6,0,0,1,0.10441999999999996,0.0,0.9787,-0.021299999999999986,False
YER059W+YIL050W+YGL060W,YGL060W,ybp2_delta,KanMX_deletion,0.978,0.02385,0.584672,0.1609,6,0,0,1,0.5232,0.05276000000000003,0.94724,-0.02200000000000002,False
YER059W+YIL050W+YJL134W,YJL134W,lcb3_delta,KanMX_deletion,0.978,0.00945,0.153473,0.02273,6,0,1,2,0.10441999999999996,-0.022499999999999964,0.978,-0.02200000000000002,True
YER059W+YIL050W+YLR131C,YLR131C,ace2_delta,KanMX_deletion,0.9779,0.07365,0.055453,0.4603,6,0,0,1,0.10441999999999996,0.06733,0.93267,-0.02210000000000001,False
YER059W+YIL050W+YLR254C,YLR254C,ndl1_delta,KanMX_deletion,0.9776,0.03695,0.100362,0.3242,6,0,1,2,0.10441999999999996,-0.006999999999999895,0.9776,-0.022399999999999975,False
YER059W+YIL050W+YNL044W,YNL044W,yip3_delta,KanMX_deletion,0.9775,0.05615,0.084819,0.3315,6,0,2,1,0.10441999999999996,-0.012199999999999989,0.9775,-0.022499999999999964,False
YER059W+YIL050W+YGL232W,YGL232W,tan1_delta,KanMX_deletion,0.977,0.03905,-0.03576,0.3723,6,0,1,1,0.10441999999999996,-0.006000000000000005,0.977,-0.02300000000000002,False
YER059W+YIL050W+YCR073C,YCR073C,ssk22_delta,KanMX_deletion,0.977,0.0234,0.03314,0.1237,6,0,1,1,0.10441999999999996,-0.01200000000000001,0.977,-0.02300000000000002,False
YER059W+YIL050W+YHR077C,YHR077C,nmd2_delta,KanMX_deletion,0.9768,0.0464,-0.008706,0.2717,6,0,1,1,0.10441999999999996,0.009700000000000042,0.9768,-0.0232,False
YER059W+YIL050W+YCR032W,YCR032W,bph1_delta,KanMX_deletion,0.9763,0.0157,-0.078852,0.08622,6,0,0,1,0.10441999999999996,-0.05499999999999994,0.9763,-0.023700000000000054,False
YER059W+YIL050W+YBR275C,YBR275C,rif1_delta,KanMX_deletion,0.9763,0.0224,-0.124245,0.492,6,0,0,1,0.10441999999999996,0.0042999999999999705,0.9763,-0.023700000000000054,False
YER059W+YIL050W+YKR029C,YKR029C,set3_delta,KanMX_deletion,0.9762,0.02385,0.124547,0.03427,6,0,0,4,0.10441999999999996,0.049819999999999975,0.95018,-0.023800000000000043,True
YER059W+YIL050W+YJL187C,YJL187C,swe1_delta,KanMX_deletion,0.9757,0.02415,0.113629,0.1081,6,0,0,2,0.10441999999999996,0.04479999999999995,0.9552,-0.02429999999999999,False
YER059W+YIL050W+YCR065W,YCR065W,hcm1_delta,KanMX_deletion,0.9755,0.03445,-0.10591,0.4834,6,0,0,1,0.10441999999999996,0.0010000000000000009,0.9755,-0.024499999999999966,False
YER059W+YIL050W+YLR050C,YLR050C,ylr050c_delta,KanMX_deletion,0.9752,0.04565,0.066108,0.4563,6,0,1,1,0.10441999999999996,-0.0012000000000000899,0.9752,-0.024800000000000044,False
YER059W+YIL050W+YNR039C,YNR039C,zrg17_delta,KanMX_deletion,0.9748,0.0384,-0.024806,0.1777,6,0,0,1,0.10441999999999996,-0.01970000000000005,0.9748,-0.0252,False
