gene,appearances_in_top_10000,trigenic_train_records
YNL227C,5,0
YER042W,5,285
YGL158W,5,11
YIL009W,5,0
YGR138C,5,1075
YJR152W,5,10
YGL179C,5,1087
YMR037C,5,1054
YCR091W,4,10
YJL089W,4,9
YLR375W,4,311
YHL010C,4,10
YER053C,4,292
YGL063W,4,0
YLR032W,4,312
YGL246C,4,0
YDR096W,4,1031
YJR010W,4,9
YDR507C,4,1100
YCL016C,4,328
YGL017W,4,10
YLR436C,4,302
YGR087C,4,10
YGL234W,4,11
YGR254W,4,10
YMR106C,4,278
YBR092C,4,271
YER064C,3,1110
YIL035C,3,10
YGR208W,3,10
YDL079C,3,1063
YIL146C,3,10
YGR019W,3,10
YKR072C,3,294
YGL080W,3,10
YGL101W,3,10
YCR073C,3,276
YLR143W,3,273
YER065C,3,0
YEL029C,3,0
YKL166C,3,1085
YLR174W,3,1086
YBR182C,3,1035
YGR010W,3,10
YML027W,2,11
YNL066W,2,10
YHR037W,2,10
YGR234W,2,533
YHL012W,2,10
YIL111W,2,1104
YPL177C,2,1073
YER120W,2,1385
YMR284W,2,274
YCR066W,2,0
YGR209C,2,10
YLR011W,2,11
YGR088W,2,10
YCR036W,2,10
YGR262C,2,0
YER060W,2,0
YNL065W,2,10
YDR122W,2,1011
YGL209W,2,11
YGR052W,2,10
YIL006W,2,1111
YIL119C,2,10
YER010C,2,0
YOL068C,2,9
YGR110W,2,10
YGL148W,2,292
YPL230W,2,1083
YER090W,2,0
YBL054W,1,1084
YBR112C,1,0
YHR044C,1,10
YDR259C,1,1041
YDL022W,1,0
YGR248W,1,1379
YHR096C,1,1064
YLR102C,1,722
YGR288W,1,10
YPL088W,1,10
YEL024W,1,0
YGR256W,1,10
YGR205W,1,10
YER073W,1,0
YHL036W,1,10
YPR156C,1,1076
YDL076C,1,296
YGR040W,1,10
YOL136C,1,301
YPR008W,1,1040
YDL210W,1,0
YJR149W,1,10
YEL047C,1,1102
YER110C,1,0
YJL137C,1,1074
YHR162W,1,1093
YDL036C,1,10
YOR172W,1,1090
YNL202W,1,0
YNL241C,1,0
YKR034W,1,1061
YGL062W,1,10
YER037W,1,0
YGL067W,1,10
YBR195C,1,289
YNL107W,1,294
YHR001W-A,1,10
YLL062C,1,1109
YPL023C,1,11
YJR082C,1,796
YLR284C,1,1037
YHR106W,1,10
YMR139W,1,1063
YMR019W,1,494
YEL066W,1,0
YPL144W,1,286
YBR274W,1,10
