gene,resolves_to,status,in_gene_set,trigenic_train_records,distinct_screens,passes,reasons
YKL216W,YKL216W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YKR023W,YKR023W,current,True,7,7,False,only 7 trigenic training records; measured under only 7 distinct screens
YKR028W,YKR028W,current,True,1323,295,True,
YKR029C,YKR029C,current,True,1321,284,True,
YKR034W,YKR034W,current,True,1061,8,False,measured under only 8 distinct screens
YKR067W,YKR067W,current,True,7,7,False,only 7 trigenic training records; measured under only 7 distinct screens
YKR072C,YKR072C,current,True,294,294,True,
YLL010C,YLL010C,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YLL028W,YLL028W,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YLL043W,YLL043W,current,True,323,323,True,
YLL062C,YLL062C,current,True,1109,12,False,measured under only 12 distinct screens
YLR011W,YLR011W,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YLR013W,YLR013W,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YLR014C,YLR014C,current,True,815,297,True,
YLR017W,YLR017W,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YLR021W,YLR021W,current,True,797,319,True,
YLR024C,YLR024C,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YLR032W,YLR032W,current,True,312,312,True,
YLR047C,YLR047C,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YLR102C,YLR102C,current,True,722,291,True,
YLR113W,YLR113W,current,True,9,9,False,only 9 trigenic training records; measured under only 9 distinct screens
YLR143W,YLR143W,current,True,273,273,True,
YLR146C,YLR146C,current,True,9,9,False,only 9 trigenic training records; measured under only 9 distinct screens
YLR174W,YLR174W,current,True,1086,10,False,measured under only 10 distinct screens
YLR180W,YLR180W,current,True,9,9,False,only 9 trigenic training records; measured under only 9 distinct screens
YLR213C,YLR213C,current,True,9,9,False,only 9 trigenic training records; measured under only 9 distinct screens
YLR228C,YLR228C,current,True,9,9,False,only 9 trigenic training records; measured under only 9 distinct screens
YLR233C,YLR233C,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YLR258W,YLR258W,current,True,1114,10,False,measured under only 10 distinct screens
YLR260W,YLR260W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YLR284C,YLR284C,current,True,1037,10,False,measured under only 10 distinct screens
YLR299W,YLR299W,current,True,528,10,False,measured under only 10 distinct screens
YLR345W,YLR345W,current,True,9,9,False,only 9 trigenic training records; measured under only 9 distinct screens
YLR357W,YLR357W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YLR368W,YLR368W,current,True,510,10,False,measured under only 10 distinct screens
YLR375W,YLR375W,current,True,311,311,True,
YLR386W,YLR386W,current,True,301,301,True,
YLR421C,YLR421C,current,True,9,9,False,only 9 trigenic training records; measured under only 9 distinct screens
YLR436C,YLR436C,current,True,302,302,True,
YLR438W,YLR438W,current,True,9,9,False,only 9 trigenic training records; measured under only 9 distinct screens
YLR451W,YLR451W,current,True,9,9,False,only 9 trigenic training records; measured under only 9 distinct screens
YML007W,YML007W,current,True,1319,280,True,
YML027W,YML027W,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YML059C,YML059C,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YML081W,YML081W,current,True,1104,1,False,measured under only 1 distinct screens
YML100W,YML100W,current,True,1098,12,False,measured under only 12 distinct screens
YMR008C,YMR008C,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YMR016C,YMR016C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YMR019W,YMR019W,current,True,494,11,False,measured under only 11 distinct screens
YMR022W,YMR022W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YMR031C,YMR031C,current,True,1099,11,False,measured under only 11 distinct screens
YMR036C,YMR036C,current,True,761,300,True,
YMR037C,YMR037C,current,True,1054,11,False,measured under only 11 distinct screens
YMR048W,YMR048W,current,True,287,287,True,
YMR080C,YMR080C,current,True,314,314,True,
YMR105C,YMR105C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YMR106C,YMR106C,current,True,278,278,True,
YMR136W,YMR136W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YMR139W,YMR139W,current,True,1063,11,False,measured under only 11 distinct screens
YMR182C,YMR182C,current,True,1083,11,False,measured under only 11 distinct screens
YMR186W,YMR186W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YMR238W,YMR238W,current,True,292,292,True,
YMR280C,YMR280C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YMR284W,YMR284W,current,True,274,274,True,
YMR300C,YMR300C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YNL020C,YNL020C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YNL065W,YNL065W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YNL066W,YNL066W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YNL068C,YNL068C,current,True,309,309,True,
YNL106C,YNL106C,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YNL107W,YNL107W,current,True,294,294,True,
YNL154C,YNL154C,current,True,295,295,True,
YNL199C,YNL199C,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YNL202W,YNL202W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YNL206C,YNL206C,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YNL215W,YNL215W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YNL227C,YNL227C,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YNL229C,YNL229C,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YNL236W,YNL236W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YNL241C,YNL241C,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YNL248C,YNL248C,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YNL250W,YNL250W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YNL323W,YNL323W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YNR004W,YNR004W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YNR019W,YNR019W,current,True,3972,11,False,measured under only 11 distinct screens
YNR031C,YNR031C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YNR032W,YNR032W,current,True,303,303,True,
YNR033W,YNR033W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YNR047W,YNR047W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YNR057C,YNR057C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YOL016C,YOL016C,current,True,9,9,False,only 9 trigenic training records; measured under only 9 distinct screens
YOL068C,YOL068C,current,True,9,9,False,only 9 trigenic training records; measured under only 9 distinct screens
YOL086C,YOL086C,current,True,276,276,True,
YOL089C,YOL089C,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YOL090W,YOL090W,current,True,808,296,True,
YOL136C,YOL136C,current,True,301,301,True,
YOR002W,YOR002W,current,True,810,276,True,
YOR025W,YOR025W,current,True,303,303,True,
YOR028C,YOR028C,current,True,1041,10,False,measured under only 10 distinct screens
YOR038C,YOR038C,current,True,726,290,True,
YOR061W,YOR061W,current,True,272,272,True,
YOR113W,YOR113W,current,True,485,10,False,measured under only 10 distinct screens
YOR144C,YOR144C,current,True,762,279,True,
YOR156C,YOR156C,current,True,270,270,True,
YOR162C,YOR162C,current,True,9,9,False,only 9 trigenic training records; measured under only 9 distinct screens
YOR171C,YOR171C,current,True,289,289,True,
YOR172W,YOR172W,current,True,1090,10,False,measured under only 10 distinct screens
YOR209C,YOR209C,current,True,9,9,False,only 9 trigenic training records; measured under only 9 distinct screens
YOR231W,YOR231W,current,True,9,9,False,only 9 trigenic training records; measured under only 9 distinct screens
YOR241W,YOR241W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YOR243C,YOR243C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YOR245C,YOR245C,current,True,291,291,True,
YOR279C,YOR279C,current,True,293,293,True,
YOR285W,YOR285W,current,True,9,9,False,only 9 trigenic training records; measured under only 9 distinct screens
YOR304W,YOR304W,current,True,293,293,True,
YOR344C,YOR344C,current,True,298,298,True,
YOR371C,YOR371C,current,True,4129,11,False,measured under only 11 distinct screens
YOR377W,YOR377W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YPL026C,YPL026C,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YPL038W,YPL038W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YPL046C,YPL046C,current,True,493,11,False,measured under only 11 distinct screens
YPL087W,YPL087W,current,True,1050,11,False,measured under only 11 distinct screens
YPL088W,YPL088W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YPL089C,YPL089C,current,True,1298,274,True,
YPL140C,YPL140C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YPL181W,YPL181W,current,True,295,295,True,
YPL214C,YPL214C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YPL227C,YPL227C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YPL230W,YPL230W,current,True,1083,11,False,measured under only 11 distinct screens
YPL256C,YPL256C,current,True,1092,11,False,measured under only 11 distinct screens
YPL273W,YPL273W,current,True,1108,11,False,measured under only 11 distinct screens
YPL274W,YPL274W,current,True,1123,11,False,measured under only 11 distinct screens
YPR015C,YPR015C,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YPL023C,YPL023C,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YPR006C,YPR006C,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YPR008W,YPR008W,current,True,1040,12,False,measured under only 12 distinct screens
YPR009W,YPR009W,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YPR065W,YPR065W,current,True,810,295,True,
YPL021W,YPL021W,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YPL177C,YPL177C,current,True,1073,11,False,measured under only 11 distinct screens
YOL093W,YOL093W,current,True,282,282,True,
YOR123C,YOR123C,current,True,275,275,True,
YOR058C,YOR058C,current,True,304,304,True,
YPL144W,YPL144W,current,True,286,286,True,
YPR156C,YPR156C,current,True,1076,12,False,measured under only 12 distinct screens
YPR160W,YPR160W,current,True,485,12,False,measured under only 12 distinct screens
YPR125W,YPR125W,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YPR052C,YPR052C,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YPR121W,YPR121W,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YPR119W,YPR119W,current,True,295,295,True,
YPR145W,YPR145W,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YPR193C,YPR193C,current,True,551,12,False,measured under only 12 distinct screens
YPR140W,YPR140W,current,True,312,312,True,
YPR196W,YPR196W,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YPR139C,YPR139C,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YPR120C,YPR120C,current,True,313,313,True,
YPR184W,YPR184W,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YPR138C,YPR138C,current,True,1110,12,False,measured under only 12 distinct screens
YPR060C,YPR060C,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YPR074C,YPR074C,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YPL061W,YPL061W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YPL212C,YPL212C,current,True,293,293,True,
YPL139C,YPL139C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
