gene_set,interaction_type,ffa_type,interaction_score,epistatic_fold,standard_error,p_value,fdr_corrected_p,effect_size,significant_p05,significant_fdr05
FKH1:RPD3:SPT3,trigenic,C160,-1.6283496875711703,0.19625318609524578,0.2623155354907008,5.380017568851293e-10,2.4658413857235093e-09,1.6283496875711703,True,True
FKH1:RPD3:YAP6,trigenic,C160,-1.76586106211594,0.171039447471474,0.26231553549070113,1.6755343499230876e-11,9.478737179564896e-11,1.76586106211594,True,True
FKH1:RPD3:TFC7,trigenic,C160,-1.6352858595788924,0.19489665026099454,0.2623155354907011,4.545534059866884e-10,2.0930598694270768e-09,1.6352858595788924,True,True
FKH1:SPT3:YAP6,trigenic,C160,-1.5790089295682899,0.20617933522430126,0.262315535490701,1.7495433466894042e-09,7.433682030997898e-09,1.5790089295682899,True,True
FKH1:SPT3:TFC7,trigenic,C160,-1.6488668236632456,0.1922676583838176,0.26231553549070097,3.2613897315977693e-10,1.5302255138776263e-09,1.6488668236632456,True,True
FKH1:YAP6:TFC7,trigenic,C160,-1.8454112918726966,0.1579603397235144,0.2623155354907011,1.991439077008854e-12,1.3056454875753412e-11,1.8454112918726966,True,True
GCN5:MED4:OPI1,trigenic,C160,-0.9404532057529381,0.3904508406868101,0.2783654195439498,0.0007288658834391829,0.0015001605501139108,0.9404532057529381,True,True
GCN5:MED4:RFX1,trigenic,C160,-0.8982942448941307,0.4072637598276808,0.27836541954394933,0.00125081269249033,0.0024569535031060056,0.8982942448941307,True,True
GCN5:MED4:RGR1,trigenic,C160,-1.0170565585675888,0.3616578938638297,0.27836541954394944,0.00025851423164428643,0.0005575797153112061,1.0170565585675888,True,True
GCN5:MED4:RPD3,trigenic,C160,-0.8271208826898379,0.4373065323808383,0.2783654195439492,0.0029649438752524845,0.00552786146233514,0.8271208826898379,True,True
GCN5:MED4:SPT3,trigenic,C160,-1.0291628337943075,0.3573059598703254,0.2783654195439494,0.00021802080620612348,0.00047437494097596095,1.0291628337943075,True,True
GCN5:MED4:YAP6,trigenic,C160,-0.8918709353314771,0.40988816067692035,0.2783654195439491,0.0013555254976736909,0.002652115104144178,0.8918709353314771,True,True
