,noise_var,total_var,reliability,ceiling,robust_cv,label,description,score,rank
A102_A1B,0.002411458580227204,0.003369588467081418,0.28434626252270556,0.5332412798374724,0.10257692160235012,Bud_actin_region_ratio_to_total_region,Actin region ratio in bud on stage A1B,0.05469824895702524,173.0
A102_C,0.0012761500004990472,0.00200160211426866,0.36243572516142974,0.602026349225206,0.09026440261730967,Bud_actin_region_ratio_to_total_region,Actin region ratio in bud on stage C,0.05434154877269307,176.0
A103_A1B,0.00015449223020951584,0.0004526861444101308,0.6587210982328038,0.8116163491655425,0.43091655912535953,Relative_distance_of_actin_patch_center_from_neck_in_mother,Relative Distance of actin patch center from neck in mother cell on stage A1B,0.34973892451230193,9.0
A103_C,0.0004735033279850119,0.0006628579983075187,0.28566400466764796,0.5344754481429881,0.6393367281754263,Relative_distance_of_actin_patch_center_from_neck_in_mother,Relative Distance of actin patch center from neck in mother cell on stage C,0.3417097843058327,10.0
A104_A1B,0.00016236568612708736,0.00025878883510356223,0.37259392947879,0.6104047259636757,0.16025709906996122,Relative_distance_of_actin_patch_center_from_neck_in_bud,Relative Distance of actin patch center from neck in bud on stage A1B,0.0978216906415333,88.0
A104_C,0.00035846611029133026,0.0003987667052060785,0.1010630887398718,0.31790421315212514,0.22356727276032712,Relative_distance_of_actin_patch_center_from_neck_in_bud,Relative Distance of actin patch center from neck in bud on stage C,0.07107297793343834,133.0
A105,0.002881820849063266,0.005041520469596384,0.4283825948059713,0.6545094306470849,0.6172825144573004,actin_a_ratio,Actin a ratio,0.40401722708584864,5.0
A105_A,0.013316857176791829,0.016014384633305435,0.16844402818348103,0.4104193321268883,0.48969780314762956,Actin_a_ratio,Actin a ratio on stage A,0.20098144531185455,26.0
A106,0.004035923604634566,0.005153807733873375,0.2169045076888534,0.4657300802920651,0.3317095149346324,actin_b_ratio,Actin b ratio,0.1544870990241483,41.0
A106_A,0.013507454348562565,0.01615271876396396,0.16376589316362467,0.4046799885880505,0.2515569606446167,Actin_b_ratio,Actin b ratio on stage A,0.10180006796290815,85.0
A107,0.00112415085835356,0.001565132940793478,0.28175375455094087,0.5308048177540788,0.2576330119435991,actin_c_api_ratio,Actin c (api) ratio,0.13675284395215653,54.0
A107_A1B,0.004623876787112085,0.004965342514531429,0.06876982331430703,0.26224001089518556,0.1602283793709443,Actin_c_api_ratio,Actin c (api) ratio on stage A1B,0.04201829195195436,219.0
A107_C,0.0013334914486012371,0.001408341424976215,0.05314760685693953,0.23053764737443544,1.002886,Actin_c_api_ratio,Actin c (api) ratio on stage C,0.23120297902475806,21.0
A108,0.0014355241743090911,0.002438647421665892,0.41134410757564366,0.6413611366271297,0.3753111026668277,actin_d_iso_ratio,Actin d (iso) ratio,0.24070995539517798,19.0
