index,gene1,gene2,gene3,prediction,mutant_type
473,YDR155C,YJL017W,YKL033W-A,0.12609863,triple
474,YDR155C,YKL033W-A,YLR312C-B,0.12609863,triple
475,YDR155C,YKL033W-A,YKL200C,0.12609863,triple
476,YBR246W,YJL017W,YKL033W-A,0.12408447,triple
477,YBR246W,YIL174W,YKL033W-A,0.12408447,triple
478,YBR246W,YKL033W-A,YLR312C-B,0.12408447,triple
479,YDR155C,YGL087C,YLR312C-B,0.12261963,triple
480,YDR155C,YGL087C,YIL174W,0.12261963,triple
481,YDR155C,YGL087C,YKL200C,0.12261963,triple
482,YBR158W,YIL174W,YLL005C,0.1194458,triple
483,YKR054C,YOR126C,YPL046C,0.11932373,triple
484,YLL005C,YOR126C,YPL046C,0.11907959,triple
485,YBR246W,YIL174W,YLR351C,0.1182251,triple
486,YDR155C,YKL200C,YLR312C-B,0.11669922,triple
487,YDR155C,YJL017W,YLR312C-B,0.11669922,triple
488,YDR155C,YIL174W,YKL200C,0.11669922,triple
489,YDR155C,YLL017W,YLR312C-B,0.11669922,triple
490,YDR155C,YIL174W,YJL017W,0.11669922,triple
491,YDR155C,YIL174W,YLL017W,0.11669922,triple
492,YKL033W-A,YOR126C,YPL046C,0.11505127,triple
493,YBR203W,YIL174W,YLL005C,0.11437988,triple
494,YBR203W,YKL200C,YLL005C,0.11437988,triple
495,YBR203W,YLL005C,YLR312C-B,0.11437988,triple
496,YBR203W,YJL017W,YLL005C,0.11437988,triple
497,YBR203W,YDR155C,YJL017W,0.11413574,triple
498,YBR203W,YDR155C,YIL174W,0.11413574,triple
499,YBR203W,YDR155C,YLR312C-B,0.11413574,triple
500,YBR203W,YDR155C,YKL200C,0.11413574,triple
501,YKR054C,YLR312C-B,YMR244W,0.11273193,triple
502,YIL174W,YKR054C,YMR244W,0.11273193,triple
503,YJL017W,YKR054C,YMR244W,0.11273193,triple
504,YDR155C,YIL174W,YLR104W,0.11016846,triple
505,YDR155C,YKL200C,YLR104W,0.11016846,triple
506,YDR155C,YLR104W,YLR312C-B,0.11016846,triple
507,YDR155C,YJL017W,YLR104W,0.11016846,triple
508,YJL017W,YLR104W,YMR244W,0.10925293,triple
509,YLR104W,YLR312C-B,YMR244W,0.10925293,triple
510,YKL200C,YLR104W,YMR244W,0.10925293,triple
511,YIL174W,YLR104W,YMR244W,0.10925293,triple
512,YDR155C,YLL012W,YLR312C-B,0.10913086,triple
513,YDR155C,YIL174W,YLL012W,0.10913086,triple
514,YER079W,YIL174W,YKL200C,0.10644531,triple
515,YER079W,YIL174W,YJL017W,0.10644531,triple
516,YER079W,YLL017W,YLR312C-B,0.10644531,triple
517,YER079W,YJL017W,YLR312C-B,0.10644531,triple
518,YER079W,YIL174W,YLL017W,0.10644531,triple
519,YER079W,YKL200C,YLR312C-B,0.10644531,triple
520,YBR246W,YGL087C,YLR312C-B,0.10620117,triple
521,YIL174W,YLL012W,YMR244W,0.10437012,triple
522,YLL012W,YLR312C-B,YMR244W,0.10437012,triple
523,YLR312C-B,YMR244W,YPR053C,0.10345459,triple
524,YIL174W,YMR244W,YPR053C,0.10345459,triple
525,YDR057W,YER079W,YPR053C,0.09979248,triple
526,YGL087C,YJL017W,YMR244W,0.09881592,triple
527,YGL087C,YIL174W,YMR244W,0.09881592,triple
528,YGL087C,YLR312C-B,YMR244W,0.09881592,triple
529,YGL087C,YKL200C,YMR244W,0.09881592,triple
530,YGL087C,YOR126C,YPL046C,0.09716797,triple
531,YBR246W,YLR104W,YLR312C-B,0.09655762,triple
532,YBR246W,YKL200C,YLR104W,0.09655762,triple
533,YBR246W,YJL017W,YLR104W,0.09655762,triple
534,YBR246W,YIL174W,YLR104W,0.09655762,triple
535,YIL174W,YJR060W,YMR244W,0.096191406,triple
536,YJR060W,YLR312C-B,YMR244W,0.096191406,triple
537,YLL005C,YMR244W,YPR053C,0.093444824,triple
538,YKL033W-A,YLR312C-B,YMR244W,0.092041016,triple
539,YKL033W-A,YLL017W,YMR244W,0.092041016,triple
540,YKL033W-A,YKL200C,YMR244W,0.092041016,triple
541,YJL017W,YKL033W-A,YMR244W,0.092041016,triple
542,YIL174W,YKL033W-A,YMR244W,0.092041016,triple
543,YDR155C,YKR054C,YLR312C-B,0.09112549,triple
544,YDR155C,YIL174W,YKR054C,0.09112549,triple
545,YIL174W,YLL005C,YPR053C,0.089538574,triple
546,YLL005C,YLR312C-B,YPR053C,0.089538574,triple
547,YIL174W,YLR351C,YMR244W,0.088256836,triple
548,YER079W,YOR126C,YPL046C,0.08685303,triple
549,YER079W,YLR312C-B,YPR053C,0.081604004,triple
550,YER079W,YIL174W,YPR053C,0.081604004,triple
551,YIL174W,YJL017W,YLL005C,0.07891846,triple
552,YKL200C,YLL005C,YLR312C-B,0.07891846,triple
553,YJL017W,YLL005C,YLR312C-B,0.07891846,triple
554,YIL174W,YKL200C,YLL005C,0.07891846,triple
555,YBR158W,YLR312C-B,YMR244W,0.07458496,triple
556,YBR158W,YIL174W,YMR244W,0.07458496,triple
557,YMR244W,YOR126C,YPR053C,0.07434082,triple
558,YKR054C,YOR126C,YPR053C,0.07287598,triple
559,YBR246W,YIL174W,YLL012W,0.071777344,triple
560,YBR203W,YLR312C-B,YMR244W,0.07128906,triple
561,YBR203W,YIL174W,YMR244W,0.07128906,triple
562,YBR203W,YKL200C,YMR244W,0.07128906,triple
563,YBR203W,YJL017W,YMR244W,0.07128906,triple
564,YDR155C,YLR312C-B,YMR244W,0.07092285,triple
565,YDR155C,YJL017W,YMR244W,0.07092285,triple
566,YDR155C,YKL200C,YMR244W,0.07092285,triple
567,YDR155C,YIL174W,YMR244W,0.07092285,triple
568,YDR057W,YOR126C,YPL046C,0.068725586,triple
569,YBR158W,YDR155C,YIL174W,0.06439209,triple
570,YBR158W,YDR155C,YLR312C-B,0.06439209,triple
571,YIL174W,YJL017W,YPL081W,0.060943604,triple
572,YLL017W,YLR312C-B,YPL081W,0.060943604,triple
573,YJL017W,YLR312C-B,YPL081W,0.060943604,triple
574,YIL174W,YKL200C,YPL081W,0.060943604,triple
575,YIL174W,YLL017W,YPL081W,0.060943604,triple
576,YKL200C,YLR312C-B,YPL081W,0.060943604,triple
577,YBR246W,YDR155C,YLR312C-B,0.05545044,triple
578,YBR246W,YDR155C,YKL200C,0.05545044,triple
579,YBR246W,YDR155C,YIL174W,0.05545044,triple
580,YLL005C,YOR126C,YPR053C,0.052246094,triple
581,YER079W,YIL174W,YPL081W,0.04827881,triple
582,YER079W,YLL017W,YPL081W,0.04827881,triple
583,YER079W,YLR312C-B,YPL081W,0.04827881,triple
584,YKL033W-A,YOR126C,YPR053C,0.047576904,triple
585,YGL087C,YOR126C,YPR053C,0.037200928,triple
586,YLL017W,YOR126C,YPL046C,0.037139893,triple
587,YJL017W,YOR126C,YPL046C,0.037139893,triple
588,YLR312C-B,YOR126C,YPL046C,0.037139893,triple
589,YKL200C,YOR126C,YPL046C,0.037139893,triple
590,YIL174W,YOR126C,YPL046C,0.037139893,triple
591,YKL200C,YLR312C-B,YMR244W,0.03643799,triple
592,YJL017W,YLR312C-B,YMR244W,0.03643799,triple
593,YIL174W,YLL017W,YMR244W,0.03643799,triple
594,YIL174W,YJL017W,YMR244W,0.03643799,triple
595,YIL174W,YKL200C,YMR244W,0.03643799,triple
596,YLL017W,YLR312C-B,YMR244W,0.03643799,triple
597,YDR057W,YLR312C-B,YPR053C,0.030273438,triple
598,YDR057W,YIL174W,YPR053C,0.030273438,triple
599,YBR246W,YIL174W,YMR244W,0.021896362,triple
600,YBR246W,YJL017W,YMR244W,0.021896362,triple
601,YBR246W,YLR312C-B,YMR244W,0.021896362,triple
602,YBR246W,YKL200C,YMR244W,0.021896362,triple
603,YKL200C,YLL005C,YMR244W,0.020141602,triple
604,YIL174W,YLL005C,YMR244W,0.020141602,triple
605,YLL005C,YLR312C-B,YMR244W,0.020141602,triple
606,YJL017W,YLL005C,YMR244W,0.020141602,triple
607,YDR057W,YOR126C,YPL081W,0.018081665,triple
608,YDR057W,YER079W,YOR126C,0.017059326,triple
609,YDR057W,YKL200C,YOR126C,0.014694214,triple
610,YDR057W,YLL017W,YOR126C,0.014694214,triple
611,YDR057W,YJL017W,YOR126C,0.014694214,triple
612,YDR057W,YIL174W,YOR126C,0.014694214,triple
613,YDR057W,YLR312C-B,YOR126C,0.014694214,triple
614,YER079W,YOR126C,YPR053C,0.0029087067,triple
615,YER079W,YJL017W,YOR126C,0.0021076202,triple
616,YER079W,YIL174W,YOR126C,0.0021076202,triple
617,YER079W,YKL200C,YOR126C,0.0021076202,triple
618,YER079W,YLL017W,YOR126C,0.0021076202,triple
619,YER079W,YLR312C-B,YOR126C,0.0021076202,triple
620,YDR057W,YOR126C,YPR053C,0.001909256,triple
621,YJL017W,YLR312C-B,YOR126C,-0.0016117096,triple
622,YKL200C,YLR312C-B,YOR126C,-0.0016117096,triple
623,YIL174W,YLL017W,YOR126C,-0.0016117096,triple
624,YIL174W,YJL017W,YOR126C,-0.0016117096,triple
625,YLL017W,YLR312C-B,YOR126C,-0.0016117096,triple
626,YIL174W,YKL200C,YOR126C,-0.0016117096,triple
627,YLR312C-B,YOR126C,YPR053C,-0.001909256,triple
628,YIL174W,YOR126C,YPR053C,-0.001909256,triple
629,YBR246W,YIL174W,YJR060W,-0.0024166107,triple
630,YLR312C-B,YOR126C,YPL081W,-0.0062065125,triple
631,YLL017W,YOR126C,YPL081W,-0.0062065125,triple
632,YIL174W,YOR126C,YPL081W,-0.0062065125,triple
633,YBR246W,YKL200C,YLL005C,-0.008277893,triple
634,YBR246W,YJL017W,YLL005C,-0.008277893,triple
635,YBR246W,YIL174W,YLL005C,-0.008277893,triple
636,YBR246W,YKL200C,YLR312C-B,-0.018447876,triple
637,YBR246W,YLL017W,YLR312C-B,-0.018447876,triple
638,YBR246W,YIL174W,YJL017W,-0.018447876,triple
639,YBR246W,YIL174W,YKL200C,-0.018447876,triple
640,YBR246W,YIL174W,YLL017W,-0.018447876,triple
641,YBR246W,YJL017W,YLR312C-B,-0.018447876,triple
