dataset,model,size,embedding,is_pert,aggregation,num_params,test_spearman,val_spearman,cv_spearman_mean,cv_spearman_std,test_pearson,val_pearson,cv_pearson_mean,cv_pearson_std,test_r2,val_r2,cv_r2_mean,cv_r2_std,test_mse,val_mse,cv_mse_mean,cv_mse_std
fitness,random_forest,1e4,prot_T5_all,False,sum,5036650.0,0.522413688432699,0.5451427507169011,0.5380287149900669,0.0324480939507587,0.5492447838281892,0.5405685826059787,0.5541822161054728,0.0223066805826854,0.273004878794992,0.266328646862972,0.2789027158938714,0.0171531938239061,0.0145164616667512,0.0149885690016658,0.0143904745837033,0.000469073934634
fitness,random_forest,1e4,prot_T5_no_dubious,True,sum,5033716.0,0.5200383254117904,0.5454421197593409,0.5382878846257221,0.0298816594594637,0.5452699411302533,0.5354310629758955,0.554339188805306,0.0206920540533245,0.26926167080009,0.2628263558217837,0.278930829540137,0.0159854016820788,0.0145912051330878,0.0150601192001441,0.0143898328205093,0.0004498405567437
fitness,random_forest,1e4,random_1,False,sum,8882.0,0.0356337736186412,0.0601861308578044,0.0558035994167409,0.0149342789323552,0.0689193603288371,0.0228208111490941,0.0608620877833488,0.0226379984998062,0.0032450713698906,-0.0082056599229254,0.0017655039238122,0.0048417095580912,0.0199029598556605,0.0205971788826303,0.0199253973552712,0.0006548942530289
fitness,random_forest,1e4,random_10,True,sum,5049738.0,0.2285147308146874,0.233674058574817,0.19260416243936,0.0234958572037379,0.2444275224093484,0.2584526885160622,0.2376573569614478,0.0310602690459147,0.0525456255527543,0.0658135410383606,0.0515739610536481,0.0158739330850499,0.0189185383869732,0.0190850005805708,0.0189335449958877,0.000774965147851
fitness,random_forest,1e4,random_100,True,sum,1894776.0,0.4221974063989446,0.4421850855624284,0.4366285709504824,0.0286434434896338,0.430364068917966,0.4057111093473942,0.4391893665392917,0.0236301617390073,0.1679294316764485,0.1523787446404627,0.1710424670387547,0.013447926018792,0.0166145826248187,0.0173165132029657,0.0165475230780843,0.0006414833999189
fitness,random_forest,1e4,random_1000,True,sum,5037896.0,0.5648890802775597,0.5850004465999146,0.5792135982853532,0.0206113896873744,0.5017860689997228,0.5019237842583896,0.5318986978197714,0.022081399941373,0.2098033572778644,0.201441317073535,0.222328064892378,0.015259774691044,0.0157784542683838,0.016314187367061,0.0155247096066113,0.0006554484168942
fitness,random_forest,1e5,calm,True,sum,18680104.0,0.6622708721901023,0.6719505111569222,,,0.6698468597205721,0.6692530865006686,,,0.402340596630969,0.4035829649763253,,,0.0127172462312239,0.0128289361106351,,
fitness,random_forest,1e5,codon_frequency,True,sum,19248130.0,0.5986625743035546,0.6171309016435239,,,0.6254032089959712,0.6299496511850409,,,0.3671324320909549,0.3713011662970868,,,0.0134664202512105,0.0135233179080562,,
fitness,random_forest,1e5,esm2_t33_650M_UR50D_all,False,mean,,0.6694452515572517,0.6797999393025518,,,0.6590864826602079,0.6763071250018988,,,0.3843843936920166,0.4034627676010132,,,0.0130993267521262,0.0128315212205052,,
fitness,random_forest,1e5,esm2_t33_650M_UR50D_no_dubious,False,mean,18636790.0,0.6690526698645675,0.6826102535914498,,,0.6588082471682998,0.6732443613633099,,,0.3949818907658479,0.4119618518579336,,,0.0128738278459402,0.0126487061739128,,
fitness,random_forest,1e5,fudt_downstream,True,sum,50392132.0,0.6052089528771043,0.6082634082343679,,,0.5916031140193362,0.5956608996124454,,,0.301678191558414,0.3072503367855054,,,0.0148591829000333,0.0149010518616222,,
fitness,random_forest,1e5,fudt_upstream,False,sum,18703118.0,0.6346508152273447,0.6299979066285026,,,0.6296633655018289,0.6186600704694625,,,0.3539489875727256,0.3438526706680725,,,0.0137469430860709,0.0141137353107779,,
fitness,random_forest,1e5,normalized_chrom_pathways,True,mean,21340500.0,0.4356854041081204,0.4681392860673469,,,0.4973569135038796,0.5146981525349467,,,0.2465502279054187,0.2631967082828599,,,0.0160322187195136,0.0158486458307979,,
fitness,random_forest,1e5,nt_window_5979,False,mean,,0.6234437371460665,0.6162808499484779,,,0.6387420288504803,0.6294102630087879,,,0.3273824453353882,0.320695161819458,,,0.0143122365698218,0.0146118551492691,,
fitness,random_forest,1e5,nt_window_five_prime_1003,False,mean,,0.649662284890959,0.6599887001860516,,,0.6430610710388791,0.6434377908251558,,,0.3419152498245239,0.3461183905601501,,,0.014003001153469,0.0140649983659386,,
fitness,random_forest,1e5,nt_window_three_prime_300,False,mean,,0.7157924754425304,0.7162963285055671,,,0.6957824004004256,0.7029980254212709,,,0.3677295446395874,0.3851140737533569,,,0.0134537136182189,0.0132262017577886,,
fitness,random_forest,1e5,one_hot_gene,True,mean,46505882.0,0.8861234254530854,0.8867696212419108,,,0.8707144173277455,0.8687575554200927,,,0.7470975920832409,0.7437166587300164,,,0.0053813629900523,0.0055126571145678,,
