group,plate,volume_nl,hours,strain,fitness,fitness_sd,fitness_se,n_used,n_total,pvalue
P2_t50,P2,5.0,50.3,YKL033W-A,0.8084649442455558,0.128749133222119,0.0243312991443465,28,29,6.174036508672124e-06
P2_t50,P2,5.0,50.3,YLR312C-B,0.9251113635378296,0.1040776776399112,0.0204113118928971,26,29,0.1021191271649235
P2_t50,P2,5.0,50.3,YOS9,0.8847845425744252,0.1386558885943307,0.0257477521227638,29,29,0.0120969147824722
P2_t50,P2,5.0,50.3,YPL081W,0.7809729128068995,0.1833622370943793,0.034652205656585,28,29,2.707283007659359e-07
P1_t72,P1,2.5,72.18,BY4741,1.0,0.1529250154951535,0.0289001114457768,28,30,
P1_t72,P1,2.5,72.18,COS111,0.9667186706841494,0.1702228091655498,0.0491390923469722,12,29,0.2813625912579467
P1_t72,P1,2.5,72.18,ELC1,0.978724042093356,0.2059334543981417,0.0460481202875598,20,29,0.3413493139547588
P1_t72,P1,2.5,72.18,LCL1,0.948850074558904,0.1167403655671497,0.0261039393126322,20,29,0.0273678132346899
P1_t72,P1,2.5,72.18,MMS2,1.042739780077196,0.1509691168346638,0.031479236937494,23,29,0.7261876360412519
P1_t72,P1,2.5,72.18,SPH1,0.9338998387441728,0.1117655739935925,0.0238285004393299,22,29,0.0032674953278888
P1_t72,P1,2.5,72.18,YEH1,0.845928647307155,0.1492275237070824,0.0342351418649469,19,29,0.0001550944325983
P1_t72,P1,2.5,72.18,YER079W,0.8832309758459458,0.1918743129898767,0.0495417345849854,15,29,0.0355274716629808
P1_t72,P1,2.5,72.18,YJR060W,0.7381465764910841,0.1512232767572857,0.0296573245805708,26,29,3.379821363616938e-09
P1_t72,P1,2.5,72.18,YKL033W-A,0.8829200264515501,0.1857562514490651,0.0415363605485653,20,29,0.0052420395404319
P1_t72,P1,2.5,72.18,YLR312C-B,1.091216532454389,0.1445232767033511,0.0289046553406702,25,29,0.1514861003221408
P1_t72,P1,2.5,72.18,YOS9,1.020340006482933,0.2025658947693544,0.0389838246245747,27,29,0.6676941248320576
P1_t72,P1,2.5,72.18,YPL081W,0.9363395075712144,0.1386553945226825,0.0295614294388056,22,29,0.0034797068831732
P2_t72,P2,5.0,72.26,BY4741,1.0,0.1606073544425747,0.0334889484048504,23,30,
P2_t72,P2,5.0,72.26,COS111,0.8498107989377183,0.1698523779371804,0.0362126486509107,22,29,0.0016622841835192
P2_t72,P2,5.0,72.26,ELC1,0.9610510390317828,0.1847885596336797,0.0385310782364675,23,29,0.3795275020615829
P2_t72,P2,5.0,72.26,LCL1,0.8879878506853766,0.1451026294656614,0.0324459343199182,20,29,0.0036173659573252
P2_t72,P2,5.0,72.26,MMS2,0.8802659878068371,0.1362050304805409,0.030456370703192,20,29,0.0071325630001573
P2_t72,P2,5.0,72.26,SPH1,1.021013780355684,0.1333736662804798,0.0291045200687656,21,29,0.9251189669830522
P2_t72,P2,5.0,72.26,YEH1,0.9527460545754052,0.1614052884923916,0.038043591337447,18,29,0.3647628159842889
P2_t72,P2,5.0,72.26,YER079W,0.9206386496882604,0.155224160577381,0.0338726888348489,21,29,0.0511470744070703
P2_t72,P2,5.0,72.26,YJR060W,0.912943685630178,0.1698571537022348,0.0379812142142827,20,29,0.0559512503131169
P2_t72,P2,5.0,72.26,YKL033W-A,0.8943374692435936,0.1981473531987145,0.0381334759028298,27,29,0.0185080613988344
P2_t72,P2,5.0,72.26,YLR312C-B,1.0298427055394448,0.1583864528228314,0.0330258584049312,23,29,0.5530688096633625
P2_t72,P2,5.0,72.26,YOS9,0.9046368557896708,0.1284844805928926,0.0294763614061964,19,29,0.0382477453819535
P2_t72,P2,5.0,72.26,YPL081W,0.9971160917911072,0.1956694545355001,0.0407999016613372,23,29,0.9125315861561896
