row,col,size,circularity,flags,cx,cy,strain,volume_nl,well,is_missing,is_flagged,is_blank,is_reference,size_rc,size_spatial,norm,is_capped,is_jackknife,status,group,plate,hours,agar
4,2,1794,1.0,,378.6711259754738,617.082497212932,YLR312C-B,2.5,D2,False,False,False,True,2642.897346411977,2456.5106411414304,1.4607423663225725,False,False,OK,P1_t44,P1,43.71,up
4,3,1328,1.0,,464.2605421686747,615.7680722891566,YKL033W-A,2.5,D3,False,False,False,True,2137.11468878516,1979.122180239815,1.17686753250199,False,False,OK,P1_t44,P1,43.71,up
4,4,1044,1.0,,555.6915708812261,616.2634099616859,YJR060W,2.5,D4,False,False,False,True,1369.7732550037667,1350.8551092090006,0.8032740651463294,False,False,OK,P1_t44,P1,43.71,up
4,5,973,1.0,,651.9928057553957,615.1120246659815,YKL033W-A,2.5,D5,False,False,False,True,1244.265779581059,1274.9812717214234,0.758156357509582,False,False,OK,P1_t44,P1,43.71,up
4,6,1142,1.0,,736.3467600700525,624.5253940455342,YJR060W,2.5,D6,False,False,False,True,1570.6424878764958,1604.9747183476484,0.9543840473158648,False,False,OK,P1_t44,P1,43.71,up
4,7,0,,,815.750687868677,637.3770103660972,YER079W,2.5,D7,True,False,False,False,0.0,0.0,,False,False,MISS,P1_t44,P1,43.71,up
4,8,1147,1.0,,914.8727114210985,629.4760244115083,ELC1,2.5,D8,False,False,False,True,1653.1324052885343,1848.931652365533,1.0994508844424082,False,False,OK,P1_t44,P1,43.71,up
4,9,1049,1.0,,1008.9628217349857,626.4566253574833,YJR060W,2.5,D9,False,False,False,True,1377.9807888838134,1541.1907048511478,0.9164554467846917,False,False,OK,P1_t44,P1,43.71,up
4,10,1193,1.0,,1108.1089689857502,631.1114836546521,BY4741,2.5,D10,False,False,False,True,1651.1304446450824,1861.734010573731,1.1070636937298384,False,False,OK,P1_t44,P1,43.71,up
4,11,0,,,1175.0137174992838,630.2598133450156,ELC1,2.5,D11,True,False,False,False,0.0,0.0,,False,False,MISS,P1_t44,P1,43.71,up
4,12,2125,1.0,,1276.308705882353,635.1585882352941,YOS9,2.5,D12,False,False,False,True,2913.4778928849937,3441.661379286369,2.046553555706879,False,True,JK,P1_t44,P1,43.71,up
4,13,921,1.0,,1365.6894679695984,633.7947882736156,ELC1,2.5,D13,False,False,False,True,1269.8741756117868,1431.8480708493814,0.8514358147681711,False,False,OK,P1_t44,P1,43.71,up
4,14,1878,1.0,,1453.9627263045793,630.2806176783813,MMS2,2.5,D14,False,False,False,True,2195.0485207100587,2281.9839333643463,1.3569616002900153,False,False,OK,P1_t44,P1,43.71,up
4,15,0,,,1534.276747129891,623.1426163239339,LCL1,2.5,D15,True,False,False,False,0.0,0.0,,False,False,MISS,P1_t44,P1,43.71,up
4,16,1621,1.0,,1642.6483652066624,629.4552745219,LCL1,2.5,D16,False,False,False,True,2359.531599516582,2340.8625570205004,1.3919732540581193,False,False,OK,P1_t44,P1,43.71,up
4,17,0,,,1713.9082619451942,619.5840178133931,YPL081W,2.5,D17,True,False,False,False,0.0,0.0,,False,False,MISS,P1_t44,P1,43.71,up
4,18,1207,1.0,,1816.2924606462302,640.1739850869925,YKL033W-A,2.5,D18,False,False,False,True,1804.7844444802736,1583.1561382815546,0.9414098212971511,False,False,OK,P1_t44,P1,43.71,up
4,19,0,,,1893.5397767604977,616.0254193028522,YPL081W,2.5,D19,True,False,False,False,0.0,0.0,,False,False,MISS,P1_t44,P1,43.71,up
4,20,1823,1.0,,1994.342292923752,646.3241908941305,YOS9,2.5,D20,False,False,False,True,2111.648260292579,1897.0593652991222,1.1280696040599378,False,False,OK,P1_t44,P1,43.71,up
4,21,2012,1.0,,2084.2271371769384,638.0551689860835,MMS2,2.5,D21,False,False,False,True,2256.738693749943,2052.1621607975544,1.2203001121331092,False,False,OK,P1_t44,P1,43.71,up
4,22,1164,1.0,,2171.0524054982816,644.1743986254296,YPL081W,2.5,D22,False,False,False,True,1454.2040285182181,1361.1637075525593,0.8094039821455254,False,False,OK,P1_t44,P1,43.71,up
4,23,1871,1.0,,2265.896846606093,640.7407803313736,COS111,2.5,D23,False,False,False,True,2471.0804947343686,2403.7203932880843,1.429351111476544,False,False,OK,P1_t44,P1,43.71,up
4,24,0,,,2342.618563798757,607.1289230265002,YER079W,2.5,D24,True,False,False,False,0.0,0.0,,False,False,MISS,P1_t44,P1,43.71,up
5,1,0,,,278.64821434061355,738.5132533676388,COS111,2.5,E1,True,False,False,False,0.0,0.0,,False,False,MISS,P1_t44,P1,43.71,up
5,2,1117,1.0,,374.8800358102059,706.1459265890779,YJR060W,2.5,E2,False,False,False,True,1248.1953128577109,1207.7621217120293,0.7181850833769001,False,False,OK,P1_t44,P1,43.71,up
5,3,1712,1.0,,464.6758177570093,700.0017523364486,LCL1,2.5,E3,False,False,False,True,2089.80148154388,2114.19187105697,1.257185531731593,False,False,OK,P1_t44,P1,43.71,up
5,4,1363,1.0,,558.0821716801174,707.1834189288335,YKL033W-A,2.5,E4,False,False,False,True,1356.4867549988678,1372.3185173054612,0.8160370912888104,False,False,OK,P1_t44,P1,43.71,up
5,5,0,,,637.9112439712204,731.3960563465571,COS111,2.5,E5,True,False,False,False,0.0,0.0,,False,False,MISS,P1_t44,P1,43.71,up
5,6,0,,,727.7270013788722,729.6167570912867,Blank_media,2.5,E6,True,False,True,False,0.0,0.0,,False,False,MISS;BLANK,P1_t44,P1,43.71,up
5,7,1384,1.0,,824.7507225433526,712.9096820809249,MMS2,2.5,E7,False,False,False,True,1433.0643372008897,1464.3892857391716,0.8707861609238207,False,False,OK,P1_t44,P1,43.71,up
5,8,0,,,907.3585161941758,726.0581585807458,YLR312C-B,2.5,E8,True,False,False,False,0.0,0.0,,False,False,MISS,P1_t44,P1,43.71,up
5,9,1671,1.0,,1010.9144225014961,718.1549970077798,BY4741,2.5,E9,False,False,False,True,1665.0053859964096,1862.2108850322497,1.1073472629166796,False,False,OK,P1_t44,P1,43.71,up
5,10,1586,1.0,,1101.5296343001262,714.2238335435056,LCL1,2.5,E10,False,False,False,True,1665.0053859964094,1702.431099341098,1.0123356239145553,False,False,OK,P1_t44,P1,43.71,up
5,11,0,,,1176.8057884171308,720.7202608149346,YLR312C-B,2.5,E11,True,False,False,False,0.0,0.0,,False,False,MISS,P1_t44,P1,43.71,up
5,12,0,,,1266.6215458247827,718.9409615596642,Blank_media,2.5,E12,True,False,True,False,0.0,0.0,,False,False,MISS;BLANK,P1_t44,P1,43.71,up
5,13,1239,1.0,,1372.6924939467312,725.3422114608555,YER079W,2.5,E13,False,False,False,True,1295.8176339507231,1295.3866829546216,0.7702902551574738,False,False,OK,P1_t44,P1,43.71,up
5,14,1906,1.0,,1453.0414480587617,726.9637985309549,YOS9,2.5,E14,False,False,False,True,1689.8297474489648,1715.6686907269127,1.0202072407687535,False,False,OK,P1_t44,P1,43.71,up
5,15,0,,,1536.068818047738,713.6030637938529,ELC1,2.5,E15,True,False,False,False,0.0,0.0,,False,False,MISS,P1_t44,P1,43.71,up
5,16,2460,1.0,,1640.860569105691,733.0959349593496,YLR312C-B,2.5,E16,False,False,False,True,2716.122844529951,2704.886792344776,1.6084370519349602,False,False,OK,P1_t44,P1,43.71,up
5,17,1380,1.0,,1725.6601449275363,726.6789855072464,YKL033W-A,2.5,E17,False,False,False,True,1337.8209214992985,1252.192613732447,0.7446052832180147,False,False,OK,P1_t44,P1,43.71,up
5,18,0,,,1805.516090270693,708.2651660280417,Blank_media,2.5,E18,True,False,True,False,0.0,0.0,,False,False,MISS;BLANK,P1_t44,P1,43.71,up
5,19,0,,,1895.3318476783447,706.4858667727713,YEH1,2.5,E19,True,False,False,False,0.0,0.0,,False,False,MISS,P1_t44,P1,43.71,up
