seed_gene,seed_orf,class,graph,k,n_reached,n_metabolic,n_on_locus,n_reactions_touched,n_reactions_off_locus,share_off_locus,out_degree
YKR089C,YKR089C,adjacent enzyme,physical,3,5718,1157,13,2693,2629,0.9762346825102116,12
YLL012W,YLL012W,adjacent enzyme,physical,1,19,8,0,32,32,1.0,19
YLL012W,YLL012W,adjacent enzyme,physical,2,4645,867,12,2190,2144,0.9789954337899544,19
YLL012W,YLL012W,adjacent enzyme,physical,3,5717,1157,13,2701,2637,0.9763050721954831,19
YLR043C,YLR043C,adjacent enzyme,physical,1,51,8,0,15,15,1.0,51
YLR043C,YLR043C,adjacent enzyme,physical,2,5181,1058,11,2591,2553,0.9853338479351602,51
YLR043C,YLR043C,adjacent enzyme,physical,3,5717,1156,13,2709,2645,0.976375046142488,51
YLR109W,YLR109W,adjacent enzyme,physical,1,70,6,0,27,27,1.0,70
YLR109W,YLR109W,adjacent enzyme,physical,2,5320,1087,12,2632,2576,0.9787234042553191,70
YLR109W,YLR109W,adjacent enzyme,physical,3,5718,1157,13,2709,2645,0.976375046142488,70
YLR153C,YLR153C,adjacent enzyme,physical,1,80,10,0,16,16,1.0,80
YLR153C,YLR153C,adjacent enzyme,physical,2,5017,1029,12,2538,2492,0.9818754925137904,80
YLR153C,YLR153C,adjacent enzyme,physical,3,5717,1157,13,2708,2644,0.9763663220088626,80
YLR284C,YLR284C,adjacent enzyme,physical,1,12,1,0,2,2,1.0,12
YLR284C,YLR284C,adjacent enzyme,physical,2,5296,1061,13,2631,2567,0.975674648422653,12
YLR284C,YLR284C,adjacent enzyme,physical,3,5718,1157,13,2703,2639,0.9763226045135035,12
YML059C,YML059C,adjacent enzyme,physical,1,13,2,0,9,9,1.0,13
YML059C,YML059C,adjacent enzyme,physical,2,3622,619,7,1612,1583,0.9820099255583127,13
YML059C,YML059C,adjacent enzyme,physical,3,5714,1156,13,2696,2632,0.9762611275964391,13
YMR165C,YMR165C,adjacent enzyme,physical,1,48,0,0,0,0,,48
YMR165C,YMR165C,adjacent enzyme,physical,2,5072,1007,12,2471,2415,0.9773371104815864,48
