orf,self_value,self_rank,n_genes,self_present,version
YCR014C,-1.3889365123501898,1.0,6169,True,kemmeren
YMR129W,-1.6636571610734927,2.0,6169,True,kemmeren
YLR018C,-2.0206800175870177,1.0,6169,True,kemmeren
YPL192C,-0.3213356901459622,34.0,6169,True,kemmeren
YIL117C,-1.974402210806998,2.0,6169,True,kemmeren
YOL054W,-2.103430115879114,1.0,6169,True,kemmeren
YMR137C,-0.9558507077101609,4.0,6169,True,kemmeren
YBL016W,-4.172877048756302,1.0,6169,True,kemmeren
YNR010W,-1.8333487190730164,13.0,6169,True,kemmeren
YLR376C,-1.9285288954628996,2.0,6169,True,kemmeren
YKR093W,-0.7077811451772701,6.0,6169,True,kemmeren
YNL016W,-3.0528469729867114,1.0,6169,True,kemmeren
YPR042C,-0.8563548828844278,3.0,6169,True,kemmeren
YLR142W,-1.279294270477391,2.0,6169,True,kemmeren
YKL015W,-1.5074879610639655,2.0,6169,True,kemmeren
YGL062W,-4.406728775245614,1.0,6169,True,kemmeren
YBR218C,-3.6090891452500506,1.0,6169,True,kemmeren
YDL104C,-1.7095021178623666,2.0,6169,True,kemmeren
YML095C,-1.6325705537672084,2.0,6169,True,kemmeren
YBR195C,-3.2241303949341393,1.0,6169,True,kemmeren
YMR201C,-1.3626542899287954,2.0,6169,True,kemmeren
YBR114W,-2.6346225613282033,1.0,6169,True,kemmeren
YOR368W,-2.2965075927892302,1.0,6169,True,kemmeren
YER173W,-1.0922095427906535,2.0,6169,True,kemmeren
YDR419W,-1.9692105561842665,1.0,6169,True,kemmeren
YML011C,-2.334886035899767,1.0,6169,True,kemmeren
YDR314C,-0.3277142742371506,64.0,6169,True,kemmeren
YER162C,-1.4569639808701542,2.0,6169,True,kemmeren
YDL059C,-0.9402316669184165,5.0,6169,True,kemmeren
YJR052W,-2.448860172494956,1.0,6169,True,kemmeren
YDR176W,-3.9249445043534603,1.0,6169,True,kemmeren
YDR217C,-2.9790084682104636,1.0,6169,True,kemmeren
YGR173W,-3.8617310307056667,1.0,6169,True,kemmeren
YBR073W,-3.7341858211558043,1.0,6169,True,kemmeren
YDL135C,-4.286461349668803,1.0,6169,True,kemmeren
YOR380W,-1.130414297089636,2.0,6169,True,kemmeren
YCR106W,-0.21367891622695806,289.0,6169,True,kemmeren
YPL133C,-0.516357042780285,18.0,6169,True,kemmeren
YLR329W,-0.2976900340289756,86.0,6169,True,kemmeren
YHR157W,-0.5157436495178628,13.0,6169,True,kemmeren
YJR021C,-2.4318418419056993,1.0,6169,True,kemmeren
YDL002C,-3.220066045413927,1.0,6169,True,kemmeren
YMR133W,-0.10269730405255126,231.0,6169,True,kemmeren
YPR007C,-0.17488311807190945,472.0,6169,True,kemmeren
YLR263W,-0.7053482241128667,6.0,6169,True,kemmeren
YLR387C,-2.8605092841221396,1.0,6169,True,kemmeren
YOR346W,-3.7490126681077416,1.0,6169,True,kemmeren
YLR059C,-1.722402289180041,2.0,6169,True,kemmeren
YLR107W,-2.0564542619098147,2.0,6169,True,kemmeren
YOL080C,-3.3262869678426856,1.0,6169,True,kemmeren
YMR182C,-0.5582237720617895,35.0,6169,True,kemmeren
YLR453C,-0.5069129586298773,18.0,6169,True,kemmeren
YIL038C,-2.8853402943838793,1.0,6169,True,kemmeren
YHL024W,-0.0922492869365869,1026.0,6169,True,kemmeren
YMR247C,-3.344865790836989,1.0,6169,True,kemmeren
YPL089C,-2.8855079776347288,1.0,6169,True,kemmeren
YDR255C,-1.3332161030518812,2.0,6169,True,kemmeren
YMR234W,-0.23990193535782833,25.0,6169,True,kemmeren
YNL072W,-0.9150878713581286,6.0,6169,True,kemmeren
YDR279W,-3.1978549468169475,1.0,6169,True,kemmeren
YLR154C,-2.8623094928915016,1.0,6169,True,kemmeren
